time,semitone
17520,79
17520,79
17760,79
17760,79
18000,75
18000,75
18240,74
18240,74
18480,72
18480,72
18720,74
18720,74
18960,75
18960,75
19200,75
19200,75
19920,67
19920,67
20160,68
20160,68
21360,77
21600,77
21600,77
21840,74
21840,74
22080,72
22080,72
22320,70
22320,70
22560,72
22560,72
22800,74
22800,74
23040,74
23760,65
23760,65
24000,67
24720,70
24720,70
24960,72
24960,72
25680,74
25680,74
25920,75
25920,75
26640,68
26880,74
26880,74
27600,75
27600,75
27840,77
27840,77
28560,75
28560,75
29040,74
29040,74
32880,79
32880,79
33120,79
33120,79
33360,75
33360,75
33600,74
33600,74
33840,72
33840,72
34080,74
34320,75
34560,75
34560,75
35280,67
35280,67
35520,68
35520,68
36720,77
36720,77
36960,77
36960,77
37200,74
37200,74
37440,72
37440,72
37680,70
37680,70
37920,72
38160,74
38400,74
38400,74
39120,65
39240,67
40080,68
40080,68
40320,72
40680,72
41040,74
41040,74
41280,75
41280,75
42000,68
42000,68
42240,74
42600,74
42960,75
42960,75
43200,77
43200,77
43920,75
43920,75
44400,74
44400,74
45840,72
45840,72
46320,76
46320,76
48000,75
48000,75
48960,77
48960,77
49680,70
49680,70
49920,77
49920,77
50160,79
50160,79
50400,80
50400,80
50640,79
50640,79
51360,77
51360,77
51600,75
51600,75
51840,77
51840,77
52080,79
52080,79
52320,80
52320,80
52560,79
52560,79
53280,77
53280,77
53520,75
53520,75
53760,77
53760,77
54000,79
54000,79
54240,80
54240,80
54480,79
54480,79
55920,82
55920,82
56160,82
56160,82
56400,80
56400,80
56640,80
56640,80
56880,79
56880,79
57120,77
57120,77
57360,75
57360,75
57600,82
57600,82
58320,80
58320,80
58560,80
58560,80
59280,75
59280,75
59520,82
59520,82
60240,80
60240,80
60480,84
60480,84
61200,79
61200,79
61440,80
61440,80
61560,79
61560,79
61800,77
61800,77
65520,79
65520,79
65760,79
65760,79
66000,75
66000,75
66240,74
66240,74
66480,72
66480,72
66720,74
66720,74
66960,75
66960,75
67200,75
67200,75
67920,67
67920,67
68160,68
68160,68
69360,77
69360,77
69600,77
69600,77
69840,74
69840,74
70080,72
70080,72
70320,70
70320,70
70560,72
70560,72
70800,74
70800,74
71040,74
71040,74
71760,65
71760,65
72000,67
72000,67
72720,68
72720,68
72960,72
72960,72
73680,74
73680,74
73920,75
73920,75
74640,68
74640,68
74880,74
74880,74
75600,75
75600,75
75840,77
75840,77
76560,75
76560,75
77040,74
77040,74
92400,79
92400,79
92640,79
92640,79
92880,75
92880,75
93120,74
93120,74
93360,72
93360,72
93600,72
93600,72
93840,74
93840,74
94080,75
94080,75
94800,67
94800,67
95040,68
95040,68
96240,77
96240,77
96480,77
96480,77
96720,74
96720,74
96960,72
96960,72
97200,70
97200,70
97440,70
97440,70
97680,72
97680,72
97920,74
97920,74
98640,65
98760,67
99600,68
99600,68
99840,72
100200,72
100560,74
100560,74
100800,75
100800,75
101520,68
101520,68
101760,74
101760,74
102080,74
102500,75
102500,75
102740,77
102740,77
103460,75
103940,74
106820,72
107300,76
109460,75
109460,75
110420,77
110420,77
111140,70
111140,70
111380,77
111380,77
111620,79
111620,79
111860,80
111860,80
112100,79
112100,79
112820,77
112820,77
113060,75
113060,75
113300,77
113300,77
113540,79
113540,79
113780,80
113780,80
114020,79
114020,79
114740,77
114740,77
114980,75
114980,75
115220,77
115220,77
115460,79
115460,79
115700,80
115700,80
115940,79
115940,79
117380,82
117380,82
117620,82
117620,82
117860,80
117860,80
118100,80
118100,80
118340,79
118340,79
118580,77
118580,77
118820,75
118820,75
119060,82
119060,82
119780,80
119780,80
120020,80
120020,80
120740,75
120740,75
120980,82
120980,82
121700,80
121700,80
121940,84
121940,84
122660,79
122660,79
122900,80
122900,80
123020,79
123020,79
123260,77
123260,77
124820,75
124820,75
125780,77
125780,77
126500,70
126500,70
126740,77
126740,77
126980,79
126980,79
127220,80
127220,80
127460,79
127460,79
128180,77
128180,77
128420,75
128420,75
128660,77
128660,77
128900,79
128900,79
129140,80
129140,80
129380,79
129380,79
130100,77
130100,77
130340,75
130340,75
130580,77
130580,77
130820,79
130820,79
131060,80
131060,80
131300,79
131300,79
132740,82
132740,82
132980,82
132980,82
133220,80
133220,80
133460,80
133460,80
133700,79
133700,79
133940,77
133940,77
134180,75
134180,75
134420,82
134420,82
135140,80
135140,80
135380,80
135380,80
136100,75
136100,75
136340,82
136340,82
137060,80
137060,80
137300,84
137300,84
138020,79
138020,79
138260,80
138260,80
138380,79
138380,79
138620,77
138620,77
