time,semitone
9360,62
9600,70
10080,72
10320,70
10560,69
11040,70
11280,69
11520,67
12000,62
12720,62
12960,67
13200,62
13440,63
14160,62
14400,60
14640,57
14880,58
15060,60
15300,61
15420,62
17040,62
17280,70
17760,72
18000,70
18240,69
18660,70
18960,69
19200,67
19680,62
20340,62
20580,67
20820,62
21120,63
21840,62
22080,60
22320,57
22560,58
22800,60
22980,61
23040,62
24480,60
24720,62
24960,63
25680,63
25920,57
26880,67
27600,67
27840,67
28080,67
28260,67
28500,69
28800,66
29220,62
32400,62
32640,67
33120,69
33360,67
33600,66
34080,67
34320,66
34560,64
35040,59
35760,59
36000,64
36240,59
36480,60
37200,57
37440,54
37680,54
37920,55
38160,57
38400,59
40080,59
40320,67
40800,69
41040,67
41280,66
41760,67
42000,66
42240,64
42720,59
43440,59
43680,64
43920,59
44160,60
44820,57
45120,54
45360,54
45600,55
45840,57
46080,59
47520,57
47760,59
48000,60
48660,60
48960,54
49920,64
50640,64
50880,64
51120,64
51360,64
51600,66
51840,63
52320,59
54960,59
55200,66
55440,59
55680,67
55680,67
56400,65
56640,67
57360,68
57600,72
58020,73
58560,65
58800,67
58980,68
59220,70
59460,68
60000,67
60960,65
61200,63
61440,70
61920,72
62400,63
62640,65
62880,67
63120,68
63360,67
63780,65
64560,63
64800,61
64980,60
65280,60
65520,61
65760,58
66960,65
67200,64
67920,60
68160,60
68400,58
68640,56
68880,58
69120,60
72240,60
72480,67
72720,65
72960,67
73680,65
73920,67
74640,68
74880,72
75360,73
75840,65
76080,67
76320,68
76560,70
76800,68
77280,67
78240,65
78480,63
78720,70
79200,72
79680,63
79860,65
80160,67
80400,68
80580,67
81120,65
81840,63
82080,61
82320,60
82560,60
82800,61
83040,58
84240,65
84480,64
85140,60
85440,70
85740,68
86100,67
86340,67
86880,65
93840,62
94080,70
94560,72
94800,70
95040,69
95520,70
95760,69
96000,67
96480,62
97200,62
97440,67
97620,62
97920,63
98640,62
98880,57
99120,57
99360,58
99540,60
99780,61
99840,62
101280,60
101520,62
101760,63
102480,63
102720,57
103680,67
104400,67
104640,67
104880,67
105060,67
105360,69
105600,66
106080,62
109200,62
109440,67
109920,69
110160,67
110400,66
110880,67
111060,66
111300,64
111840,59
112560,59
112800,64
113040,59
113280,60
114000,59
114240,54
114480,54
114660,55
114960,57
115140,59
116640,57
116880,59
117120,60
117840,60
118080,54
119040,64
119760,64
120000,64
120240,64
120420,64
120660,66
120960,63
121440,59
124080,59
124320,66
124560,64
124800,66
125520,64
125760,66
126480,67
126720,71
127140,72
127680,64
127920,66
128160,67
128340,69
128580,67
129120,66
130080,64
130320,62
130560,69
130980,71
131520,62
131760,64
132000,66
132240,67
132480,66
132960,64
133680,62
133920,60
134160,59
134400,59
134640,60
134820,57
136080,64
136320,63
137040,59
137280,59
137580,57
137880,55
138000,57
138180,59
141300,59
141540,66
141840,64
142080,66
142800,64
143040,66
143760,67
144000,71
144480,72
144960,64
145200,66
145440,67
145620,69
145860,67
146340,66
147300,64
147540,62
147840,69
148320,71
148800,62
149040,64
149280,66
149520,67
149700,66
150240,64
150960,62
151200,60
151440,59
151680,59
151860,60
152100,57
153360,64
153600,63
154320,59
154560,59
154920,57
155220,55
155340,57
155520,59
165360,60
165600,67
165780,65
166080,67
166800,65
167040,67
167760,68
168000,72
168480,73
168960,65
169200,67
169440,68
169680,70
169920,68
170400,67
171360,65
171600,63
171840,70
172320,72
172800,63
173040,65
173280,67
173520,68
173700,67
174240,65
174960,63
175200,61
175440,60
175680,60
175920,61
176160,58
177360,65
177600,64
178320,60
178560,60
178860,58
179160,56
179280,58
179520,60
182640,60
182820,67
183060,65
183360,67
184080,65
184320,67
185040,68
185280,72
185760,73
186240,65
186480,67
186720,68
186960,70
187200,68
187680,67
188580,65
188880,63
189120,70
189600,72
190080,63
190320,65
190560,67
190800,68
191040,67
191520,65
192240,63
192480,61
192720,60
192900,60
193140,61
193380,58
194640,65
194880,64
195600,60
195840,60
196080,58
196464,56
196584,58
196824,60
199884,60
200124,67
200364,65
200664,67
201324,65
201564,67
202284,68
202524,72
203004,73
203544,65
203784,67
204024,68
204204,70
204444,68
204930,67
205890,65
206190,63
206424,70
206844,72
207324,63
207564,65
207804,67
208044,68
208284,67
208830,65
209490,63
209730,61
209970,60
210210,60
210444,61
210684,58
211884,65
212124,64
212844,60
213084,60
213324,58
213804,56
213864,58
214104,60
217224,60
217464,67
217644,65
217884,67
218604,65
218844,67
219564,68
219804,72
220284,73
220764,65
221004,67
221244,68
221484,70
221724,68
222210,67
223170,65
223410,63
223650,70
224124,72
224664,63
224844,65
225084,67
225324,68
225564,67
226050,65
226770,63
227010,61
227250,60
227490,60
227724,61
227964,58
229224,65
229404,64
230124,59
230124,60
230424,70
230724,68
231024,67
231324,65
