time,semitone
7200,73
7440,78
7680,76
8400,81
8640,80
8880,76
9120,73
10080,73
10320,76
10560,74
11040,74
11280,73
11520,74
11760,78
12000,76
12960,73
13200,71
13440,69
13920,69
14640,69
14880,69
15360,71
15840,73
16320,71
18720,73
18960,78
19200,76
19920,81
20160,80
20400,76
20640,73
21600,73
21840,76
22080,74
22560,74
22800,73
23040,74
23280,78
23520,76
24480,73
24720,71
24960,69
25440,69
26160,69
26400,68
26880,69
27360,71
27840,69
30240,73
30480,71
30720,69
31200,68
31680,69
32160,73
33120,73
33360,71
33600,69
34080,68
34560,69
35040,81
36000,76
36240,76
36480,78
36960,78
37440,76
37680,74
37920,76
38880,74
39120,76
39360,78
39840,78
40320,80
40560,81
40800,80
43200,73
43440,78
43680,76
44400,81
44640,80
44880,76
45120,73
46080,73
46320,76
46560,74
47040,74
47280,73
47520,74
47760,78
48000,76
48960,73
49200,71
49440,69
49920,69
50640,69
50880,68
51360,69
51840,71
52320,69
80640,73
80880,71
81120,69
81600,68
82080,69
82560,73
83520,73
83760,71
84000,69
84480,68
84960,69
85440,81
86400,76
86640,76
86880,78
87360,78
87840,76
88080,74
88320,76
89280,74
89520,76
89760,78
90240,78
90720,80
90960,81
91200,80
93600,73
93840,78
94080,76
94800,81
95040,80
95280,76
95520,73
96480,73
96720,76
96960,74
97440,74
97680,73
97920,74
98160,78
98400,76
99360,73
99600,71
99840,69
100320,69
101040,69
101280,68
101760,69
102240,71
102720,69
