time,semitone
3840,59
4320,59
4800,59
5280,59
5760,59
6240,59
6720,59
7200,59
7680,59
8160,59
8640,59
9120,59
9600,59
10080,59
10560,59
11040,59
11520,59
12000,59
12480,59
12960,59
13440,59
13920,59
14400,59
19200,59
19440,60
19680,59
19920,67
20400,66
20880,57
21360,59
21600,59
23040,59
23280,60
23520,59
23760,67
24240,66
24480,59
24720,57
25200,59
25440,59
26880,62
27120,64
27360,62
27600,67
28080,62
28560,55
28800,57
29040,57
29280,55
29520,62
30720,57
30960,59
31200,57
31440,64
31920,62
32400,59
32640,57
33120,55
33360,55
36480,59
36720,60
36960,59
37200,67
37680,66
38160,57
38640,59
38880,59
40320,59
40560,60
40800,59
41040,67
41520,66
41760,59
42000,57
42480,59
42720,59
44160,60
44400,59
44640,57
44880,64
45360,62
45840,55
46080,57
46320,57
46560,55
46800,62
48000,57
48240,59
48480,57
48720,64
49200,62
49680,59
49920,57
50400,55
50640,55
52800,67
53280,69
53760,71
54720,67
55440,64
55680,69
55920,71
56160,69
56400,71
57120,67
57600,69
58560,66
59280,66
59520,67
59760,69
60000,71
60240,67
60960,64
61440,67
62160,64
62400,64
63360,67
63600,65
64080,67
64320,65
64800,62
65160,63
65400,64
68160,67
68640,69
69120,71
69840,67
70080,67
70800,64
71040,69
71280,71
71520,69
71760,71
72480,67
72960,69
73680,66
73920,66
74400,66
74640,66
74880,67
75120,69
75360,71
75600,67
75840,67
76320,64
76560,64
76800,67
77520,64
77760,64
78720,67
78960,65
79440,67
79680,65
80160,62
80520,63
80760,64
88320,62
88560,64
88800,62
89040,74
89520,69
90000,62
92160,62
92400,64
92640,62
92880,72
93360,71
93600,67
93840,62
94320,64
94560,64
96000,72
96240,71
96480,69
96720,69
97200,69
97680,64
97920,67
98160,69
98400,67
98640,67
99840,71
100320,69
100560,67
101040,62
101520,59
101760,57
102000,55
102240,55
105600,62
105840,64
106080,62
106320,72
106800,71
107280,62
109440,62
109680,64
109920,62
110160,71
110640,71
110880,62
111600,64
111840,64
113280,72
113520,71
113760,69
114000,69
114480,62
114960,69
115200,67
115440,69
115680,67
115920,64
117120,69
117360,71
117840,69
118320,71
119040,69
119520,67
121920,67
122400,69
122880,71
123840,67
124560,64
124800,69
125040,71
125280,69
125520,71
126240,67
126720,69
127680,66
128400,66
128640,67
128880,69
129120,71
129360,67
130080,64
130560,67
131280,64
131520,64
132480,67
132720,65
133200,67
133440,65
133920,62
134280,63
134520,64
137280,67
137760,69
138240,71
138960,67
139200,67
139920,64
140160,69
140400,71
140640,69
140880,71
141600,67
142080,69
142800,66
143040,66
143520,66
143760,66
144000,67
144240,69
144480,71
144720,67
144960,67
145440,64
145680,64
145920,67
146640,64
146880,64
147840,67
148080,65
148560,67
148800,65
149280,62
149640,63
149880,64
191040,67
191520,69
192000,71
192960,67
193680,64
193920,69
194160,71
194400,69
194640,71
195360,67
195840,69
196800,66
197520,66
197760,67
198000,69
198240,71
198480,67
199200,64
199680,67
200400,64
200640,64
201600,67
201840,65
202320,67
202560,65
203040,62
203400,63
203640,64
206400,67
206880,69
207360,71
208080,67
208320,67
209040,64
209280,69
209520,71
209760,69
210000,71
210720,67
211200,69
211920,66
212160,66
212640,66
212880,66
213120,67
213360,69
213600,71
213840,67
214080,67
214560,64
214800,64
215040,67
215760,64
216000,64
216960,67
217200,65
217680,67
217920,65
218400,62
218760,63
219120,64
221760,67
222240,69
222720,71
223680,67
224400,64
224640,69
224880,71
225120,69
225360,71
226080,67
226560,69
227520,66
228240,66
228480,67
228720,69
228960,71
229200,67
229920,64
230400,67
231120,64
231360,64
232320,67
232560,65
233040,67
233280,65
233760,62
234120,63
234360,64
237120,67
237600,69
238080,71
238800,67
239040,67
239760,64
240000,69
240240,71
240480,69
240720,71
241440,67
241920,69
242640,66
242880,66
243360,66
243600,66
243840,67
244080,69
244320,71
244560,67
244800,67
245280,64
245520,64
245760,67
246480,64
246720,64
247680,67
247920,65
248400,67
248640,65
249120,62
249480,63
249840,64
