time,semitone
21120,69
22080,67
23040,66
23880,62
24000,62
24120,64
24240,66
24480,67
24720,66
28320,69
28560,66
28800,69
29040,71
29760,67
30720,66
31560,62
31680,64
31920,66
32160,67
32400,66
36480,69
37440,67
38400,66
39240,62
39360,62
39480,64
39600,66
39840,67
40080,66
43680,69
43920,66
44160,69
44400,71
45120,67
46080,66
46920,62
47040,64
47280,66
47520,67
47760,66
51600,66
51840,74
52080,73
52320,66
53040,66
53400,64
53760,66
55680,74
55920,73
56160,66
57480,66
57840,67
58080,67
58200,66
58560,64
58680,66
58920,66
59280,66
59520,74
59760,73
60000,66
60720,71
61080,69
61320,69
62640,66
63000,69
63240,69
63480,71
63720,71
64200,73
64320,74
64680,73
64920,71
65160,69
65400,71
65640,69
67200,74
67440,73
67680,74
67920,73
68160,74
68400,73
68760,74
69000,74
69240,64
69480,66
70920,66
71040,67
71280,74
71520,73
71760,71
72240,69
72360,69
72720,64
72720,62
72840,64
73080,66
73320,66
73560,64
73800,64
74040,66
74280,66
74760,66
74880,74
75120,73
75360,74
75600,73
75840,74
76080,73
76320,74
76560,78
77280,73
77520,73
78480,66
78600,66
78720,67
78960,74
79200,74
79440,74
80400,66
80520,66
80640,67
80880,76
81120,76
81360,76
84480,69
85440,67
86400,66
87240,62
87360,62
87480,64
87600,66
87840,67
88080,66
91680,69
91920,66
92160,69
92400,71
93120,67
94080,66
94920,62
95040,64
95280,66
95520,67
95760,66
99600,66
99840,74
100080,73
100320,66
101040,66
101400,64
101760,66
103680,74
103920,73
104160,66
105480,66
105840,67
106080,67
106200,66
106560,64
106680,66
106920,66
107280,66
107520,74
107760,73
108000,66
108720,71
109080,69
109320,69
110640,66
111000,69
111240,69
111480,71
111720,71
112200,73
112320,74
112680,73
112920,71
113160,69
113400,71
113640,69
130560,74
130800,73
131040,74
131280,73
131520,74
131760,73
132120,74
132360,74
132600,64
132840,66
134280,66
134400,67
134640,74
134880,73
135120,71
135600,69
135720,69
136080,64
136080,62
136200,64
136440,66
136680,66
136920,64
137160,64
137400,66
137640,66
138120,66
138240,74
138480,73
138720,74
138960,73
139200,74
139440,73
139680,74
139920,78
140640,73
140880,73
141840,66
141960,66
142080,67
142320,74
142560,74
142800,74
143760,66
143880,66
144000,67
144240,76
144480,76
144720,76
145920,74
146160,73
146400,74
146640,73
146880,74
147120,73
147480,74
147720,74
147960,64
148200,66
149640,66
149760,67
150000,74
150240,73
150480,71
150960,69
151080,69
151440,64
151440,62
151560,64
151800,66
152040,66
152280,64
152520,64
152760,66
153000,66
153480,66
153600,74
153840,73
154080,74
154320,73
154560,74
154800,73
155040,74
155280,78
156000,73
156240,73
157200,66
157320,66
157440,67
157680,74
157920,74
158160,74
159120,66
159240,66
159360,67
159600,76
159840,76
160080,76
163200,69
164160,67
165120,66
165960,62
166080,62
166200,64
166320,66
166560,67
166800,66
