time,semitone
13440,57
13920,57
14400,59
14640,59
15120,60
17280,57
17760,57
18240,59
18480,59
18960,60
21120,57
21600,57
21840,57
22080,59
22320,57
22560,59
22800,60
23760,57
24000,64
24180,62
24480,60
24720,60
25200,57
25440,57
25680,55
25920,57
26160,60
26640,57
27120,55
28800,57
29280,57
29760,59
30000,59
30480,60
32640,57
33120,57
33540,59
33840,59
34320,60
36480,57
36960,57
37440,59
37680,59
38160,60
39120,57
39360,64
39540,62
39780,60
40080,60
40560,57
40800,57
40980,55
41280,57
41520,60
42000,64
42480,62
42720,62
43200,62
43440,62
43680,64
43920,65
44160,67
45120,64
45360,62
45840,62
46260,64
46560,60
47040,60
47280,60
47520,62
47760,64
48000,65
48960,62
49200,60
49620,60
50100,62
50400,59
50880,59
51120,59
51360,60
51600,62
51840,64
52800,60
53040,59
53520,59
54000,60
54240,60
55440,57
55680,64
55860,62
56100,64
56400,62
56880,60
57360,60
57840,59
58560,62
58800,62
59040,64
59220,65
59460,67
60420,64
60720,62
61200,62
61680,64
61920,60
62400,60
62640,60
62880,62
63120,64
63360,65
64320,62
64560,60
65040,60
65460,62
65700,59
66240,59
66480,59
66720,60
66960,62
67200,64
68160,60
68340,59
68880,59
69300,60
69600,60
70740,57
70980,64
71220,62
71460,64
71760,62
72960,60
73200,59
73620,60
74160,62
74640,62
75120,60
97920,62
98160,62
98400,64
98580,65
98820,67
99780,64
100080,62
100560,62
100980,64
101220,60
101760,60
101940,60
102180,62
102420,64
102660,65
103620,62
103860,60
104400,60
104820,62
105060,59
105540,59
105780,59
106020,60
106260,62
106560,64
107520,60
107760,59
108240,59
108660,60
108960,60
110160,57
110400,64
110580,62
110820,64
111120,62
111600,60
112080,60
112500,59
113280,62
113520,62
113760,64
113940,65
114180,67
115200,64
115440,62
115920,62
116400,64
116640,60
117120,60
117360,60
117600,62
117840,64
118080,65
119040,62
119280,60
119760,60
120240,62
120480,59
120960,59
121200,59
121440,60
121620,62
121920,64
122880,60
123120,59
123600,59
124020,60
124320,60
125460,57
125760,64
125940,62
126180,64
126480,62
127620,60
127920,59
128400,60
128880,62
129360,62
129840,60
137280,57
137760,57
138240,59
138480,59
138960,60
141120,57
141600,57
142020,59
142320,59
142740,60
144960,57
145440,57
145680,57
145920,59
146100,57
146400,59
146640,60
147600,57
147840,64
148080,62
148320,60
148560,60
149040,57
149280,57
149520,55
149760,57
150000,60
150480,57
150960,55
152640,57
153120,57
153600,59
153840,59
154320,60
156480,57
156960,57
157440,59
157680,59
158160,60
160320,57
160800,57
161280,59
161520,59
162000,60
162960,57
163200,64
163380,62
163680,60
163920,60
164400,57
164640,57
164880,55
165120,57
165360,60
165840,64
166260,62
166560,62
167040,62
167280,62
167520,64
167700,65
168000,67
168960,64
169200,62
169680,62
170160,64
170400,60
170880,60
171120,60
171360,62
171540,64
171780,65
172740,62
172980,60
173520,60
173940,62
174180,59
174660,59
174900,59
175140,60
175380,62
175620,64
176640,60
176880,59
177360,59
177840,60
178080,60
179280,57
179460,64
179700,62
179940,64
180240,62
180720,60
181200,60
181680,59
182400,62
182640,62
182880,64
183060,65
183300,67
184320,64
184560,62
185040,62
185460,64
185760,60
186240,60
186480,60
186720,62
186900,64
187140,65
188160,62
188400,60
188820,60
189360,62
189600,59
190080,59
190260,59
190500,60
190740,62
191040,64
192000,60
192180,59
192720,59
193140,60
193440,60
194640,57
194820,64
195060,62
195300,64
195540,62
196800,60
197040,59
197520,60
198000,62
198480,62
198960,60
