time,semitone
13440,69
13680,69
13800,69
14040,66
14280,67
15240,67
15360,66
15600,67
15840,66
16080,62
16320,57
16800,57
16920,62
17160,64
18000,64
18240,63
18480,64
18720,66
18960,67
19200,64
21120,66
21360,69
21600,69
21840,66
21960,71
22200,71
22800,69
23040,71
23520,69
23680,67
23840,66
24000,67
24240,66
24660,64
24820,62
24980,66
26660,66
26780,64
26900,62
28820,69
29060,69
29180,69
29420,66
29660,67
30500,67
30620,67
30740,66
31100,67
31220,66
31460,62
31700,57
32180,66
32300,64
32420,62
32660,64
33620,63
33860,63
33980,64
34100,66
34340,67
34460,66
34580,64
36500,66
36740,69
36980,69
37220,66
37340,71
37700,71
38300,69
38420,71
38900,69
39060,67
39220,66
39380,67
39860,66
39980,64
40340,62
40580,66
41780,66
41900,64
42020,62
42140,66
42380,64
43220,62
43460,62
43700,67
43940,67
44060,66
45620,66
45740,64
45860,62
45980,66
46220,64
47060,62
47300,62
47540,67
47780,67
47900,66
49940,64
50060,64
50180,64
50300,64
50420,64
50660,64
50900,63
51140,64
51260,66
51860,64
52100,64
52340,64
52580,66
52700,67
53780,66
53900,66
54020,66
54140,66
54260,66
54500,66
54740,65
54980,66
55220,68
55700,66
55940,66
56180,66
56420,68
56660,69
58100,69
58260,71
58420,73
58580,73
59300,66
60500,71
60740,69
60980,67
61220,66
61460,67
61940,69
62100,71
62260,73
62420,73
63140,66
64100,62
64340,71
64820,69
64980,67
65140,66
65300,67
65540,66
65900,64
66060,62
66220,66
67660,66
67780,64
67900,62
68020,66
68380,64
69100,62
69340,62
69580,67
69820,67
69940,66
71500,66
71620,64
71740,62
71860,66
72220,64
72940,62
73180,62
73420,67
73660,67
73780,66
84000,69
84160,71
84320,73
85180,66
86380,71
86880,69
87040,67
87200,66
87360,67
87840,69
88000,71
88160,73
89020,66
89980,62
90220,71
90720,69
90880,67
91040,66
91200,67
91440,66
91860,64
92020,62
92160,66
93600,66
93720,64
93840,62
93960,66
94320,64
95040,62
95280,62
95520,67
95760,67
95880,66
97440,66
97560,64
97680,62
97800,66
98160,64
98880,62
99120,62
99360,67
99600,67
99840,66
100560,64
100800,66
101040,62
101280,66
101400,64
101520,62
101640,66
102000,64
102720,62
102960,62
103200,67
103440,67
103560,66
105120,66
105240,69
105360,71
105480,72
105840,72
106560,72
106800,72
107040,74
107280,74
107400,74
108960,66
109080,69
109200,71
109320,72
109680,72
110400,71
110640,71
110880,71
111120,69
111240,69
112800,66
112920,69
113040,71
113160,72
113520,72
114240,71
114480,71
114720,74
114960,74
115080,74
116640,66
116760,69
116880,71
117000,72
117360,72
118080,71
118320,71
118560,71
118800,69
118920,69
120480,66
120600,69
120720,71
120840,72
121200,72
121920,71
122160,71
122400,74
122640,74
122760,74
124320,66
124440,69
124560,71
124680,72
125040,72
125760,71
126000,71
126240,71
126480,69
126600,69
128160,66
128280,69
128400,71
128520,72
128880,72
129600,71
129840,71
130080,74
130320,74
130440,74
132000,66
132120,69
132240,71
132360,72
132720,72
133440,71
133680,71
133920,71
134160,69
134280,69
135840,66
135960,69
136080,71
136200,72
136560,72
137280,74
137520,74
137760,78
138000,76
138480,78
138600,76
138720,74
