time,semitone
9600,66
9660,69
10860,69
10980,66
11100,69
11220,66
11400,69
11520,71
12960,71
13200,73
13440,69
14640,69
14760,66
14880,69
15120,69
15240,69
15360,71
17280,74
17280,73
18480,74
18480,73
18720,74
18840,74
19080,74
19320,71
19440,69
20700,69
20940,69
21120,76
21180,78
21300,76
21420,74
22320,74
22560,74
22680,74
22920,74
23040,76
24960,69
26220,69
26400,69
26580,69
26760,69
26880,71
28560,73
28800,69
30000,69
30120,69
30240,69
30360,69
30600,69
30720,71
32640,74
32640,73
33840,74
34080,74
34200,74
34440,74
34680,71
34800,69
36060,69
36300,69
36480,76
36540,78
36660,76
36780,74
37740,74
37920,74
38160,74
38400,76
39840,69
40260,76
40320,78
41040,78
41040,76
41280,76
41520,78
41640,76
42000,73
42480,74
43920,69
44160,78
44160,76
44400,78
44520,78
44880,78
45120,76
45360,78
45480,76
45840,73
46080,74
48000,79
48060,81
48960,79
49440,81
49680,78
51360,74
51660,76
51840,78
53280,74
53520,76
53760,78
54720,73
55680,74
63360,74
63360,73
64560,74
64560,73
64800,74
64920,74
65160,74
65400,71
65520,69
66780,69
67020,69
67200,76
67260,78
67380,76
67500,74
68400,74
68640,74
68760,74
69000,74
69120,76
70560,69
70980,76
71040,78
71760,78
71760,76
72000,76
72240,78
72360,76
72720,73
73200,74
74640,69
74880,78
74880,76
75120,78
75240,78
75600,78
75840,76
76080,78
76200,76
76560,73
76800,74
78480,71
78720,74
79200,74
79440,76
79680,73
80160,69
80640,72
80640,71
81120,72
81360,74
81600,71
82320,67
82560,69
82600,71
83500,76
83560,78
84460,76
85440,76
85500,78
109000,74
109240,76
109480,78
110920,74
111160,76
111400,78
112780,74
113020,76
113260,74
114460,69
114700,74
114940,74
115240,73
116680,74
116920,76
117340,78
118540,74
118840,76
119260,78
120460,74
120700,76
121180,74
