time,semitone
21120,71
22560,72
22800,72
24480,72
24960,71
26400,72
26640,72
28320,64
28800,65
29520,72
31920,67
32160,72
32400,74
32640,76
33120,76
33360,74
33840,72
34320,74
36480,71
37920,72
38160,72
39840,72
40320,71
41760,72
42000,72
43680,64
44160,65
44880,72
47280,67
47520,72
47760,74
48000,76
48480,76
48720,74
49200,72
49680,74
51120,72
51360,72
51840,79
52320,72
52560,72
53040,74
53520,74
54960,72
55200,72
55680,79
56160,72
56400,72
56880,74
57360,74
59040,72
59280,74
59520,76
60000,74
60240,74
60720,72
61200,74
62880,72
63360,71
64080,71
64560,69
65040,71
65520,72
66480,72
66720,72
67200,79
67680,72
67920,72
68400,74
68880,74
70320,72
70560,72
71040,79
71520,72
71760,72
72240,74
72720,74
74160,67
74400,72
74640,74
74880,76
75600,77
76080,76
76560,74
78240,72
78720,71
79440,71
79920,69
80400,71
80880,72
97920,71
99360,72
99600,72
101280,72
101760,71
103200,72
103440,72
105120,64
105600,65
106320,72
108720,67
108960,72
109200,74
109440,76
109920,76
110160,74
110640,72
111120,74
113280,71
114720,72
114960,72
116640,72
117120,71
118560,72
118800,72
120480,64
120960,65
121680,72
124080,67
124320,72
124560,74
124800,76
125280,76
125520,74
126000,72
126480,74
127920,72
128160,72
128640,79
129120,72
129360,72
129840,74
130320,74
131760,72
132000,72
132480,79
132960,72
133200,72
133680,74
134160,74
135840,72
136080,74
136320,76
136800,74
137040,74
137520,72
138000,74
139680,72
140160,71
140880,71
141360,69
141840,71
142320,72
143280,72
143520,72
144000,79
144480,72
144720,72
145200,74
145680,74
147120,72
147360,72
147840,79
148320,72
148560,72
149040,74
149520,74
150960,67
151200,72
151440,74
151680,76
152400,77
152880,76
153360,74
155040,72
155520,71
156240,71
156720,69
157200,71
157680,72
161760,76
162720,76
167040,76
167280,74
167520,72
170880,74
174720,71
177120,71
177840,74
178560,72
181680,67
181920,72
182160,74
182400,76
183360,72
183840,72
184800,69
185760,67
186720,74
190080,71
192480,71
193200,74
193920,72
197040,67
197280,72
197520,74
197760,76
198240,72
198480,72
198960,69
199440,72
200880,67
201120,72
201360,74
201600,76
202080,76
202320,76
202800,77
203280,74
205440,79
224640,76
225600,76
226080,74
226320,76
226800,76
227280,74
227520,76
227760,79
228480,76
229440,76
229920,74
230160,76
230640,74
231120,72
232320,76
233280,76
233760,74
234000,76
234480,76
234960,74
235200,76
235440,79
236160,76
237840,77
238320,76
238800,72
239280,72
239520,72
240000,79
240480,72
240720,72
241200,74
241680,74
243120,72
243360,72
243840,79
244320,72
244560,72
245040,74
245520,74
247200,72
247440,74
247680,76
248160,74
248400,74
248880,72
249360,74
251040,72
251520,71
252240,71
252720,69
253200,71
253680,72
254640,72
254880,72
255360,79
255840,72
256080,72
256560,74
257040,74
258480,72
258720,72
259200,79
259680,72
259920,72
260400,74
260880,74
262320,67
262560,72
262800,74
263040,76
263760,77
264240,76
264720,74
266400,72
266880,71
267600,71
268080,69
268560,71
269040,72
269460,74
270720,79
