time,semitone
9240,65
9360,67
9600,68
9720,67
9960,65
10200,63
10440,65
11160,65
11280,67
11520,68
11640,67
11880,65
12120,63
12360,65
12840,67
13080,67
13200,67
13440,60
13680,65
14760,67
15000,67
15120,67
15360,67
15840,63
16920,65
17040,67
17280,68
17400,67
17640,65
17880,63
18120,65
18840,65
18960,67
19200,68
19320,67
19560,65
19800,63
20040,65
20520,67
20760,67
20880,67
21120,60
21360,65
22440,67
22680,67
22800,67
23040,67
23520,63
24840,65
24960,65
25320,67
25440,67
25800,68
25920,68
26280,70
26400,70
26760,65
26880,65
27240,67
27360,67
27720,68
27840,68
28200,70
28320,70
28560,70
28680,65
28800,65
29160,67
29280,67
29640,68
29760,68
30240,70
30360,70
30720,72
30960,75
31080,72
32280,68
32400,70
32640,72
33600,70
34080,75
34560,68
35400,68
35520,67
36000,72
36480,65
37320,65
37440,63
37920,68
38400,61
38880,72
39120,70
39960,68
40080,70
40320,72
41280,70
41760,75
42240,68
43080,68
43200,67
43680,72
44160,65
45000,65
45120,63
45600,68
46080,61
46560,72
46800,70
55320,65
55440,67
55680,68
55800,67
56040,65
56280,63
56520,65
57240,65
57360,67
57600,68
57720,67
57960,65
58200,63
58440,65
58920,67
59160,67
59280,67
59520,60
59760,65
60840,67
61080,67
61200,67
61440,67
61920,63
63000,65
63120,67
63360,68
63480,67
63720,65
63960,63
64200,65
64920,65
65040,67
65280,68
65400,67
65640,65
65880,63
66120,65
66600,67
66840,67
66960,67
67200,60
67440,72
68520,67
68760,67
68880,67
69120,67
69600,63
70920,65
71040,65
71400,67
71520,67
71880,68
72000,68
72360,70
72480,70
72840,65
72960,65
73320,67
73440,67
73800,68
73920,68
74280,70
74400,70
74640,70
74760,65
74880,65
75240,67
75360,67
75720,68
75840,68
76320,70
76440,70
76800,72
77040,75
77160,72
78360,68
78480,70
78720,72
79680,70
80160,75
80640,68
81480,68
81600,67
82080,72
82560,65
83400,65
83520,63
84000,68
84480,61
84960,72
85200,70
86040,68
86160,70
86400,72
87360,70
87840,75
88320,68
89160,68
89280,67
89760,72
90240,65
91080,65
91200,63
91680,68
92160,61
92640,72
92880,70
93720,68
93840,70
94080,72
94680,70
94800,68
94920,72
95640,70
95760,68
95880,72
96600,70
96720,68
96840,72
97320,68
97560,67
97920,65
98280,72
101400,68
101520,70
101760,72
102360,70
102480,68
102600,72
103320,70
103440,68
103560,72
104280,70
104400,68
104520,72
105000,68
105240,67
105600,65
105960,72
109080,68
109200,70
109440,72
110400,70
110880,75
111360,68
112200,68
112320,67
112800,72
113280,65
114120,65
114240,63
114720,68
115200,61
115680,72
115920,70
116760,68
116880,70
117120,72
118080,70
118560,75
119040,68
119880,68
120000,67
120480,72
120960,65
121800,65
121920,63
122400,68
122880,61
123360,72
123600,70
124800,72
127800,70
128160,68
129720,68
129960,72
130680,68
130920,72
