time,semitone
3120,72
3360,74
3600,76
5040,72
5280,74
5520,76
6960,72
7200,74
7440,71
8160,71
8400,79
9120,71
9360,72
10800,72
11040,74
11280,76
12720,67
12840,72
13080,74
13320,76
14640,72
14880,74
15120,71
15840,71
16080,79
16800,71
17040,72
18480,72
18720,74
18960,76
20400,72
20640,74
20880,76
22320,72
22560,74
22800,71
23520,71
23760,71
24240,71
24720,72
25200,74
25440,71
25680,72
26160,72
26400,74
26640,76
28080,67
28200,77
28560,76
29040,74
30000,72
30240,74
30480,71
31200,71
31440,71
31920,71
32400,72
34560,79
35280,77
35760,76
36240,71
36720,72
38400,79
39120,77
39600,76
40080,76
40560,72
41760,67
42240,83
42960,84
43440,72
43920,72
44400,74
45600,72
45840,74
46080,71
47520,71
47760,71
48240,72
49440,72
49680,74
50160,76
51360,72
51600,74
52080,74
52320,76
53280,72
53520,74
53760,71
54240,71
54480,79
55200,71
55440,72
56880,77
57120,76
57360,76
57840,72
58800,77
59040,76
59280,76
60720,72
60960,74
61200,71
61920,71
62160,79
62880,71
63120,72
64800,72
65280,79
66000,77
66480,76
66960,71
67440,72
69120,79
69840,77
70320,76
70800,76
71280,72
72480,67
72960,83
73680,84
74160,72
74640,72
75120,74
76320,72
76560,74
76800,71
78240,71
78480,71
78960,72
80160,72
80640,79
81360,77
81840,76
82320,71
82800,72
84480,79
85200,77
85680,76
86160,76
86640,72
87600,72
87840,72
88080,72
88320,83
89040,84
89520,72
90000,72
90480,74
91680,72
91920,74
92160,71
93600,71
93840,71
94320,72
103200,72
103440,72
103920,72
105120,72
105360,72
105840,74
107040,72
107280,72
107760,71
108960,71
109200,71
109680,72
110160,72
110640,72
110880,77
111120,76
111600,76
112800,72
113040,72
113520,74
114720,72
114960,72
115440,71
116640,71
116880,71
117360,72
117840,72
118320,72
118560,77
118800,76
119280,76
120480,72
120720,72
121200,74
122400,72
122640,72
123120,71
124320,71
124560,71
125040,72
125520,72
126000,72
126720,72
