time,semitone
1920,62
2160,62
2400,62
2880,62
5760,62
6000,62
6240,62
6720,62
6960,62
9600,62
12480,62
12720,62
12960,62
15360,62
18240,62
18480,62
18720,62
18960,62
26880,77
27120,77
27360,77
27600,77
27840,76
28080,69
28800,67
29040,69
29280,69
29520,67
29760,72
30000,69
34560,77
34800,77
35040,77
35280,77
35520,76
35760,69
36480,67
36720,69
36960,69
37200,67
37440,72
37680,69
42240,77
42480,77
42720,77
42960,77
43200,76
43440,69
44160,67
44400,69
44640,69
44880,67
45120,72
45360,69
49920,77
50160,77
50400,77
50640,77
50880,76
51120,69
51840,67
52080,69
52320,69
52560,67
52800,72
53040,69
57600,77
59040,76
59280,77
59520,79
59760,77
60240,76
60720,77
60960,77
61440,69
62880,69
63120,69
63360,72
63600,69
64080,69
65280,77
66720,76
66960,77
67200,79
67440,77
67920,76
68400,77
68640,76
68880,81
70320,77
70800,81
72960,77
73440,77
73920,77
74400,77
74880,77
75120,77
75600,77
80640,77
81120,77
81600,77
82080,77
82560,77
82800,77
83280,77
88320,77
88800,77
89280,76
89760,77
90240,77
90480,77
90960,77
96000,77
96480,77
96960,77
97440,77
97920,77
98160,77
98640,77
104640,62
104880,62
105120,62
107520,62
110400,62
110640,62
110880,62
111120,62
119040,77
119280,77
119520,77
119760,77
120000,76
120240,69
120960,67
121200,69
121440,69
121680,67
121920,72
122160,69
126720,77
126960,77
127200,77
127440,77
127680,76
127920,69
128640,67
128880,69
129120,69
129360,67
129600,72
129840,69
134400,77
135840,76
136080,77
136320,79
136560,77
137040,76
137520,77
137760,77
138240,69
139680,69
139920,69
140160,72
140400,69
140880,69
142080,77
143520,76
143760,77
144000,79
144240,77
144720,76
145200,77
145440,76
145680,81
147120,77
147600,81
149760,77
150240,77
150720,77
151200,77
151680,77
151920,77
152400,77
157440,77
157920,77
158400,77
158880,77
159360,77
159600,77
160080,77
165120,77
165600,77
166080,76
166560,77
167040,77
167280,77
167760,77
172800,77
173280,77
173760,77
174240,77
174720,77
174960,77
175440,77
181440,62
181680,62
181920,62
184320,62
187200,62
187440,62
187680,62
187920,62
261120,69
261840,67
262320,65
262560,65
263040,64
263760,76
264240,76
264720,77
268800,69
269520,67
270000,65
270240,65
270720,64
271440,64
271920,65
