time,semitone
17520,67
17640,69
18000,67
18120,69
18480,67
18600,69
18960,69
19080,72
19200,72
19440,70
21360,65
21480,67
21840,65
21960,67
22320,65
22440,67
22800,67
22920,70
23040,70
23280,69
25200,67
25320,69
25680,67
25800,69
26160,67
26280,69
26640,72
26880,72
27120,74
27360,69
27600,70
29040,65
29160,67
29520,65
29640,67
30000,65
30120,67
30480,72
30720,74
30960,69
31440,65
31680,69
31920,72
32400,81
36720,67
36840,69
37200,67
37320,69
37680,67
37800,69
38160,72
38400,72
38640,70
40560,65
40680,67
41040,65
41160,67
41520,65
41640,67
42000,70
42240,70
42480,69
44400,67
44520,69
44880,67
45000,69
45360,67
45480,69
45840,72
46080,72
46320,74
46560,69
46800,70
48240,65
48360,67
48720,65
48840,67
49200,65
49320,67
49680,72
49920,74
50160,69
50640,65
50880,69
51120,72
51600,81
57120,74
57240,72
57360,72
57480,72
59040,74
59280,72
59760,77
60960,74
61080,72
61200,72
61320,72
62880,74
63120,72
63600,72
63840,65
64800,74
64920,72
65040,72
65160,72
66720,74
66960,72
67440,77
69120,76
73200,72
73320,72
73680,69
73800,69
74160,67
74400,65
74640,65
74880,69
75120,70
77040,65
77160,67
77520,65
77640,67
78000,65
78120,67
78480,70
78720,70
78960,69
80880,67
81000,69
81360,67
81480,69
82080,69
82320,72
82560,72
82800,74
83280,77
84720,65
84840,67
85200,65
85320,67
85680,65
85800,67
86160,72
86400,74
86640,69
87120,65
87360,69
87600,72
88080,81
91680,74
91800,72
91920,72
92040,72
93600,74
93840,72
94320,77
95520,74
95640,72
95760,72
95880,72
97440,74
97680,72
98160,72
98400,65
99360,74
99480,72
99600,72
99720,72
101280,74
101520,72
102000,77
103680,76
107040,74
107160,72
107280,72
107400,72
108960,74
109200,72
109680,77
110880,74
111000,72
111120,72
111240,72
112800,74
113040,72
113520,72
113760,65
114720,74
114840,72
114960,72
115080,72
116640,74
116880,72
117360,77
119040,76
129600,77
129840,77
130080,76
130320,72
130560,74
131040,83
131040,81
131280,79
132000,77
132240,70
132960,81
133200,79
133920,72
134160,69
134880,67
135120,69
135840,72
136080,72
137280,77
137520,77
137760,76
138000,72
138240,74
138720,83
138720,81
138960,79
139680,77
139920,70
140640,81
140880,79
141600,72
141840,69
142560,67
142800,69
143520,72
143760,72
144960,77
145200,77
145440,76
145680,72
145920,74
146400,83
146400,81
146640,79
147360,77
147600,70
148320,81
148560,79
149280,72
149520,69
150240,67
150480,69
151200,72
151440,72
152640,77
153600,74
154320,81
155520,74
156000,81
156240,81
157680,72
157920,74
158160,81
159360,79
160800,77
161280,74
