time,semitone
28800,76
29040,76
29520,74
29760,74
30240,79
30480,79
32400,67
32640,76
32880,77
33120,76
33360,74
33840,72
34080,71
34320,72
36480,76
36720,76
37200,74
37440,74
37920,79
38160,79
38640,72
39120,72
40080,67
40320,76
40560,77
40800,76
41040,74
41520,72
41760,71
42000,72
43680,79
44160,76
45120,74
45360,76
45600,77
45840,76
46320,74
46800,76
48000,79
48960,76
49920,77
50880,76
51840,76
52320,74
52560,76
53520,74
53760,76
54000,79
54240,76
55440,67
55680,76
55920,77
56160,76
56400,74
57120,71
57360,72
60960,77
61440,77
62160,76
62400,76
63360,71
64080,72
64320,72
64800,77
65280,77
66000,76
66240,76
66720,74
67200,74
68640,77
69120,77
69840,76
70080,76
71040,71
71760,72
72000,72
72480,79
72960,79
73920,77
74880,76
75840,74
76320,77
76800,77
77520,76
77760,76
78720,71
79440,72
79680,72
80160,77
80640,77
81360,76
81600,76
82080,74
82560,74
84000,77
84480,77
85200,76
85440,76
86400,71
87120,72
87360,72
87840,79
88320,79
89280,77
90240,76
91200,74
107040,79
107520,76
108480,74
108720,76
108960,79
109200,76
110640,72
110880,74
111120,76
111360,77
111840,76
112080,74
112800,72
113040,76
115200,76
115680,74
115920,76
116880,76
117120,77
117600,76
117840,74
118320,72
118560,74
118800,76
119040,77
119520,79
119760,76
120720,72
120960,77
121440,76
121920,72
122400,74
124500,76
126720,74
128640,67
137760,77
138240,77
138960,76
139200,76
140160,71
140880,72
141120,72
141600,77
142080,77
142800,76
143040,76
143520,74
144000,74
145440,77
145920,77
146640,76
146880,76
147840,71
148560,72
148800,72
149280,79
149760,79
150720,77
151680,76
152640,74
153120,77
153600,77
154320,76
154560,76
155520,71
156240,72
156480,72
156960,77
157440,77
158160,76
158400,76
158880,74
159360,74
160800,77
161280,77
162000,76
162240,76
163200,71
163920,72
164160,72
164640,79
165120,79
165840,81
166080,81
166560,79
167040,79
168480,77
168960,77
169680,76
169920,76
170880,71
171600,72
171840,72
172320,77
172800,77
173520,76
173760,76
174240,74
174720,74
176160,77
176640,77
177360,76
177600,76
178560,71
179280,72
179520,72
180000,77
180480,77
181200,76
181440,76
181920,74
182400,74
183840,72
184320,72
185040,74
185280,76
186240,74
187680,72
188160,72
188880,74
189120,76
190080,74
191520,77
192000,77
192720,76
192960,76
193920,71
194640,72
194880,72
195360,79
195840,79
196800,77
197760,76
198720,74
199680,72
