time,semitone
11520,61
11580,63
11880,60
12960,58
13200,56
13500,58
13800,60
14160,56
14880,58
15120,56
15360,63
15720,60
16800,58
17040,56
17280,58
17640,60
18000,56
18240,58
18600,60
18960,56
19200,51
19560,56
19920,55
19920,56
20880,56
21120,51
21480,56
21840,56
22080,58
22800,56
23040,51
23400,56
23760,56
24720,56
24960,51
25320,56
25680,56
25920,58
26820,61
26880,63
27240,60
28320,58
28560,56
28800,58
30240,56
30480,56
30720,63
30960,63
31080,60
32160,58
32700,61
33600,60
34320,56
34560,51
34920,56
35280,56
35520,56
36240,56
36540,51
36840,56
37200,56
37440,58
38160,56
38400,61
38760,60
39120,56
39360,61
39720,60
40080,56
40320,58
44160,56
44520,58
44880,60
45180,63
45480,60
45840,58
46080,56
46440,58
46800,60
47040,63
48000,56
48360,58
48720,60
48960,63
49320,60
49680,60
49920,67
50280,68
50580,67
50940,63
51840,68
51840,67
52200,67
52500,65
52800,63
53160,56
53520,63
53760,63
54120,61
54420,60
54720,58
55680,67
55740,68
56040,67
56400,65
56640,63
57000,56
57360,63
57660,63
60420,60
60480,61
60840,60
61200,58
61440,56
69120,61
69180,63
69480,60
70560,58
70800,56
71100,58
71400,60
71760,56
72480,58
72720,56
72960,63
73320,60
74400,58
74640,56
74880,58
75240,60
75600,56
75840,58
76560,56
76800,51
77160,56
77520,55
77520,56
78480,56
78720,51
79080,56
79440,56
79680,58
80400,56
80640,61
81000,60
81300,56
81600,61
81960,60
82260,61
82320,63
82560,63
94020,61
94080,63
94440,60
95520,58
95760,56
96000,58
97440,56
97680,56
97920,63
98160,63
98280,60
99360,58
99900,61
100800,60
101280,56
101520,56
101760,63
102000,63
102120,60
103200,58
103440,56
103680,58
104040,60
105360,56
105600,61
105960,60
106320,56
106560,61
106920,60
107280,63
107520,63
111360,56
111720,58
112080,60
112380,63
112680,60
113040,58
113280,56
113640,58
114000,60
114240,63
115200,56
115560,58
115920,60
116160,63
116520,60
116880,60
117120,67
117480,68
117780,67
118140,63
119040,68
119040,67
119400,67
119700,65
120000,63
120360,56
120720,63
120960,63
121320,61
121620,60
121920,58
122880,67
122940,68
123240,67
123600,65
123840,63
124200,56
124560,63
124860,63
128640,56
129000,58
129360,60
129660,63
129960,60
130320,58
130560,56
130920,58
131280,60
131520,63
132480,56
132840,58
133200,60
133440,63
133800,60
134160,60
134400,67
134760,68
135060,67
135420,63
136320,68
136320,67
136680,67
136980,65
137280,63
137640,56
138000,63
138240,63
138600,61
138900,60
139200,58
140160,67
140220,68
140520,67
140880,65
141120,63
141480,56
141840,63
142140,63
144900,60
144960,61
145320,60
145680,58
145920,56
