time,semitone
1920,50
2160,50
2640,50
3840,50
4080,50
4320,50
4560,50
4800,50
5760,50
6720,50
6960,50
7200,50
7680,50
8640,50
8760,50
8880,50
9000,50
11280,54
11400,57
12720,57
12840,54
12960,57
13200,57
13320,59
15120,61
15360,57
16560,57
16680,54
16800,57
16920,57
17160,59
18960,59
19080,62
20400,62
20520,59
20640,62
20760,62
21000,62
22800,59
22920,62
24240,62
24480,62
24720,64
26640,54
26760,57
28080,57
28200,54
28320,57
28560,57
28680,59
30480,61
30720,57
31920,57
32040,54
32160,57
32280,57
32520,59
34320,59
34440,62
35760,62
36000,62
36120,62
36360,62
38160,59
38280,62
39600,62
39840,62
40080,64
41760,57
42240,66
43200,64
43440,66
43560,64
43920,61
44400,62
45840,57
46080,66
46320,66
46440,66
46800,66
46920,64
47280,66
47520,64
47760,61
48240,62
49920,69
50880,67
51360,69
51600,66
53280,62
53520,64
53760,66
55200,62
55440,64
55680,66
56640,61
57600,62
65040,59
65160,62
66480,62
66600,59
66720,62
66840,62
67080,62
68880,59
69000,62
70320,62
70560,62
70800,64
72480,57
72960,66
73920,64
74160,66
74280,64
74640,61
75120,62
76560,57
76800,66
77040,66
77160,66
77520,66
77640,64
78000,66
78240,64
78480,61
78960,62
80160,59
80400,61
80640,62
81120,62
81360,64
81480,61
82080,57
82320,57
82560,60
82800,60
83040,60
83280,62
83400,59
84240,55
84360,59
85440,66
86160,64
87240,66
110880,62
111120,64
111600,66
112800,62
113040,64
113520,66
114720,62
114960,64
115440,62
116400,57
116640,62
117360,57
117480,57
118560,62
118800,64
119280,66
120480,62
120720,64
121200,66
122400,62
122640,64
123120,62
