time,semitone
8640,60
9120,62
9600,59
10320,57
10560,59
12480,52
12960,55
13440,60
14160,59
14400,60
16320,60
16800,62
17280,59
18000,57
18240,59
20160,52
20640,55
21120,64
21840,67
22080,64
24000,64
24240,62
24480,60
24720,62
24960,64
25680,62
25920,64
26640,62
26880,64
27840,60
28320,62
28800,64
29520,67
29760,64
31680,64
31920,62
32160,60
32400,62
32640,64
33360,62
33600,64
34320,62
34560,64
35520,60
36000,62
36480,64
37200,67
37440,64
47040,60
47520,62
48000,59
48720,57
48960,59
50880,52
51360,55
51840,60
52560,59
52800,60
54720,60
55200,62
55680,59
56400,57
56640,59
58560,52
59040,55
59520,64
60240,67
60480,64
61920,55
62160,55
62400,67
62640,65
62880,64
63120,62
63360,62
63600,64
63840,62
64080,64
64800,62
65040,64
65760,55
66000,55
66240,67
66480,65
66720,64
66960,62
67200,62
67440,64
67680,62
67920,64
68640,62
68880,64
69600,55
69840,55
70080,67
70320,65
70560,64
70800,62
71040,62
72480,60
72720,62
72960,64
73920,62
74880,60
81600,64
81840,62
82080,60
82320,62
82560,64
83280,62
83520,64
84240,62
84480,64
85440,60
85920,62
86400,64
87120,67
87360,64
89280,64
89520,62
89760,60
90000,62
90240,64
90960,62
91200,64
91920,62
92160,64
93120,60
93600,62
94080,64
94800,67
95040,64
96480,55
96720,55
96960,67
97200,65
97440,64
97680,62
97920,62
98160,64
98400,62
98640,64
99360,62
99600,64
100320,55
100560,55
100800,67
101040,65
101280,64
101520,62
101760,62
102000,64
102240,62
102480,64
103200,62
103440,64
104160,55
104400,55
104640,67
104880,65
105120,64
105360,62
105600,62
107040,60
107280,62
107520,64
108480,62
109440,60
110160,59
111120,64
121440,55
121680,55
121920,67
122160,65
122400,64
122640,62
122880,62
123120,64
123360,62
123600,64
124320,62
124560,64
125280,55
125520,55
125760,67
126000,65
126240,64
126480,62
126720,62
126960,64
127200,62
127440,64
128160,62
128400,64
129120,55
129360,55
129600,67
129840,65
130080,64
130320,62
130560,62
132000,60
132240,62
132480,64
132960,55
133200,55
133440,67
133680,65
133920,64
134160,62
134400,62
134640,64
134880,62
135120,64
135840,62
136080,64
136800,55
137040,55
137280,67
137520,65
137760,64
138000,62
138240,62
138480,64
138720,62
138960,64
139680,62
139920,64
140640,55
140880,55
141120,67
141360,65
141600,64
141840,62
142080,62
143520,60
143760,62
144000,64
144960,62
145920,60
