time,semitone
3840,74
4080,74
4560,74
5760,73
6000,73
6240,73
6720,73
6960,73
7680,74
9600,74
9840,74
10080,74
11520,74
13440,74
13680,74
13920,74
14160,74
22320,69
22560,78
22800,69
23040,76
23520,74
23760,76
24240,78
25200,76
25680,74
30240,74
30480,74
30720,73
31200,71
31440,69
32160,66
32400,71
37440,71
37920,74
38160,76
38880,76
39120,76
39600,78
40320,78
42240,74
42720,76
43200,78
43680,71
44640,76
49920,74
50400,76
50880,78
51360,69
60720,69
60960,78
61200,69
61440,76
61800,74
62160,76
62640,78
63600,76
64080,74
68640,74
68880,74
69120,73
69600,71
69840,69
70560,66
70800,71
75840,71
76320,74
76560,76
77280,76
77520,76
78000,78
78720,78
80640,74
81120,76
81600,78
82080,71
83040,76
83520,76
88320,74
88800,76
89280,78
89760,69
96000,74
96960,76
97920,78
98400,76
98640,78
99360,76
99600,78
100320,76
100560,78
101280,76
101520,78
103680,74
104640,76
105600,78
106080,76
106320,78
107040,76
107280,78
108000,76
108240,78
108960,74
109200,76
109920,69
111360,69
112320,81
113280,78
113760,79
114000,78
114720,81
114960,82
115680,79
115920,78
116400,76
116880,74
118560,78
118800,82
119520,78
119760,76
120480,74
120720,74
124320,69
124800,70
125280,74
125760,74
126240,76
126720,78
127680,73
128160,74
145200,69
145440,78
145680,69
145920,76
146400,74
146640,76
147120,78
148080,76
148560,74
152880,74
153600,73
154080,71
154320,69
155040,66
155280,71
160320,71
160800,74
161040,76
161760,76
162000,76
162480,78
163200,78
165120,74
165600,76
166080,78
166560,71
167520,76
168000,76
172800,74
173280,76
173760,78
174240,69
180480,74
181440,76
182400,78
182880,76
183120,78
183840,76
184080,78
184800,76
185040,78
185760,76
186000,78
188160,74
189120,76
190080,78
190560,76
190800,78
191520,76
191760,78
192480,76
192720,78
193440,74
193680,76
194400,69
195840,69
196800,81
197760,78
198240,79
198480,78
199200,81
199440,82
200160,79
200400,78
201120,76
201600,74
203040,78
203280,82
204000,78
204240,76
204960,74
205200,74
208800,69
209280,70
209760,74
210240,74
210720,76
211200,78
212160,73
212640,74
241920,74
242880,76
243840,78
244320,76
244560,78
245280,76
245520,78
246240,76
246480,78
247200,76
247440,78
249600,74
250560,76
251520,78
252000,76
252240,78
252960,76
253200,78
253920,76
254160,78
254880,74
255120,76
255840,69
257280,69
258240,81
259200,78
259680,79
259920,78
261120,82
261600,82
261840,82
262800,82
263040,83
263520,83
263760,83
264240,83
264960,82
267360,78
267600,76
268320,78
268560,74
272640,74
273600,76
274560,78
275040,76
275280,78
276000,76
276240,78
276960,76
277200,78
277920,76
278160,78
280320,74
281280,76
282240,78
282720,76
282960,78
283680,76
283920,78
284640,76
284880,78
285600,74
285840,76
286560,69
288000,69
288960,81
289920,78
290400,79
290640,78
291360,81
291600,82
292320,78
292560,76
293040,78
293760,74
295200,78
295440,82
296160,78
296400,76
296880,78
297600,74
300960,69
301440,70
301920,74
302400,74
302880,76
303360,78
304320,73
304800,74
