time,semitone
3360,53
8640,52
15720,59
15840,59
16080,59
16200,59
16440,56
16800,59
17040,61
17160,62
19560,62
19680,62
19920,66
20040,64
20400,61
20640,59
20880,57
21000,59
23400,59
23520,59
23760,59
23880,59
24120,56
24480,59
24720,61
24840,62
27240,62
27360,62
27600,66
27720,64
28080,61
28320,59
28560,57
28680,59
31080,64
31200,64
31440,63
31560,61
31920,58
32040,66
32400,64
32640,63
34920,62
35040,62
35280,61
35400,59
35760,56
35880,64
36240,62
36480,61
38760,59
38880,59
39120,59
39240,61
39600,57
39840,56
39960,57
40320,59
42480,59
42600,59
42960,61
43080,59
43440,56
43560,59
43920,64
44040,62
46320,62
46440,62
46680,66
47040,64
47280,61
47400,59
47640,57
47880,59
48120,57
48240,56
50160,59
50280,59
50520,61
50880,59
51120,56
51240,59
51480,64
51840,66
52080,64
52200,62
54000,62
54120,62
54360,66
54720,64
54960,61
55080,59
55320,57
55560,59
55800,57
55920,56
57960,64
58080,64
58320,63
58440,61
58800,58
58920,66
59280,64
59520,63
61800,62
61920,62
62160,61
62280,59
62640,56
62760,64
63120,62
63360,61
65520,59
65640,59
66000,59
66120,61
66480,57
66600,56
66960,57
67080,59
69360,61
69480,61
69840,57
69960,59
70320,56
70440,54
70800,51
70920,52
72960,68
73920,71
74160,69
74400,66
74760,63
75000,64
76800,66
77040,68
77160,69
77520,66
77760,62
78000,64
78120,66
78480,64
78720,63
78960,66
79080,59
80640,68
81600,71
81840,69
82080,66
82440,63
82680,64
84480,66
84720,68
84840,69
85200,66
85440,62
85680,64
85800,66
86160,64
86400,63
86640,66
86760,59
89880,59
90000,64
90120,66
90240,68
90600,68
90960,68
91440,69
91680,68
92160,66
92400,66
92520,66
92880,66
93360,68
93600,66
94080,64
94320,61
94440,63
94680,64
94920,68
95280,66
95520,66
95760,64
95880,66
97560,59
97680,64
97800,66
97920,68
98280,68
98640,68
99120,69
99360,68
99840,66
100080,66
100200,66
100560,66
101040,68
101280,66
101760,64
102000,61
102120,63
102360,64
102600,68
102840,66
103080,64
103320,63
103680,64
124800,68
125760,71
126000,69
126240,66
126600,63
126840,64
128640,66
128880,68
129000,69
129360,66
129600,62
129840,64
129960,66
130320,64
130560,63
130800,66
130920,59
132480,68
133440,71
133680,69
133920,66
134280,63
134520,64
136320,66
136560,68
136680,69
137040,66
137280,62
137520,64
137640,66
138000,64
138240,63
138600,66
138960,71
141720,59
141840,64
141960,66
142080,68
142440,68
142800,68
143280,69
143520,68
144000,66
144240,66
144360,66
144720,66
145200,68
145440,66
145920,64
146160,61
146280,63
146520,64
146760,68
147120,66
147360,66
147600,64
147720,66
149400,59
149520,64
149640,66
149760,68
150120,68
150480,68
150960,69
151200,68
151680,66
151920,66
152040,66
152400,66
152880,68
153120,66
153600,64
153840,61
153960,63
154200,64
154440,68
154680,66
154920,64
155160,63
155520,64
157080,59
157200,64
157320,66
157440,68
157800,68
158160,68
158640,69
158880,68
159360,66
159600,66
159720,66
160080,66
160560,68
160800,66
161280,64
161520,61
161640,63
161880,64
162120,73
162480,68
162720,66
162960,64
163080,66
164760,59
164880,64
165000,66
165120,68
165480,68
165840,68
166320,69
166560,68
167040,66
167280,66
167400,66
167760,66
168240,68
168480,66
168960,64
169200,61
169320,63
169560,64
169800,68
170040,66
170280,64
170520,63
170880,64
171600,63
171720,64
171840,66
172800,71
172920,69
173160,68
173400,66
173640,68
173880,66
174120,64
174360,66
174720,64
