time,semitone
11040,62
11280,64
11520,66
11760,66
11940,66
12120,67
12360,66
12720,64
12900,62
13140,64
13440,64
13440,62
13680,62
13800,64
14040,61
14280,61
14460,62
15120,62
15240,64
15360,66
15600,64
15720,66
16020,67
16200,64
16320,66
16500,64
16680,62
16980,64
17160,64
17280,66
18720,62
18960,64
19200,66
19440,66
19620,66
19800,67
20100,66
20340,64
20580,62
20820,64
21180,64
21420,62
21540,64
21720,61
21960,61
22080,62
22560,57
22800,54
23040,55
23460,62
23820,55
24060,57
24420,62
24780,64
24900,62
24960,64
25020,66
25380,64
25500,62
26880,62
27120,62
27360,62
27600,59
27720,57
27840,62
27960,64
28080,66
28200,66
28440,64
28560,62
28800,64
28920,66
29040,64
29160,62
29340,62
29520,59
29760,64
29880,66
30000,64
30120,62
30300,62
30780,62
30960,62
31200,62
31440,59
31560,57
31680,62
31800,64
31920,66
32040,66
32280,64
32400,62
32640,64
32880,62
33060,64
33360,62
33600,64
33600,66
33840,62
34140,59
34320,62
34560,62
34800,62
35040,62
35280,59
35400,57
35520,62
35640,64
35760,66
35880,66
36120,64
36240,62
36480,64
36600,66
36720,64
36840,62
37020,62
37200,59
37440,64
37560,66
37680,64
37800,62
37980,62
38460,62
38640,62
38880,62
39120,59
39240,57
39360,62
39480,64
39600,66
39720,66
39960,64
40080,62
40320,64
40560,62
40740,64
41040,62
41280,64
41280,66
41520,62
41820,59
42000,62
49440,62
49680,64
49920,66
50160,66
50340,66
50520,67
50760,66
51120,64
51300,62
51540,64
51840,64
51840,62
52080,62
52200,64
52440,61
52680,61
52860,62
53520,62
53640,64
53760,66
54000,64
54120,66
54420,67
54600,64
54720,66
54900,64
55080,62
55380,64
55560,64
55680,66
57120,62
57360,64
57600,66
57840,66
58020,66
58200,67
58500,66
58740,64
58980,62
59460,62
59580,64
59820,62
59940,64
60120,61
60360,61
60480,62
60960,57
61200,54
61440,55
61860,62
62220,55
62460,57
62820,62
63180,64
63300,62
63360,64
63420,66
63780,64
63900,62
65280,62
65520,62
65760,62
66000,59
66120,57
66240,62
66360,64
66480,66
66600,66
66840,64
66960,62
67200,64
67320,66
67440,64
67560,62
67740,62
67920,59
68160,64
68280,66
68400,64
68520,62
68700,62
69180,62
69360,62
69600,62
69840,59
69960,57
70080,62
70200,64
70320,66
70440,66
70680,64
70800,62
71040,64
71280,62
71460,64
71760,62
72000,64
72000,66
72240,62
72540,59
72720,62
72960,62
73200,62
73440,62
73680,59
73800,57
73920,62
74040,64
74160,66
74280,66
74520,64
74640,62
74880,64
75000,66
75120,64
75240,62
75420,62
75600,59
75840,64
75960,66
76080,64
76200,62
76380,62
76860,62
77040,62
77280,62
77520,59
77640,57
77760,62
77880,64
78000,66
78120,66
78360,64
78480,62
78720,64
78960,62
79140,64
79440,62
79680,64
79680,66
79920,62
80220,59
80400,62
82560,64
82560,62
82800,62
82920,64
83280,62
83460,64
83580,66
83760,62
84000,59
84240,62
86460,64
86700,62
86760,64
87120,62
87300,64
87360,66
87600,62
87840,59
88080,62
95940,69
96000,71
96300,69
96420,71
96600,69
96840,66
96960,64
97200,62
97380,64
97800,57
97920,57
98160,62
98280,64
98820,57
98940,57
99000,64
99060,66
99300,64
99480,66
99840,69
99900,71
100080,69
100260,71
100440,69
100680,66
100740,64
100980,62
101100,62
101340,62
101400,64
101520,66
101760,64
101820,66
102060,64
102300,64
103680,64
103920,64
104160,64
104400,61
104520,59
104640,64
104760,66
104880,68
105000,68
105240,66
105360,64
105600,66
105720,68
105840,66
105960,64
106140,64
106320,61
106560,66
106680,68
106800,66
106920,64
107100,64
107580,64
107760,64
108000,64
108240,61
108360,59
108480,64
108600,66
108720,68
108840,68
109080,66
109200,64
109440,66
109680,64
109860,66
110160,64
110400,68
110400,66
110640,64
110940,61
111120,64
111360,64
111600,64
111840,64
112080,61
112200,59
112320,64
112440,66
112560,68
112680,68
112920,66
113040,64
113280,66
113400,68
113520,66
113640,64
113820,64
114000,61
114240,66
114360,68
114480,66
114600,64
114780,64
115260,64
115440,64
115680,64
115920,61
116040,59
116160,64
116280,66
116400,68
116520,68
116760,66
116880,64
117120,66
117360,64
117540,66
117840,64
118080,68
118080,66
118320,64
118620,61
118800,64
119040,64
119280,64
119520,64
119760,61
119880,59
120000,64
120120,66
120240,68
120360,68
120600,66
120720,64
120960,66
121080,68
121200,66
121320,64
121500,64
121680,61
121920,66
122040,68
122160,66
122280,64
122460,64
122940,64
123120,64
123360,64
123600,61
123720,59
123840,64
123960,66
124080,68
124200,68
124440,66
124560,64
124800,66
125040,64
125220,66
125520,64
125760,68
125760,66
126000,64
126300,61
126480,64
126720,64
126960,64
127200,64
127440,61
127560,59
127680,64
127800,66
127920,68
128040,68
128280,66
128400,64
128640,66
128760,68
128880,66
129000,64
129180,64
129360,61
129600,66
129720,68
129840,66
129960,64
130140,64
130620,64
130800,64
131040,64
131280,61
131400,59
