time,semitone
3840,74
4080,76
4200,78
4560,74
4800,73
5040,74
5160,76
5520,73
5760,71
6000,73
6120,74
7560,71
7680,76
7920,78
8040,79
8400,76
8640,75
8880,76
9000,78
9480,71
9600,79
9840,78
10080,76
10320,71
10560,74
11040,73
12360,66
12480,69
12720,66
12840,69
13200,66
13320,70
13920,66
14160,64
14280,62
14400,64
14640,62
14760,62
16200,59
16320,64
16560,66
16680,67
17040,66
17160,67
17760,67
17940,67
18100,69
18220,71
18940,69
19060,69
20020,66
20140,69
20380,69
20500,69
20860,69
20980,70
21580,70
21700,71
21940,73
22060,76
22300,74
22660,73
22900,74
23020,66
23500,71
23660,71
23820,74
23980,76
24220,74
24460,71
25420,71
25580,71
25740,74
25900,76
26140,74
26620,74
26860,69
27580,74
27700,76
27820,78
28060,76
28300,74
28460,74
28620,76
28940,78
29180,76
29420,74
29600,74
29760,78
31440,74
31560,76
31680,78
31920,76
32040,74
32400,74
32640,76
32880,78
33000,76
33360,74
33600,74
35520,74
35760,76
35880,78
36240,74
36480,73
36720,74
36840,76
37200,73
37440,71
37680,73
37800,74
39240,71
39360,76
39600,78
39720,79
40080,76
40320,75
40560,76
40680,78
41160,71
41280,79
41520,78
41760,76
42000,71
42240,74
42720,73
43200,74
43440,76
43560,78
43920,74
44160,73
44400,74
44520,76
44880,73
45120,71
45360,73
45480,74
47040,76
47280,78
47400,79
47760,76
48000,75
48240,76
48360,78
48840,71
48960,79
49200,78
49440,76
49680,71
49920,74
50400,73
53640,66
53760,69
54000,66
54120,69
54480,66
54600,70
55200,66
55360,64
55520,62
55680,64
55920,62
56040,62
57480,59
57600,64
57840,66
57960,67
58320,66
58440,67
59040,67
59220,67
59380,69
59500,66
59740,64
59900,64
60260,62
60420,64
61320,66
61440,69
61680,69
61800,69
62160,69
62280,70
62880,70
63040,71
63200,73
63360,76
63600,74
63720,74
64080,76
64200,71
64800,71
64960,71
65120,74
65280,78
65520,76
65760,71
66720,71
66880,71
67040,74
67200,78
67440,76
67680,76
67920,74
68160,78
69120,74
69360,76
69480,78
69840,74
70080,73
70320,74
70440,76
70800,73
71040,71
71280,73
71400,74
72840,71
72960,76
73200,78
73320,79
73680,76
73920,75
74160,76
74280,78
74760,71
74880,79
75120,78
75360,76
75600,71
75840,74
76320,73
76800,74
77040,76
77160,78
77520,74
77760,73
78000,74
78120,76
78480,73
78720,71
78960,73
79080,74
80640,76
80880,78
81000,79
81360,76
81600,75
81840,76
81960,78
82440,71
82560,79
82800,78
83040,76
83280,71
83520,74
84000,73
110160,74
110240,76
110400,78
110640,76
110880,74
111040,74
111200,76
111520,78
111760,76
111940,74
112180,74
112340,78
114020,74
114140,76
114260,78
114500,76
114620,74
114980,74
115220,76
115460,78
115580,76
115940,74
116180,78
118100,76
120020,74
120260,76
120380,78
120740,74
120980,73
121220,74
121340,76
121700,73
121940,71
122180,73
122300,74
123740,71
123860,76
124100,78
124220,79
124580,76
124820,75
125060,76
125180,78
125660,71
125780,79
126020,78
126260,76
126500,71
126740,74
127220,73
127700,74
127940,76
128060,78
128420,74
128660,73
128900,74
129020,76
129380,73
129620,71
129860,73
129980,74
131540,76
131780,78
131900,79
132260,76
132500,75
132740,76
132860,78
133340,71
133460,79
133700,78
133940,76
134180,71
134420,74
134900,73
142700,78
142860,78
143020,83
143260,78
143420,76
143660,74
143820,76
144140,78
144380,76
144540,74
144780,78
145100,76
151400,62
151520,64
151680,66
151920,64
152160,62
152320,62
152480,64
152800,66
153040,64
153220,62
153460,62
153620,66
155300,62
155420,64
155540,66
155780,64
155900,62
156260,62
156500,64
156740,66
156860,64
157220,62
157460,62
