time,semitone
32640,57
33120,66
35520,64
35880,64
36240,62
36560,69
36980,66
39380,64
39620,62
40160,69
40320,71
40800,69
41520,69
42000,67
42320,67
43220,62
43540,62
43900,62
44140,64
44180,66
44660,64
45380,62
45860,64
47540,62
47780,64
48020,66
48500,71
48820,71
49660,66
49900,66
50520,74
50880,73
51600,71
52060,66
55200,59
55440,62
55740,66
56160,64
57240,62
57600,62
58560,61
58800,59
59160,57
59640,64
62400,62
63360,69
63840,66
66240,64
66600,64
66960,62
67280,62
70100,64
70340,66
70880,69
71180,71
71540,71
72500,69
72740,69
73940,69
74260,71
74580,74
75000,78
75600,76
76320,74
76680,76
78240,78
78960,73
79440,74
79680,74
80160,73
80520,73
80940,71
81180,71
82800,66
85920,59
86160,62
86480,66
86900,64
87980,62
88340,62
88700,61
89020,59
89860,57
90340,64
93460,74
93820,76
94240,79
94780,78
95140,78
95500,76
95860,76
96220,74
97180,73
97600,74
98040,78
101260,74
101620,76
101920,79
102580,78
103180,78
103420,76
103660,76
104160,74
105120,73
105360,74
105720,79
108940,74
109180,76
109420,78
109560,79
110160,78
110520,78
110880,76
111240,76
111760,74
112780,73
113020,74
113340,78
113760,76
114720,76
114960,74
115280,74
115700,70
116900,74
117140,76
117620,78
118100,76
118460,76
118940,74
119300,74
119780,73
120140,71
120980,69
121300,69
124320,74
125280,73
125600,74
132000,64
132960,62
133200,62
140160,69
140580,66
142860,57
143040,64
143460,64
144000,62
144360,62
146880,64
147240,64
147720,62
148020,62
149760,66
150360,64
151200,62
151560,64
152100,61
155040,62
155280,64
155640,66
156000,71
156240,71
157200,66
157440,66
157920,74
158700,73
159120,71
159440,78
162500,71
162980,71
163220,74
163700,78
164420,76
164740,76
165060,74
165420,74
166080,73
166400,71
166820,69
167160,76
168720,69
173740,76
174700,79
175420,78
175780,78
176140,76
176500,76
176860,74
177820,73
178240,74
178680,78
181900,74
182260,76
182560,79
183220,78
183820,78
184060,76
184300,76
184800,74
185760,73
186000,74
186360,79
189580,74
189820,76
190060,78
190200,79
190800,78
191160,78
191520,76
191880,76
192400,74
193420,73
193660,74
193980,78
194400,76
195360,76
195600,74
195920,74
196340,70
197540,74
197780,76
198260,78
198740,76
199100,76
199580,74
199940,74
200420,73
200780,71
201620,69
201940,76
204960,74
206140,73
206460,74
212640,81
214320,74
214640,74
283220,78
283700,79
284180,81
285620,74
286100,81
287420,79
288020,79
289460,81
290540,74
290860,74
