time,semitone
16380,55
16500,57
16620,59
16800,60
17100,60
17340,60
17640,60
18120,60
18360,60
18600,57
18720,53
19320,55
19440,57
19500,59
19620,60
19920,60
20160,60
20400,60
20880,60
21120,60
21360,62
21660,59
22140,55
22260,57
22380,59
22500,60
22800,60
23040,60
23280,60
23760,60
24000,60
24240,57
24360,53
25020,55
25140,57
25260,59
25320,60
25620,60
25860,60
26100,60
26640,60
26880,62
27360,62
27840,55
28080,55
28260,66
28320,67
28800,65
29280,64
29520,62
29760,62
30000,64
30180,57
30780,59
30960,60
31260,64
31680,64
32160,62
32400,60
32640,60
32940,64
33060,62
33540,55
33840,55
34080,67
34560,65
35040,64
35280,62
35520,62
35700,64
35880,57
36480,60
36720,62
36960,64
37200,62
37440,60
37680,59
37920,60
38160,59
38400,57
39120,59
39360,59
39600,59
39840,60
52500,55
52620,57
52740,59
52860,60
53100,60
53340,60
53640,60
54000,60
54300,60
54540,57
54660,53
55380,55
55500,57
55560,59
55680,60
55920,60
56160,60
56400,60
56880,60
57120,60
57360,62
57480,59
58200,55
58320,57
58440,59
58560,60
58800,60
59040,60
59280,60
59760,60
60000,60
60240,57
60360,53
61080,55
61200,57
61320,59
61440,60
61680,60
61920,60
61920,47
62100,47
62160,60
62580,60
62580,48
62880,62
62880,50
63360,62
63360,50
63840,55
63840,43
64080,55
64080,43
64320,67
64380,55
64380,57
64800,65
64800,53
65280,64
65280,52
65520,62
65520,50
65760,62
65760,50
66000,64
66000,52
66180,57
66180,45
66780,60
66780,48
66960,62
66960,50
67200,64
67200,52
67500,62
67500,50
67680,60
67680,48
67920,59
67920,47
68220,57
68220,45
68400,55
68460,43
68700,55
68700,43
68880,57
68880,45
69000,55
69000,43
69660,55
69660,43
69900,55
69900,43
70140,67
70140,55
70560,53
70620,65
71100,64
71100,52
71340,62
71340,50
71580,62
71580,50
71820,64
71820,52
72060,57
72060,45
72540,60
72540,48
72720,50
72780,62
72960,64
72960,52
73200,62
73200,50
73440,60
73440,48
73680,59
73680,47
73920,60
73920,48
74160,59
74160,47
74400,57
74400,45
75060,59
75060,47
75360,60
75360,48
75660,59
75660,57
75660,45
75660,43
75720,60
75840,60
75840,48
76800,59
76800,47
77040,60
77040,48
77280,67
77340,55
102960,67
104700,67
105180,67
105480,67
105720,69
105960,67
106080,65
106680,64
106860,65
107100,67
107580,67
108000,65
108240,64
108480,64
108780,65
108900,62
109440,55
109680,55
109920,67
110340,67
110880,67
111060,67
111300,69
111540,67
111720,65
112260,64
112500,65
112800,67
113160,67
113700,65
113940,64
114240,64
114240,62
114960,64
115200,64
115440,65
115680,67
116160,67
116640,67
116880,67
117120,69
117360,67
117480,65
118080,64
118320,65
118560,67
118980,67
119520,65
119700,64
120000,64
120240,65
120360,62
120960,55
121200,55
121440,67
121860,67
122400,67
122640,67
122880,69
123120,67
123240,65
123840,64
124080,65
124320,67
124740,65
125220,64
125460,62
125760,62
126480,62
126720,64
126960,65
127200,67
129600,55
129840,55
130140,60
130560,60
131040,60
131280,60
131580,60
131760,62
131880,59
132480,55
132720,55
132960,60
133440,60
133920,60
134160,60
134400,60
134700,59
134880,55
135360,55
135600,55
135840,60
136320,60
136800,60
137460,62
137760,59
138240,55
138780,60
140400,59
140640,55
