time,semitone
15360,64
15840,55
16080,60
16560,64
17280,62
17760,60
18000,59
18480,62
18960,60
19440,52
19680,52
22800,48
23040,53
23520,55
23760,57
24480,59
24720,60
25920,64
26280,62
26640,60
26880,64
27360,62
27600,62
30240,60
30480,62
30720,64
31200,55
31440,60
31920,64
32400,62
32880,60
33600,59
34080,62
34320,60
37680,57
38160,52
38400,53
38880,55
39120,57
39600,60
40320,64
40800,62
41520,60
42000,57
42240,55
45360,60
45360,57
45840,62
45840,59
46080,64
46080,60
46560,64
46560,60
46800,65
46800,62
47520,64
47520,60
47760,64
47760,60
48480,62
48480,59
48720,60
48720,57
49200,59
49200,55
49680,60
49680,57
50160,57
50160,52
53040,57
53520,52
53760,53
54240,55
54480,57
54960,60
55440,64
55920,62
56880,60
57360,57
57600,62
66960,55
66960,55
67200,62
67200,59
67680,64
67680,60
67920,65
67920,62
68880,64
68880,60
69120,64
69120,60
70800,55
70800,55
71040,62
71040,59
71520,64
71520,60
71760,65
71760,62
72480,64
72480,60
72720,64
72720,60
74640,55
74640,55
74880,62
74880,59
75120,64
75120,60
75600,62
75600,59
76080,60
76080,57
76560,62
76560,59
77040,64
77040,60
77280,64
77280,59
78480,55
78480,55
78720,59
78720,62
79200,64
79200,60
79440,65
79440,62
80160,59
80160,62
80400,59
80400,62
82320,55
82320,55
82560,62
82560,59
82800,64
82800,60
83280,65
83280,62
84000,64
84000,60
84240,64
84240,60
86160,55
86160,55
86400,64
86400,60
86640,65
86640,62
87120,64
87120,67
87840,65
87840,62
88080,64
88080,60
88560,64
88560,60
90000,55
90000,55
90240,62
90240,59
90720,64
90720,60
90960,62
90960,59
91440,60
91440,57
91920,62
91920,59
92640,64
92640,60
92880,64
92880,59
93720,55
93720,55
94080,59
94080,62
94560,64
94560,60
94800,65
94800,62
95520,59
95520,62
95760,59
95760,62
99120,60
99600,62
99840,64
100320,55
100560,60
101040,64
101520,62
102000,60
102480,59
102960,60
103440,62
103680,60
104160,57
104400,52
106800,57
107280,52
107520,53
108000,55
108240,57
108720,60
109200,64
109680,62
110640,60
111120,57
111360,55
114480,60
114480,57
114960,62
114960,59
115200,64
115200,60
115680,64
115680,60
115920,65
115920,62
116640,64
116640,60
116880,64
116880,60
117600,62
117600,59
117840,60
117840,57
118320,59
118320,55
118800,60
118800,57
119280,57
119280,52
122160,57
122640,52
122880,53
123360,55
123600,57
124320,60
124560,60
125760,57
126120,60
126480,64
126960,62
127200,62
132240,55
132240,55
132480,62
132480,59
132960,64
132960,60
133200,65
133200,62
134160,64
134160,60
134400,64
134400,60
136080,55
136080,55
136320,62
136320,59
136800,64
136800,60
137040,65
137040,62
138000,64
138000,60
138240,64
138240,60
139920,55
140160,62
140400,64
140880,62
141360,60
141840,62
142320,64
142560,64
143640,55
143640,55
144000,59
144000,62
144480,64
144480,60
144720,65
144720,62
145440,59
145440,62
145680,59
145680,62
147600,55
147600,55
147840,62
147840,59
148080,64
148080,60
148560,65
148560,62
149280,64
149280,60
149520,64
149520,60
151440,55
151440,55
151680,64
151680,60
151920,65
151920,62
152400,64
152400,67
153120,65
153120,62
153360,64
153360,60
153840,64
153840,60
155280,55
155520,62
156000,64
156240,62
156720,60
157200,62
157680,64
157920,64
159120,55
159120,55
159360,59
159360,62
159840,64
159840,60
160080,65
160080,62
160800,59
160800,62
161040,59
161040,62
212880,55
212880,55
213120,62
213120,59
213600,64
213600,60
213840,65
213840,62
214800,64
214800,60
215040,64
215040,60
216720,55
216720,55
216960,62
216960,59
217440,64
217440,60
217680,65
217680,62
218640,64
218640,60
218880,64
218880,60
220560,55
220800,62
221040,64
221520,62
222000,60
222480,62
222960,64
223200,64
224280,55
224280,55
224640,59
224640,62
225120,64
225120,60
225360,65
225360,62
226080,59
226080,62
226320,59
226320,62
228240,55
228240,55
228480,62
228480,59
228720,64
228720,60
229200,65
229200,62
229920,64
229920,60
230160,64
230160,60
232080,55
232080,55
232320,64
232320,60
232560,65
232560,62
233040,64
233040,67
233760,65
233760,62
234000,64
234000,60
234480,64
234480,60
235920,55
236160,62
236640,64
236880,62
237360,60
237840,62
238320,64
238560,64
239760,55
239760,55
240000,59
240000,62
240480,64
240480,60
240720,65
240720,62
241440,59
241440,62
241680,59
241680,62
243600,55
243600,55
243840,62
243840,59
244320,64
244320,60
244560,65
244560,62
245520,64
245520,60
245760,64
245760,60
247440,55
247440,55
247680,62
247680,59
248160,64
248160,60
248400,65
248400,62
249360,64
249360,60
249600,64
249600,60
251280,55
251520,62
251760,64
252240,62
252720,60
253200,62
253680,64
253920,64
255000,55
255000,55
255360,59
255360,62
255840,64
255840,60
256080,65
256080,62
256800,59
256800,62
257040,59
257040,62
258960,55
258960,55
259200,62
259200,59
259440,64
259440,60
259920,65
259920,62
260640,64
260640,60
260880,64
260880,60
262800,55
262800,55
263040,64
263040,60
263280,65
263280,62
263760,64
263760,67
264480,65
264480,62
264720,64
264720,60
265200,64
265200,60
266640,55
266880,62
267360,64
267600,62
268080,60
268560,62
269040,64
269280,64
270480,55
270480,55
270720,59
270720,62
271200,64
271200,60
271440,65
271440,62
272160,59
272160,62
272400,59
272400,62
276480,64
276960,55
277200,60
277680,64
278400,62
278880,60
279120,59
279600,62
280080,60
280560,52
280800,52
283920,48
284160,53
284640,55
284880,57
285600,59
285840,60
287040,64
287400,62
287760,60
288000,64
288480,62
288720,62
