time,semitone
23520,50
23760,62
25440,61
25680,61
26160,61
26640,62
27360,62
27600,62
28080,57
28560,59
29040,57
31200,50
31440,62
33120,61
33360,61
33840,61
34320,61
35040,62
35280,62
35760,61
36240,62
37680,57
37920,57
38160,57
38400,66
38640,64
39120,64
39600,62
40080,66
40560,64
42240,66
42480,64
42960,64
43440,62
43920,66
45120,66
45480,64
45840,64
46080,64
46320,62
46800,62
47040,62
47760,62
48000,62
48240,61
48720,61
49200,61
49680,61
50640,62
52560,59
54720,62
55680,61
56640,61
57600,61
58320,62
62400,62
63360,61
64320,61
65280,62
69600,50
69840,62
71520,61
71760,61
72240,61
72720,62
73440,62
73680,62
74160,57
74640,59
75120,57
77280,50
77520,62
79200,61
79440,61
79920,61
80400,61
81120,62
81360,62
81840,61
82320,62
83760,57
84000,57
84240,57
84480,66
84780,64
85200,64
86400,66
86640,64
87060,64
88080,62
88320,66
88800,62
89040,62
89520,59
90000,54
90960,66
91440,64
91920,64
92160,64
92520,62
92880,59
93120,64
93480,62
93840,62
94080,64
94440,62
94800,64
95280,62
95760,69
96240,67
96720,66
97200,67
97680,66
98160,64
98640,62
99120,59
100800,62
101760,61
102720,57
103680,54
108480,62
109440,61
110400,57
111360,64
114480,62
114720,64
115200,66
115920,59
116880,59
117120,67
117360,67
117600,67
117840,67
118320,69
118800,64
119280,64
119760,64
120240,62
120720,66
121800,66
122160,66
122640,66
122880,66
123240,64
123600,64
123840,64
124200,62
124560,62
124800,62
125160,61
125520,59
126000,64
126720,61
127440,61
127920,59
128400,57
129840,62
130320,64
130560,66
131280,59
132240,59
132480,67
132720,67
132960,67
133200,67
133680,69
134160,64
134640,64
135120,64
135600,62
136080,66
137280,66
137640,66
138000,66
138240,66
138600,64
138960,64
139200,64
139440,62
139800,62
140160,62
140520,61
140880,59
141360,64
142440,61
143040,61
143280,59
143760,57
154080,50
154320,62
156000,61
156240,61
156720,61
157200,62
157920,62
158160,62
158640,57
159120,59
159600,57
161760,50
162000,62
163680,61
163920,61
164400,61
164880,61
165600,62
165840,62
166320,61
166800,62
168240,57
168480,57
168720,57
168960,66
169260,64
169680,64
170880,66
171120,64
171540,64
172560,62
172800,66
173280,62
173520,62
174000,59
174480,54
175440,66
175920,64
176400,64
176640,64
177000,62
177360,59
177600,64
177960,62
178320,62
178560,64
178920,62
179280,64
179760,62
180240,69
180720,67
181200,66
181680,67
182160,66
182640,64
183120,62
183600,59
185280,62
186240,61
187200,57
188160,54
192960,62
193920,61
194880,57
195840,64
198960,62
199200,64
199680,66
200400,59
201360,59
201600,67
201840,67
202080,67
202320,67
202800,69
203280,64
203760,64
204240,64
204720,62
205200,66
206280,66
206640,66
207120,66
207360,66
207720,64
208080,64
208320,64
208680,62
209040,62
209280,62
209640,61
210000,59
210480,64
211200,61
211920,61
212400,59
212880,57
214320,62
214800,64
215040,66
215760,59
216720,59
216960,67
217200,67
217440,67
217680,67
218160,69
218640,64
219120,64
219600,64
220080,62
220560,66
221760,66
222120,66
222480,66
222720,66
223080,64
223440,64
223680,64
223920,62
224280,62
224640,62
225000,61
225360,59
225840,64
226560,61
227280,61
227760,59
228240,57
229920,66
229944,62
230424,67
230424,64
231144,62
231184,66
231844,64
231864,61
232344,66
232344,62
233004,62
233064,57
233664,62
233724,66
234264,64
234264,61
234924,62
234984,59
235584,64
235704,61
236184,54
237624,66
237624,62
238104,64
238124,67
238784,62
238844,66
239504,64
239528,61
240030,66
240030,62
240750,62
240770,57
241430,66
241470,62
241950,64
241950,61
285150,62
286110,61
287070,57
288030,54
292830,62
293790,61
294750,57
295710,64
298830,62
299070,64
299550,66
300270,59
301230,59
301470,67
301710,67
301950,67
302190,67
302670,69
303150,64
303630,64
304110,64
304590,62
305070,66
306150,66
306510,66
306990,66
307230,66
307590,64
307950,64
308190,64
308550,62
308910,62
309150,62
309510,61
309870,59
310350,64
311070,61
311790,61
312270,59
312750,57
314190,62
314670,64
314910,66
315630,59
316590,59
316830,67
317070,67
317310,67
317550,67
318030,69
318510,64
318990,64
319470,64
319950,62
320430,66
321630,66
321990,66
322350,66
322590,66
322950,64
323310,64
323550,64
323790,62
324150,62
324510,62
324870,61
325230,59
325710,64
326430,61
327150,61
327630,59
328110,57
329910,62
330270,64
330990,64
330990,62
331710,66
331710,61
332190,62
332910,57
333630,62
334110,61
334830,59
335550,57
335790,67
336030,54
336270,66
336750,64
337230,66
337470,62
337950,64
338070,64
338670,64
338670,62
339390,66
339390,61
339870,62
340590,57
341310,62
341790,61
342510,64
342990,66
343470,67
343950,66
344430,64
344910,66
346350,64
346350,61
346830,66
346830,62
348270,64
348270,61
348750,66
348750,62
350190,64
350190,61
350670,66
350670,62
351150,67
351150,64
351630,66
351630,62
352110,64
352110,61
352590,66
352590,62
353790,64
353790,61
354510,66
354510,62
355950,64
355950,61
356430,66
356430,62
357870,64
357870,61
358350,66
358350,62
358830,67
358830,64
359310,66
359310,62
359790,64
359790,61
360270,66
360270,62
