time,semitone
2160,55
2280,59
2640,55
2760,57
3060,59
3120,62
4320,60
4440,60
4560,62
4680,62
5040,60
5400,59
5760,55
6000,55
6120,59
6120,57
6480,55
6600,57
6960,62
7440,50
7680,52
7920,52
8160,54
8340,52
8400,54
9840,55
9960,59
9960,57
10320,55
10500,57
10800,62
12000,60
12120,60
12240,62
12360,62
12720,60
13080,59
13440,55
13680,55
13800,57
13860,59
14160,55
14280,57
14640,62
15120,50
15360,52
15600,52
15840,54
16080,52
16140,54
17040,55
17280,64
17280,62
17520,64
17760,64
18000,62
18480,57
18960,55
19200,57
19440,57
19680,62
19920,59
20280,57
20400,55
20640,59
20880,62
21120,64
21360,64
21600,64
21840,62
22320,57
22800,55
23040,57
23520,62
23760,59
24120,57
24240,55
24480,59
24720,62
24960,64
25200,64
25440,64
25680,62
26160,57
26640,55
26880,57
27120,57
27360,62
27600,59
27840,57
27900,59
28080,57
28320,55
28560,54
28800,52
29220,55
29280,57
29760,54
29880,52
30000,54
30480,54
30720,55
31140,59
31200,60
31680,57
31920,55
32160,54
32400,55
32580,59
32640,60
34320,62
34440,60
36420,59
36480,60
40560,55
40680,59
41040,55
41160,57
41460,59
41520,62
42720,60
42840,60
42960,62
43080,62
43440,60
43800,59
44160,55
44400,55
44520,59
44520,57
44880,55
45000,57
45360,62
45840,50
46080,52
46320,52
46560,54
46740,52
46800,54
48240,55
48360,59
48360,57
48720,55
48900,57
49200,62
50400,60
50520,60
50640,62
50760,62
51120,60
51480,59
51840,55
52080,55
52200,57
52260,59
52560,55
52680,57
53040,62
53520,50
53760,52
54000,52
54240,54
54480,52
54540,54
55440,55
55680,64
55680,62
55920,64
56160,64
56400,62
56880,57
57360,55
57600,57
57840,57
58080,62
58320,59
58680,57
58800,55
59040,59
59280,62
59520,64
59760,64
60000,64
60240,62
60720,57
61200,55
61440,57
61920,62
62160,59
62520,57
62640,55
62880,59
63120,62
63360,64
63600,64
63840,64
64080,62
64560,57
65040,55
65280,57
65520,57
65760,62
66000,59
66240,57
66300,59
66480,57
66720,55
66960,54
67200,52
67620,55
67680,57
68160,54
68280,52
68400,54
68880,54
69120,55
69540,59
69600,60
70080,57
70320,55
70560,54
70800,55
70980,59
71040,60
71940,55
72000,57
72240,59
72480,60
72720,59
72720,60
73200,55
74640,60
74880,59
74880,60
75120,59
75360,57
75600,59
76560,62
76800,60
76840,62
77320,57
77500,57
77620,59
77740,57
79660,62
79660,60
79900,60
80140,59
80380,60
80620,62
81120,64
81360,60
82320,60
82600,60
83020,59
83140,57
83320,59
84220,62
84460,60
84500,62
84980,61
85460,62
85940,64
86360,62
86420,64
101540,56
101720,63
101780,65
102020,65
102260,65
102500,63
102980,58
103460,56
103700,58
103940,58
104180,63
104420,60
104780,58
104900,56
105080,60
105380,63
105620,65
105860,65
106100,65
106340,63
106820,58
107300,56
107540,58
108020,63
108260,60
108560,58
108740,56
108920,60
109160,63
109460,65
109700,65
109940,65
110180,63
110660,58
111140,56
111380,58
111620,58
111860,63
112100,60
112340,58
112400,60
112580,58
112820,56
113060,55
113300,53
113720,56
113780,58
114260,55
114380,53
114500,55
114980,55
115220,56
115640,61
115640,60
116180,58
116420,56
116660,55
116900,56
116900,56
117080,63
117080,60
117140,65
117140,61
117380,65
117620,65
117860,63
118340,58
118820,56
119060,58
119300,58
119540,63
119780,60
120140,58
120260,56
120440,60
120740,63
120980,65
121220,65
121460,65
121700,63
122180,58
122660,56
122900,58
123380,63
123620,60
123920,58
124100,56
124280,60
124520,63
124820,65
125060,65
125300,65
125540,63
126020,58
126500,56
126740,58
126980,58
127220,63
127460,60
127700,58
127760,60
127940,58
128180,56
128420,55
128660,53
129080,56
129140,58
129620,55
129740,53
129860,55
130340,55
130580,56
131000,61
131000,60
131540,58
131780,56
132020,55
132260,56
132260,56
132440,63
132440,60
132500,65
132500,61
132740,65
132980,65
133220,63
133700,58
134180,56
134420,58
134660,58
134900,63
135140,60
135500,58
135620,56
135800,60
136100,63
136340,65
136580,65
136820,65
137060,63
137540,58
138020,56
138260,58
138740,63
138980,60
139280,58
139460,56
139640,60
139880,63
140180,65
140420,65
140660,65
140900,63
141380,58
141860,56
142100,58
142340,58
142580,63
142820,60
143060,58
143120,60
143300,58
143540,56
143780,55
144020,53
144440,56
144500,58
144980,55
145100,53
145220,55
145700,55
145940,56
146360,61
146360,60
146900,58
147140,56
147380,55
147620,56
147860,56
149540,56
149780,56
150200,60
150260,61
150680,58
150920,56
151160,55
151400,56
151640,60
151700,61
153380,63
153500,61
154340,61
154460,58
154580,61
154820,58
154940,61
155180,63
155540,61
157220,63
157340,61
