time,semitone
17280,64
18000,64
18080,66
18720,64
18960,62
19200,64
19440,64
19680,66
19920,66
20640,59
21120,62
21840,61
22560,59
22980,61
23060,62
23780,61
24500,57
24980,64
25700,64
25780,66
26420,64
26660,62
26900,64
27140,64
27380,66
27620,66
28340,59
28820,62
29540,61
30260,59
30680,61
30760,62
31420,61
32140,71
32620,71
33340,69
34060,67
34540,71
35260,69
35980,67
36460,67
37180,66
37900,64
38380,67
39100,66
39820,71
40300,71
41020,69
41740,67
42220,71
42940,69
43660,67
44140,67
44640,66
44880,66
45600,64
46780,61
65980,64
66060,66
66700,64
66940,62
67180,64
67420,64
67660,66
67900,66
68620,59
69100,62
69820,64
70540,61
71020,62
71740,61
72460,67
72940,67
73800,66
74440,64
74900,67
75620,66
76340,64
76820,64
77540,61
78260,61
78500,62
79460,61
80180,71
80660,71
81380,69
82100,67
82580,71
83300,69
84020,67
84500,67
84980,66
85220,66
85940,64
86420,67
87140,66
87860,71
88340,71
89060,69
89780,67
90260,71
90980,69
91700,67
92180,67
92660,66
92900,66
93620,64
94100,64
94820,61
95780,62
96740,64
97700,71
97940,71
98180,71
98420,73
98660,74
99620,66
99860,71
100100,71
100340,73
100580,74
101060,73
101540,71
101780,69
102020,69
102260,73
102500,74
103460,62
103700,69
103940,69
104180,73
104420,74
104900,73
105380,71
105620,71
105860,71
106100,73
106340,74
107300,69
107540,71
107780,71
108020,73
108260,74
108740,73
108980,74
109220,76
109400,76
109480,78
110380,76
110460,78
110540,76
110900,76
111380,73
112340,74
112820,73
113300,71
113540,71
114020,73
114500,74
114980,66
115220,71
115460,71
115700,73
115940,74
116420,73
116900,71
117140,69
117380,69
117620,73
117860,74
118820,62
119060,69
119300,69
119540,73
119780,74
120260,73
120740,71
120980,71
121220,71
121460,73
121700,74
122660,69
122900,71
123140,71
123380,73
123620,74
124100,73
124340,74
124580,76
124760,76
124840,78
125740,76
125820,78
125900,76
126260,76
126740,73
145460,71
145940,71
146660,69
147380,67
147860,71
148580,69
149300,67
149780,67
150260,66
150500,66
151220,64
151700,67
152420,66
153140,71
153620,71
154340,69
155060,67
155540,71
156260,69
156980,67
157460,67
157940,66
158180,66
158900,64
159380,64
160100,61
161060,62
162020,64
162980,71
163220,71
163460,71
163700,76
163700,73
163940,78
163940,74
164900,66
165140,71
165380,71
165620,73
165860,78
165860,74
166340,76
166340,73
166820,71
167060,69
167300,69
167540,76
167540,73
167780,78
167780,74
168740,62
168980,69
169220,69
169460,76
169460,73
169700,78
169700,74
170180,76
170180,73
170660,71
170900,71
171140,71
171380,76
171380,73
171620,78
171620,74
172580,69
172820,71
173060,71
173300,76
173300,73
173540,78
173540,74
174020,73
174260,74
174500,76
174680,76
174760,78
175660,76
175740,78
175820,76
176180,76
176660,73
177620,74
178100,73
178580,71
178820,71
179300,76
179300,73
179780,78
179780,74
180260,66
180500,71
180740,71
180980,76
180980,73
181220,78
181220,74
181700,76
181700,73
182180,71
182420,69
182660,69
182900,76
182900,73
183140,78
183140,74
184100,62
184340,69
184580,69
184820,76
184820,73
185060,78
185060,74
185540,76
185540,73
186020,71
186260,71
186500,71
186740,76
186740,73
186980,78
186980,74
187940,69
188180,71
188420,71
188660,76
188660,73
188900,78
188900,74
189380,73
189620,74
189860,76
190040,76
190120,78
191020,76
191100,78
191180,76
191540,76
192020,73
193700,74
194660,76
198500,76
198980,74
199700,73
199940,74
200180,73
200420,71
200900,69
201620,66
203540,73
203780,74
204020,73
204260,71
207620,74
209060,73
211220,74
212180,76
212900,71
213140,71
213380,71
213620,76
213620,73
213860,78
213860,74
214820,66
215060,71
215300,71
215540,76
215540,73
215780,78
215780,74
216260,76
216260,73
216740,71
216980,69
217220,69
217460,76
217460,73
217700,78
217700,74
218660,62
218900,69
219140,69
219380,76
219380,73
219620,78
219620,74
220100,76
220100,73
220580,71
220820,71
221060,71
221300,76
221300,73
221540,78
221540,74
222500,69
222740,71
222980,71
223220,76
223220,73
223460,78
223460,74
223940,73
224180,74
224420,76
224600,76
224680,78
225580,76
225660,78
225740,76
226100,76
226580,73
228500,74
229220,76
