time,semitone
17280,64
17520,62
17640,64
18000,62
18120,64
18480,65
18600,64
18900,62
19200,60
19440,62
19560,60
19800,59
20040,60
20280,62
20520,60
20760,59
21120,55
21360,64
21480,64
21840,65
21960,64
22200,62
22440,60
22920,59
23040,59
23280,60
23400,59
23640,60
23820,59
24960,64
25140,62
25320,64
25680,62
25800,64
26160,65
26280,64
26520,62
26880,60
27120,62
27240,60
27540,59
27720,60
27960,62
28200,60
28440,59
28760,55
29000,64
29180,64
29540,65
29660,64
29900,62
30140,60
30620,59
30740,59
30980,60
31100,59
31340,60
31580,59
40340,64
40580,62
40700,64
41060,62
41180,64
41540,65
41660,64
41900,62
42260,60
42500,62
42620,60
42860,59
43100,60
43340,62
43580,60
43820,59
44120,55
44360,64
44540,64
44840,65
44960,64
45260,62
45500,60
45920,59
46100,59
46340,60
46460,59
46700,60
46940,59
48020,64
48260,62
48380,64
48740,62
48860,64
49220,65
49340,64
49580,62
49940,60
50180,62
50300,60
50540,59
50780,60
51020,62
51260,60
51500,59
51860,55
52100,64
52220,64
52580,65
52700,64
52940,62
53180,60
53660,59
53780,59
54020,60
54140,59
54380,60
54620,59
56180,57
56420,55
56660,57
56900,55
57140,57
57380,57
57860,60
58340,53
58520,53
59000,55
59300,53
59780,52
60260,55
60500,55
60920,60
61220,60
61640,59
62180,59
62420,59
62840,60
63080,64
63620,59
64100,55
64340,57
64580,55
64820,57
65060,57
65540,60
66020,53
66200,53
66680,55
66980,53
67460,52
67940,55
68180,55
68600,60
68900,60
69380,59
69860,59
70100,59
70820,64
71300,59
80660,64
80900,62
81020,64
81380,62
81500,64
81860,65
81980,64
82220,62
82580,60
82820,62
82940,60
83240,59
83480,60
83720,62
83960,60
84200,59
84500,55
84740,64
84860,64
85220,65
85340,64
85580,62
85820,60
86300,59
86420,59
86660,60
86780,59
87020,60
87260,59
88340,64
88580,62
88700,64
89060,62
89180,64
89540,65
89660,64
89900,62
90260,60
90440,62
90620,60
90860,59
91100,60
91340,62
91580,60
91820,59
92180,55
92420,64
92540,64
92900,65
93020,64
93260,62
93500,60
93920,59
94100,59
94340,60
94460,59
94700,60
94880,59
96500,69
96740,67
96920,69
97220,67
97460,69
97700,69
98180,72
98660,65
98840,65
99380,67
99620,65
100040,64
100580,67
100820,67
101240,72
101540,72
102020,71
102500,71
102740,71
103160,72
103400,76
103940,71
104420,67
104660,69
104840,67
105140,69
105320,69
105860,72
106340,65
106580,65
107060,67
107300,65
107780,64
108260,67
108500,67
108980,72
109220,72
109640,71
110180,71
110420,71
110900,72
111140,76
111620,71
119600,69
119600,67
119780,69
120020,67
120500,69
120740,69
121220,72
121700,65
121940,65
122420,67
122660,65
123080,64
123560,67
123860,67
124280,72
124580,72
125000,71
125540,71
125720,71
126200,72
126500,76
126980,71
127460,67
127700,69
127940,67
128180,69
128420,69
128900,72
129380,65
129560,65
130100,67
130340,65
130820,64
131300,67
131540,67
132020,72
132260,72
132680,71
133160,71
133460,71
133880,72
134180,76
134600,71
135140,67
135380,69
135560,67
135800,69
136100,69
136580,72
137060,65
137300,65
137720,67
137960,65
138500,64
138980,67
139220,67
139700,72
139940,72
140420,71
140900,71
141140,71
141620,72
141860,76
142340,71
142820,67
143060,69
143240,67
143480,69
143780,69
144260,72
144740,65
144980,65
145400,67
145640,65
146180,64
146660,67
146840,67
147320,72
147620,72
148040,71
148520,71
148760,71
149240,72
149540,76
150020,71
