time,semitone
11520,62
11520,62
11760,61
11760,61
12000,59
12000,59
12240,57
12240,57
13200,57
13200,57
13440,59
13440,59
13680,61
13680,61
13920,59
13920,59
14160,57
14160,57
14400,54
14400,54
14640,52
14640,52
14880,54
14880,54
15360,54
15360,54
15600,57
15600,57
15840,54
15840,54
16080,52
16080,52
16320,54
16320,54
16800,54
16800,54
17040,52
17040,52
17280,54
17280,54
17520,57
17520,57
17760,59
17760,59
18000,61
18000,61
18240,59
18240,59
19200,62
19200,62
19440,61
19440,61
19680,59
19680,59
19920,57
19920,57
20880,57
20880,57
21120,59
21120,59
21360,61
21360,61
21600,59
21600,59
21840,57
21840,57
22080,54
22080,54
22320,52
22320,52
22560,54
22560,54
23040,54
23040,54
23280,57
23280,57
23520,54
23520,54
23760,52
23760,52
24000,54
24000,54
24480,54
24480,54
24720,52
24720,52
24960,54
24960,54
25200,57
25200,57
25440,59
25440,59
25680,61
25680,61
25920,59
25920,59
26160,54
26160,54
26400,54
26400,54
26580,57
26580,57
26880,57
26880,57
26940,59
26940,59
27840,57
27840,57
28320,57
28320,57
28800,57
28800,57
29760,57
29760,57
30240,59
30240,59
30720,57
30720,57
42240,62
42240,62
42480,61
42480,61
42720,59
42720,59
42960,57
42960,57
43920,57
43920,57
44160,59
44160,59
44400,61
44400,61
44640,59
44640,59
44880,57
44880,57
45120,54
45120,54
45360,52
45360,52
45600,54
45600,54
46080,54
46080,54
46320,57
46320,57
46560,54
46560,54
46800,52
46800,52
47040,54
47040,54
47520,54
47520,54
47760,52
47760,52
48000,54
48000,54
48240,57
48240,57
48480,59
48480,59
48720,61
48720,61
48960,59
48960,59
49920,62
49920,62
50160,64
50160,64
50400,61
50400,61
50640,59
50640,59
51360,59
51360,59
51600,61
51600,61
51840,62
51840,62
52080,61
52080,61
52320,59
52320,59
52560,57
52560,57
52800,54
52800,54
53040,52
53040,52
53280,54
53280,54
53760,54
53760,54
54000,57
54000,57
54240,54
54240,54
54480,52
54480,52
54720,54
54720,54
55200,54
55200,54
55440,52
55440,52
55680,54
55680,54
55920,57
55920,57
56160,59
56160,59
56400,61
56400,61
56640,59
56640,59
56880,54
56880,54
57120,54
57120,54
57360,59
57360,59
57600,59
57600,57
57600,57
58500,57
58500,57
59040,57
59040,57
59520,57
59520,57
60480,57
60480,57
60960,59
60960,59
61440,57
61440,57
62400,57
62400,57
62880,57
62880,57
63360,57
63360,57
64320,57
64320,57
64800,59
64800,59
65280,57
65280,57
79920,54
79920,54
80160,54
80160,54
80400,57
80400,57
80640,57
80640,57
80700,59
80700,59
81540,57
81540,57
82080,57
82080,57
82560,57
82560,57
83520,57
83520,57
84000,59
84000,59
84480,57
84480,57
85440,57
85440,57
85920,57
85920,57
86400,57
86400,57
87360,57
87360,57
87840,59
87840,59
88320,57
88320,57
89280,57
89280,57
89760,57
89760,57
90240,57
90240,57
91200,57
91200,57
91680,59
91680,59
92160,62
92160,62
92640,66
92880,64
92880,64
93120,61
93120,61
93600,54
93600,54
93840,57
93840,57
94080,59
94080,59
94320,62
