time,semitone
1920,51
2880,51
3840,51
4800,51
5760,51
6720,51
7680,51
8640,51
9600,51
10560,51
11520,51
12480,51
13440,51
14400,51
15360,51
16320,51
17280,51
18240,51
19200,51
20160,51
21120,51
22080,51
23760,58
24000,63
24240,65
24480,63
24720,58
24960,65
25200,63
25440,58
28080,61
28320,63
28560,61
28800,65
29280,65
29760,65
30000,66
30240,65
30480,63
30960,65
31440,63
31680,63
31920,65
32160,63
32400,58
32640,65
32880,63
33120,58
35760,61
36000,63
36240,61
36480,65
36960,65
37440,65
37680,66
37920,65
38160,63
38640,65
39360,65
39600,68
39840,68
40080,65
40320,66
40560,65
40800,61
43440,61
43680,63
43920,61
44160,65
44640,65
45120,65
45360,66
45600,65
45840,63
46320,65
47280,61
47520,63
47760,61
48000,65
49200,66
49440,65
49680,63
51120,61
51360,63
51600,61
51840,65
52320,65
52800,65
53040,66
53280,65
53520,63
54000,65
54960,61
55200,63
55440,61
55680,65
56880,66
57120,65
57360,63
58800,61
59040,63
59280,61
59520,65
60000,65
60480,65
60720,66
60960,65
61200,63
61680,61
61920,60
62160,61
62640,60
62880,58
63120,60
64080,66
64320,68
64560,68
64800,66
65040,65
65520,66
66240,66
66480,65
66720,66
66960,66
67440,73
67680,73
68400,66
68640,65
68880,63
69360,65
70080,65
70320,63
70560,65
70800,75
71280,72
71760,66
72000,68
72240,68
72480,66
72720,65
73200,66
73920,66
74160,65
74400,66
74640,66
75120,73
75360,75
76080,66
76320,65
76560,63
77040,65
77760,65
78000,63
78240,65
78480,75
78960,72
79920,73
80160,72
81120,73
82080,73
82560,72
83760,73
84000,72
84960,73
85920,73
86400,72
87840,72
88320,70
94800,65
95040,68
95280,68
95520,65
95760,66
96000,65
96240,63
96480,61
99120,61
99360,63
99600,61
99840,65
100320,65
100800,65
101040,66
101280,65
101520,63
102000,65
102480,61
102960,65
103200,66
103440,65
103680,63
103920,65
104160,58
106800,61
107040,63
107280,61
107520,65
108000,65
108480,65
108720,66
108960,65
109200,63
109680,65
110640,61
110880,63
111120,61
111360,65
112560,66
112800,65
113040,63
114480,61
114720,63
114960,61
115200,65
115680,65
116160,65
116400,66
116640,65
116880,63
118320,61
118560,63
118800,61
119040,65
120240,66
120480,65
120720,63
122160,61
122400,63
122640,61
122880,65
123360,65
123840,65
124080,66
124320,65
124560,63
125040,61
125280,60
125520,61
126000,60
126240,58
126480,60
127440,66
127680,68
127920,68
128160,66
128400,65
128880,66
129600,66
129840,65
130080,66
130320,66
130560,68
130800,73
131520,66
131760,65
132000,63
132240,63
132720,65
133440,65
133680,63
133920,65
134160,75
134640,72
135120,66
135360,68
135600,68
135840,66
136080,65
136560,66
137280,66
137520,65
137760,66
138000,66
138480,73
138720,75
139440,66
139680,65
139920,63
140400,65
141120,65
141360,63
141600,65
141840,75
142320,72
143280,73
143520,72
144480,73
145440,73
145920,72
147120,73
147360,72
157440,63
157680,61
157920,60
158160,61
158640,60
158880,58
159120,60
160080,66
160320,68
160560,68
160800,66
161040,65
161520,66
162240,66
162480,65
162720,66
162960,66
163200,68
163440,73
164160,66
164400,65
164640,63
164880,63
165360,65
166080,65
166320,63
166560,65
166800,75
167280,72
167760,66
168000,68
168240,68
168480,66
168720,65
169200,66
169920,66
170160,65
170400,66
170640,66
171120,73
171360,75
172080,66
172320,65
172560,63
173040,65
173760,65
174000,63
174240,65
174480,75
174960,72
175440,66
175680,68
175920,68
176160,66
176400,65
176880,66
177600,66
177840,65
178080,66
178320,66
178560,68
178800,73
179520,66
179760,65
180000,63
180240,63
180720,65
181440,65
181680,63
181920,65
182160,75
182640,72
183120,66
183360,68
183600,68
183840,66
184080,65
184560,66
185280,66
185520,65
185760,66
186000,66
186480,73
186720,75
187440,66
187680,65
187920,63
188400,65
189120,65
189360,63
189600,65
189840,75
190320,72
191520,73
191760,72
192480,73
193440,73
193920,72
195120,73
195360,72
196320,73
197280,73
197760,72
198960,73
199200,72
200160,73
201120,73
201600,72
202800,73
203040,72
204000,73
204960,73
205440,72
207360,70
