time,semitone
1920,59
2400,59
2880,59
3360,59
3840,59
4320,59
4800,59
5280,59
5760,59
6240,59
6720,59
7200,59
7680,59
8160,59
8640,59
9120,59
9600,59
10080,59
10560,59
11040,59
11520,59
17280,74
18000,71
18720,69
18960,67
19200,74
19440,74
19680,74
19920,71
20640,69
20880,67
21120,69
21360,69
21600,69
21840,71
22560,69
22800,67
23040,69
23280,69
23520,69
23760,71
24240,72
24480,71
24960,74
25680,71
26400,69
26640,67
26880,74
27120,74
27360,74
27600,71
28320,69
28560,67
28800,69
29040,69
29280,69
29520,71
30240,69
30480,67
30720,69
30960,69
31200,69
31440,71
31920,72
32160,71
39360,64
39840,66
40320,67
42240,66
43200,64
44160,57
48000,69
48720,71
48960,71
49680,72
49920,71
50880,69
51360,67
51840,66
52560,67
52800,66
53520,67
53760,69
55680,69
56400,71
56640,71
57360,72
57600,71
58560,69
59040,67
59520,66
60240,67
60480,66
61200,67
61440,69
63360,76
65280,74
67200,69
70560,71
71040,72
71760,71
72480,67
72960,72
73680,71
74400,67
74880,66
75840,67
76800,69
77760,67
78720,64
94080,74
94800,71
95520,69
95760,67
96000,74
96240,74
96480,74
96720,71
97440,69
97680,67
97920,69
98160,69
98400,69
98640,71
99360,69
99600,67
99840,69
100080,69
100320,69
100560,71
101040,72
101280,71
101760,74
102480,71
103200,69
103440,67
103680,74
103920,74
104160,74
104400,71
105120,69
105360,67
105600,69
105840,69
106080,69
106320,71
107040,69
107280,67
107520,69
107760,69
108000,69
108240,71
108720,72
108960,71
109440,69
110160,71
110400,71
111120,72
111360,71
112320,69
112800,67
113280,66
114000,67
114240,66
114960,67
115200,69
117120,76
119040,74
120960,69
124320,71
124800,72
125520,71
126240,67
126720,72
127440,71
128160,67
128640,66
129600,67
130560,69
131520,67
132480,76
134400,74
136320,69
139680,71
140160,72
140880,74
141600,76
142080,71
142800,67
143520,71
144000,69
144720,66
147840,69
148560,71
148800,71
149520,72
149760,71
150720,69
151200,67
151680,66
152400,67
152640,66
153360,67
153600,69
155520,69
156240,71
156480,71
157200,72
157440,71
158400,69
158880,67
159360,66
160080,67
160320,66
161040,67
161280,69
178560,76
180480,74
182400,69
185760,71
186240,72
186960,71
187680,67
188160,72
188880,71
189600,67
190080,66
191040,67
192000,69
192960,66
193920,76
195840,74
197760,69
201120,71
201600,72
202320,74
203040,76
203520,71
204240,67
204960,71
205440,69
206160,66
208800,69
209040,71
209280,72
210720,72
210960,71
212640,71
212880,69
214080,66
216480,69
216720,71
216960,72
218400,72
218640,71
220320,67
220800,69
