time,semitone
21120,59
21360,55
21480,55
21840,47
21960,48
22320,55
22440,55
22680,57
23040,54
23280,52
23400,54
24960,59
25200,55
25320,55
25680,47
25800,48
26160,55
26280,55
26520,57
26880,54
28800,55
29520,47
29760,48
30000,55
30120,55
30360,57
30720,54
30960,52
32400,55
32520,57
32640,59
32880,55
33000,55
33360,47
33480,48
33840,55
33960,55
34200,57
34560,57
44160,55
44880,47
45000,48
45360,55
45480,55
45720,57
46080,54
46320,52
47760,55
47880,57
48000,59
48240,55
48360,55
48720,47
48840,48
49200,55
49320,55
49560,57
49920,57
51360,55
51600,54
51840,52
52560,55
52800,64
53040,62
53280,55
53520,57
53640,59
54240,57
54360,59
54480,57
54960,59
56400,55
56640,64
56880,62
57120,55
57360,57
57480,59
58080,57
58200,59
58320,57
58800,55
59520,62
60000,59
60480,57
60720,59
60840,59
61440,57
61680,59
61800,59
62400,59
62640,57
62760,55
63000,57
63360,62
63840,59
64320,57
64560,59
64680,59
65280,57
65520,59
65640,59
66240,59
66480,57
66600,55
66840,57
67200,55
73920,55
74400,54
74880,52
75600,55
75840,64
76080,62
76320,55
76560,57
76680,59
77280,57
77400,59
77520,57
78000,59
79440,55
79680,64
79920,62
80160,55
80400,57
80520,59
81120,57
81240,59
81360,57
81840,55
82560,62
83040,59
83520,57
83760,59
83880,59
84480,57
84720,59
84840,59
85440,59
85680,57
85800,55
86040,57
86400,62
86880,59
87360,57
87600,59
87720,59
88320,57
88560,59
88680,59
89280,59
89520,57
89640,55
89880,57
90240,62
90720,59
91200,57
91440,59
91560,59
92160,57
92400,59
92520,59
93120,59
93360,57
93480,55
93720,57
94080,62
94560,59
95040,57
95280,59
95400,59
96000,57
96240,59
96360,59
96960,59
97200,57
97320,55
97560,57
97920,62
98400,59
98880,57
99120,59
99240,59
99840,57
100080,59
100200,59
100800,59
101040,57
101160,55
101400,57
101760,55
103680,62
104160,59
104640,57
105120,57
105600,55
108480,59
108720,57
108960,55
109200,57
109440,55
