time,semitone
40800,66
41040,66
41760,66
42240,64
42720,62
43440,62
43920,66
44160,66
48480,67
48720,67
49440,67
49920,66
50400,64
51360,66
51840,67
52080,67
55200,66
55680,69
56640,69
57120,69
57600,70
58080,70
58560,71
59040,73
59520,74
60480,73
61440,71
63120,71
63360,71
63840,74
64080,71
64560,67
65040,66
65520,67
66000,71
66720,74
67200,74
68400,73
68640,71
68880,73
73440,73
73920,71
74160,73
74640,74
76320,74
76800,76
77280,74
77760,73
78240,71
78720,74
79440,67
79680,67
79920,69
80400,71
82080,74
82320,74
82560,74
83040,73
83280,73
83520,73
84000,71
84240,71
84480,71
84960,69
85200,73
85920,64
86400,66
88800,73
89280,71
89520,73
90000,74
91680,74
92160,76
92640,74
93120,73
93600,71
94080,74
94800,67
95040,67
95280,69
95760,71
97680,71
97920,71
98400,74
98880,74
99120,74
99600,73
99840,73
100560,71
101040,73
101520,74
101760,76
109920,66
110160,66
110880,66
111360,64
111840,62
112560,62
113040,66
113280,66
117600,67
117840,67
118560,67
119040,66
119520,64
120480,66
120960,67
121200,67
124320,66
124800,69
125760,69
126240,69
126720,70
127200,70
127680,71
128160,73
128640,74
129600,73
130560,71
132240,71
132480,71
132960,74
133200,71
133680,67
134160,66
134640,67
135120,71
135840,74
136320,74
137280,73
138240,74
140640,78
141120,76
141600,74
141840,76
142560,74
143040,74
143520,73
143820,71
144480,69
144720,74
145200,69
145920,67
148320,76
148800,76
149280,74
149520,73
150240,71
150720,71
151200,69
151680,69
152160,69
152400,73
152880,64
153360,66
156000,78
156480,76
156960,74
157200,76
157920,74
158160,74
158640,73
159120,71
159840,71
160080,74
160560,69
161040,67
163680,76
164160,76
164640,74
164880,73
165600,73
166080,73
166560,74
167040,76
167760,74
168480,73
169440,74
198240,78
198720,76
199200,74
199440,76
200160,74
200640,74
201120,73
201420,71
202080,69
202320,74
202800,69
203520,67
205920,76
206400,76
206880,74
207120,73
207840,71
208320,71
208800,69
209280,69
209760,69
210000,73
210480,64
210960,66
213600,78
214080,76
214560,74
214800,76
215520,74
215760,74
216240,73
216720,71
217440,71
217680,74
218160,69
218640,67
221280,76
221760,76
222240,74
222480,73
223200,73
223680,73
224160,74
224640,76
225360,74
226080,73
227040,74
