time,semitone
18300,59
18540,57
18780,59
19020,57
19260,59
19980,52
20220,55
20460,55
20940,55
21180,57
21420,57
22140,57
22380,55
22620,57
22860,55
23100,57
23820,47
24060,54
24300,55
24780,52
25260,52
25740,59
26220,60
26460,59
26700,57
26940,59
27420,55
27660,47
27900,55
28140,55
28620,54
29100,54
29820,54
30060,54
30300,54
30540,52
30780,54
31260,54
31500,47
31740,54
31980,55
32460,55
32940,52
33660,52
33900,50
34140,52
34380,54
34620,55
35100,55
35340,52
35580,55
35820,57
36300,57
36780,54
37500,54
37740,52
37980,54
38220,52
38460,54
39180,52
39420,54
39660,55
40140,55
40620,52
41340,52
41580,50
41820,52
42060,54
42300,55
43020,52
43260,55
43500,57
43980,57
44460,54
45180,54
45420,54
45660,54
45900,52
46140,54
46620,54
46860,52
47100,54
47340,55
47820,55
50460,55
50940,54
51420,55
51900,62
52620,55
52860,55
53100,55
53580,55
53820,57
54060,57
54780,54
55020,54
55260,54
55500,52
55740,54
56220,54
56460,52
56700,54
56940,55
57420,55
57900,52
58620,52
58860,54
59100,55
59580,62
60300,55
60540,55
60780,55
61260,54
61740,54
62460,54
62700,54
62940,54
63180,52
63420,54
63900,54
64140,52
64380,54
64620,55
65100,55
65580,52
68220,59
68460,57
68700,59
68940,57
69180,59
69900,52
70140,55
70380,55
70860,55
71100,57
71340,57
72060,57
72300,55
72540,57
72780,55
73020,57
73740,47
73980,54
74220,55
74700,52
75180,52
75660,59
76140,60
76380,59
76620,57
76860,59
77340,55
77580,47
77820,55
78060,55
78540,54
79020,54
79740,54
79980,54
80220,54
80460,52
80700,54
81180,54
81420,47
81660,54
81900,55
82380,55
82860,52
83580,52
83820,50
84060,52
84300,54
84540,55
85020,55
85260,52
85500,55
85740,57
86220,57
86700,54
87420,54
87660,52
87900,54
88140,52
88380,54
89100,52
89340,54
89580,55
90060,55
90540,52
91260,52
91500,50
91740,52
91980,54
92220,55
92940,52
93180,55
93420,57
93900,57
94380,54
95100,54
95340,54
95580,54
95820,52
96060,54
96540,54
96780,52
97020,54
97260,55
97740,55
98460,55
98940,54
99420,55
99900,62
100620,55
100860,55
101100,55
101580,55
101820,57
102060,57
102780,54
103020,54
103260,54
103500,52
103740,54
104220,54
104460,52
104700,54
104940,55
105420,55
105900,52
106620,52
106860,54
107100,55
107580,62
108300,55
108540,55
108780,55
109260,54
109740,54
110460,54
110700,54
110940,54
111180,52
111420,54
111900,54
112140,52
112380,54
112620,55
113100,55
113580,52
117180,55
117900,55
118380,55
118620,55
118860,52
119100,54
119340,55
119820,54
121020,54
121740,54
122220,54
122460,54
122700,52
122940,54
123180,55
123660,54
124140,52
131100,55
131580,54
132060,55
132540,62
133260,55
133500,55
133740,55
134220,55
134460,57
134700,57
135420,54
135660,54
135900,54
136140,52
136380,54
136860,54
137100,52
137340,54
137580,55
138060,55
138540,52
139260,52
139500,54
139740,55
140220,62
140940,55
141180,55
141420,55
141900,54
142380,54
143100,54
143340,54
143580,54
143820,52
144060,54
144540,54
144780,52
145020,54
145260,55
145740,55
146460,52
146940,54
147420,55
147900,62
148620,55
148860,55
149100,55
149580,55
149820,57
150060,57
150780,54
151020,54
151260,54
151500,52
151740,54
152220,54
152460,52
152700,54
152940,55
153420,55
153900,52
154620,52
154860,54
155100,55
155580,62
156300,55
156540,55
156780,55
157260,54
157740,54
158460,54
158700,54
158940,54
159180,52
159420,54
159900,54
160140,52
160380,54
160620,55
161100,55
161580,52
162300,52
162540,50
162780,52
163020,54
163260,55
163980,52
164220,55
164460,57
164940,57
165420,57
166140,54
166380,54
166620,54
166860,52
167100,54
167820,52
168060,54
168300,55
168780,55
169260,52
169980,52
170220,50
170460,52
170700,54
170940,55
171660,52
171900,55
172140,55
172620,57
173100,57
173820,54
174060,54
174300,54
174540,52
174780,54
175500,52
175740,54
175980,55
176460,55
176940,52
