time,semitone
7920,57
8160,59
8160,57
8400,57
8880,59
9360,57
9600,59
9840,61
10080,56
10320,54
10800,52
15600,52
15840,54
15840,52
16080,52
16560,54
17040,56
17280,56
17520,57
17760,52
18000,50
18480,49
23280,57
23520,59
23520,57
23760,57
24240,59
24720,57
24960,59
25200,61
25440,56
25680,54
26160,52
30960,52
31200,54
31200,52
31440,52
31920,54
32400,56
32640,56
32880,57
33120,52
33360,50
33840,49
38640,56
38880,59
38880,56
39120,57
39600,56
40080,56
40320,56
40560,59
40800,57
41040,56
41520,54
42000,52
42480,54
42480,52
46320,56
46560,59
46560,56
46800,57
47280,56
47760,56
48000,56
48240,59
48480,57
48720,56
49200,54
49680,52
50160,54
50160,52
100080,57
100320,59
100320,57
100560,57
101040,59
101520,57
101760,59
102000,61
102240,56
102480,54
102960,52
107760,52
108000,54
108000,52
108240,52
108720,54
109200,56
109440,56
109680,57
109920,52
110160,50
110640,49
115440,57
115680,59
115680,57
115920,57
116400,59
116880,57
117120,59
117360,61
117600,56
117840,54
118320,52
123120,52
123360,54
123360,52
123600,52
124080,54
124560,56
124800,56
125040,57
125280,52
125520,50
126000,49
130800,56
131040,59
131040,56
131280,57
131760,56
132240,56
132480,56
132720,59
132960,57
133200,56
133680,54
134160,52
134640,54
134640,52
138480,56
138720,59
138720,56
138960,57
139440,56
139920,56
140160,56
140400,59
140640,57
140880,56
141360,54
141840,52
142320,54
142320,52
185520,52
185760,57
186000,59
186240,61
186480,62
186720,64
186720,62
187680,57
188640,64
188880,62
189360,61
189840,59
190080,57
190320,59
190560,59
190560,61
191520,56
192480,56
192720,56
193200,59
193680,57
193920,56
194160,52
194400,54
194400,52
195360,57
196320,56
196800,52
197040,57
197520,59
197760,61
198000,62
198240,64
198240,62
199200,57
200160,64
200400,62
200880,61
201360,59
201600,57
201840,59
202080,59
202080,61
203040,56
204000,56
204240,56
204720,59
205200,57
205440,56
205680,52
205920,54
205920,52
206400,52
206640,50
207840,54
208080,54
208560,62
209040,61
209280,59
209520,57
209760,57
210720,56
211440,56
211680,57
211680,56
211920,56
212400,57
212880,59
213120,61
213360,62
213600,64
213600,62
214560,57
215520,64
215760,62
216240,61
216720,59
216960,57
217200,59
217440,59
217440,61
218400,56
219360,56
219600,56
220080,59
220560,57
220800,56
221040,52
221280,54
221280,52
221760,52
222000,50
223200,54
223440,54
223920,62
224400,61
224640,59
224880,57
225120,57
226080,56
