time,semitone
34560,59
34800,59
35520,59
36000,62
36300,60
36960,59
37200,57
37680,55
38400,59
38640,59
39360,59
39840,62
40080,64
40560,62
41040,60
41520,59
42240,57
42720,57
42960,55
43200,57
43680,55
43920,57
44640,55
44880,54
45360,52
45840,50
46560,57
46800,55
47040,57
47520,55
47760,57
48300,59
48660,60
49200,59
49920,59
50220,59
50940,59
51360,62
51660,60
52320,59
52560,57
53100,55
53760,59
54300,59
54540,59
55020,62
55500,64
55980,62
56460,60
56940,59
57420,57
58080,57
58320,55
58560,57
59100,55
59340,57
59760,59
60480,60
60900,59
61440,57
61920,57
62160,55
62400,57
62880,55
63180,57
63780,55
64080,54
64800,50
65340,52
65820,50
66060,52
66720,54
67200,55
67440,54
67920,52
68400,50
68880,52
69600,52
69840,50
70080,52
70560,54
70860,55
71280,57
71700,59
72240,60
72720,59
73440,57
73680,59
74400,57
74700,59
75120,57
75660,59
76080,57
76560,59
77340,57
77580,59
78000,57
78480,59
78960,57
79440,55
79920,54
80400,52
81120,50
81600,52
82080,54
82560,55
82800,54
83280,52
83760,50
84240,52
84960,52
85200,50
85440,52
85920,54
86160,55
86700,57
87120,59
87600,60
88080,59
88800,57
89040,59
89760,57
90240,59
90480,57
90960,59
91440,57
91920,59
92640,57
92940,59
93420,57
94080,59
94320,57
94800,55
95280,54
95760,52
111360,59
111600,59
112320,59
112800,62
113040,60
113760,59
114000,57
114480,55
115200,59
115440,59
116160,59
116640,62
116880,64
117360,62
117840,60
118320,59
119040,57
119520,57
119760,55
120000,57
120480,55
120720,57
121440,55
121680,54
122160,52
122640,50
123360,57
123600,55
123840,57
124320,55
124560,57
125040,59
125520,60
126000,59
126720,59
126960,59
127680,59
128160,62
128400,60
129120,59
129360,57
129840,55
130560,59
131040,59
131280,59
131760,62
132240,64
132720,62
133200,60
133680,59
134160,57
134880,57
135120,55
135360,57
135840,55
136080,57
136560,59
137280,60
137760,59
138240,57
138720,57
138960,55
139200,57
139680,55
139920,57
140640,55
140880,54
141600,50
142080,52
142560,50
142800,52
143520,54
144000,55
144240,54
144720,52
145200,50
145680,52
146400,52
146640,50
146880,52
147360,54
147600,55
148080,57
148560,59
149040,60
149520,59
150240,57
150480,59
151200,57
151440,59
151920,57
152400,59
152880,57
153360,59
154080,57
154320,59
154800,57
155280,59
155760,57
156240,55
156720,54
157200,52
157920,50
158400,52
158880,54
159360,55
159600,54
160080,52
160560,50
161040,52
161760,52
162000,50
162240,52
162720,54
162960,55
163440,57
163920,59
164400,60
164880,59
165600,57
165840,59
166560,57
167040,59
167280,57
167760,59
168240,57
168720,59
169440,57
169680,59
170160,57
170880,59
171120,57
171600,55
172080,54
172560,52
203520,52
204000,50
204240,52
204960,54
205440,55
205680,54
206160,52
206640,50
207120,52
207840,52
208080,50
208320,52
208800,54
209040,55
209520,57
210000,59
210480,60
210960,59
211680,57
211920,59
212640,57
212880,59
213360,57
213840,59
214320,57
214800,59
215520,57
215760,59
216240,57
216720,59
217200,57
217680,55
218160,54
218640,52
219360,50
219840,52
220320,54
220800,55
221040,54
221520,52
222000,50
222480,52
223200,52
223440,50
223680,52
224160,54
224400,55
224880,57
225360,59
225840,60
226320,59
227040,57
227280,59
228000,57
228480,59
228720,57
229200,59
229680,57
230160,59
230880,57
231120,59
231600,57
232320,59
232560,57
233040,55
233520,54
234000,52
