time,semitone
36480,67
36480,67
37440,64
37920,65
38400,67
39360,64
39840,60
40320,72
41280,71
41760,69
42240,67
43200,64
43680,67
44160,69
45120,67
45600,65
46080,64
47040,60
47520,62
48000,64
49920,62
51840,67
52800,64
53280,65
53760,67
54720,64
55200,60
55680,72
56640,71
57120,69
57600,67
58560,64
59040,67
59520,69
60480,67
60960,65
61440,64
62400,60
62880,62
63360,64
65280,62
68640,67
69120,72
70080,67
70560,72
71040,74
72000,71
72960,72
73920,71
74400,69
74880,67
75840,64
76320,60
76800,72
77760,71
78240,69
78720,67
79680,64
80160,60
80400,62
80640,64
82560,62
84000,67
84480,72
85440,67
85920,72
86400,74
87360,71
88320,72
89280,71
89760,69
90240,67
91200,64
91680,67
92160,72
93120,71
93600,69
94080,67
95040,64
95520,67
96000,72
97920,71
136320,67
137220,64
137700,65
138180,67
139140,64
139680,60
140160,72
141060,71
141600,69
142080,67
143040,64
143520,67
144000,69
144960,67
145380,65
145920,64
146820,60
147300,62
147780,64
149760,62
149784,62
153144,67
153624,72
154524,67
155004,72
155484,74
156504,71
157464,72
158364,71
158904,69
159324,67
160284,64
160824,67
161304,72
162264,71
162744,69
163224,67
164124,64
164664,60
164904,62
165144,64
167064,62
168504,67
168984,72
169884,67
170424,72
170904,74
171804,71
172764,72
173784,71
174204,69
174744,67
175644,64
176184,67
176664,72
177624,71
178104,69
178524,67
179544,64
180024,67
180504,72
182364,71
