time,semitone
10800,54
11040,55
11280,54
11520,52
12000,59
12240,50
12480,52
12720,50
12960,52
13200,54
13440,55
13680,57
13920,55
14160,57
14880,55
15120,57
15360,52
16320,52
16560,50
16800,52
17040,54
17280,55
17520,57
17760,57
18720,55
18960,54
19200,52
19680,59
19920,50
20160,52
20400,50
20640,52
20880,54
21120,55
21360,57
21600,57
22560,55
22800,54
23280,52
24000,52
24240,50
24480,52
24720,54
24960,55
25200,57
25440,57
26400,55
26640,54
26880,52
28080,50
28320,52
28560,54
28800,55
29040,57
29280,55
29520,57
30240,55
30480,54
30720,52
31920,50
32160,52
32400,54
32640,55
32880,57
33120,57
34080,55
34320,54
34560,52
35040,59
35280,50
35520,52
35760,50
36000,52
36240,54
36480,55
36720,57
36960,55
37200,57
37920,55
38160,57
38640,52
39120,50
39360,52
39600,50
39840,52
40080,54
40320,55
40560,57
40800,57
41760,55
42000,54
42240,52
42720,59
42960,50
43200,52
43440,50
43680,52
43920,54
44160,55
44400,57
44640,57
45600,55
45840,57
46320,52
47040,52
47280,50
47520,52
47760,54
48000,55
48240,57
48480,57
48960,54
49200,54
49440,55
49680,54
49920,55
50400,62
50640,62
50880,62
51360,64
51840,57
52560,54
53040,55
53520,57
54000,59
54240,59
54480,59
54720,59
55200,59
55440,54
55680,54
56880,54
57120,55
57360,54
57600,55
58080,62
58320,62
58560,62
59040,64
59520,57
60240,54
60720,55
61200,57
61680,59
61920,59
62160,59
62400,59
62880,59
63120,54
63360,54
64800,55
65040,54
80160,55
80400,54
80640,52
81120,59
81360,50
81600,52
81840,50
82080,52
82320,54
82560,55
82800,57
83040,55
83280,57
84000,55
84240,57
84720,52
85200,50
85440,52
85680,50
85920,52
86160,54
86400,55
86640,57
86880,57
87840,55
88080,54
88320,52
88800,59
89040,50
89280,52
89520,50
89760,52
90000,54
90240,55
90480,57
90720,57
91680,55
91920,57
92400,52
93120,52
93360,50
93600,52
93840,54
94080,55
94320,57
94560,57
95520,64
95760,62
96240,59
96960,60
97200,59
97440,57
97680,55
97920,55
98160,57
98400,55
98640,57
99360,62
99600,64
100080,59
100560,59
100800,60
101040,59
101280,57
101520,55
101760,55
102000,57
102240,57
103200,66
103440,64
103920,59
104400,59
104640,60
104880,59
105120,57
105360,55
105600,55
105840,57
106080,55
106320,57
107040,62
107280,64
107760,59
108480,60
108720,59
108960,57
109200,55
109440,55
109680,57
109920,57
110400,54
110640,54
110880,55
111120,54
111360,55
111840,62
112080,62
112320,62
112800,64
113280,57
114000,54
114480,55
114960,57
115440,59
115680,59
115920,59
116160,59
116640,59
116880,54
117120,54
118320,54
118560,55
118800,54
119040,55
119520,62
119760,62
120000,62
120480,64
120720,57
120960,57
121680,54
122160,55
122640,57
123120,59
123360,59
123600,59
123840,59
124320,59
124560,54
124800,54
126240,55
126480,54
143520,62
144000,64
147120,56
147360,57
147600,56
147840,57
148320,64
148560,64
148800,64
149280,66
149760,59
150480,56
150960,57
151440,59
151920,61
152160,61
152400,61
152640,61
153120,61
153360,56
153600,56
154800,56
155040,57
155280,56
155520,57
156000,64
156240,64
156480,64
156960,66
157200,59
157440,59
158160,56
158640,57
159120,59
159600,61
159840,61
160080,61
160320,61
160800,61
161040,56
161280,56
162480,56
162720,57
162960,56
163200,57
163680,64
163920,64
164160,64
164640,66
164880,59
165120,59
165840,56
166320,57
166800,59
167280,61
167520,61
167760,61
168000,61
168480,61
168720,56
168960,56
170160,56
170400,57
170640,56
170880,57
171360,64
171600,64
171840,64
172320,66
172560,59
172800,59
173520,56
174000,57
174480,59
174960,61
175200,61
175440,61
175680,61
176160,61
176400,56
176640,56
