time,semitone
33120,60
33360,60
33600,59
34080,59
34320,60
34800,55
35280,53
35760,55
36960,60
37200,60
37440,59
37920,59
38160,60
38640,55
39120,53
39600,55
40080,53
40800,60
41040,60
41280,59
41760,59
42000,60
42480,55
42960,53
43440,55
44640,60
44880,60
45120,59
45600,59
45840,60
46320,55
46800,53
47280,55
47760,53
48000,55
48240,55
48480,65
48720,65
48960,64
49200,62
49680,62
50160,60
50640,59
51120,60
51360,59
51600,57
52320,60
52560,60
52800,60
53040,59
53280,60
53520,64
53520,62
54000,62
54480,60
54960,62
55200,60
56160,65
56400,65
56640,64
56880,62
57360,62
57840,60
58320,59
58800,60
59040,59
59280,57
60000,60
60240,60
60480,59
60720,59
61200,60
61920,43
62160,43
62400,50
62640,52
62880,50
63120,48
63360,48
64320,50
65040,48
66240,50
66480,52
66720,50
66960,48
67200,48
68160,55
68880,52
69840,43
70080,50
70320,52
70560,50
70800,48
71040,48
72000,50
72720,48
73200,45
73920,50
74160,52
74400,50
74640,48
74880,48
75840,50
76560,48
94560,60
94800,60
95040,59
95520,59
95760,60
96240,55
96720,53
97200,55
98400,60
98640,60
98880,59
99360,59
99600,60
100080,55
100560,53
101040,55
101520,53
102240,60
102480,60
102720,59
103200,59
103440,60
103920,55
104400,53
104880,55
106080,60
106320,60
106560,59
107040,59
107280,60
107760,55
108240,53
108720,55
109200,53
109440,55
109680,55
109920,65
110160,65
110400,64
110640,62
111120,62
111600,60
112080,59
112560,60
112800,59
113040,57
113760,60
114000,60
114240,60
114480,59
114720,60
114960,64
114960,62
115440,62
115920,60
116400,62
116640,60
117600,65
117840,65
118080,64
118320,62
118800,62
119280,60
119760,59
120240,60
120480,59
120720,57
121440,60
121680,60
121920,59
122160,59
122640,60
123360,43
123600,43
123840,50
124080,52
124320,50
124560,48
124800,48
125760,50
126480,48
127680,50
127920,52
128160,50
128400,48
128640,48
129600,55
129600,55
130320,52
131280,43
131520,50
131760,52
132000,50
132240,48
132480,48
133440,50
134160,48
134640,45
135360,50
135600,52
135840,50
136080,48
136320,48
137280,50
138000,48
138720,55
138960,55
139200,62
139440,64
139680,62
139920,60
140160,60
141120,62
141840,60
143040,62
143280,64
143520,62
143760,60
144000,60
144960,67
145680,64
146640,55
146880,62
147120,64
147360,62
147600,60
147840,60
148800,62
149520,60
150000,57
150720,62
150960,64
151200,62
151440,60
151680,60
152640,62
153360,60
153840,64
154320,64
154800,65
155040,64
155280,62
155520,60
156480,62
157200,60
158400,62
158640,64
158880,62
159120,60
159360,60
160320,67
161040,64
162000,55
162240,62
162480,64
162720,62
162960,60
163200,60
164160,62
164880,60
165360,57
166080,62
166320,64
166560,62
166800,60
167040,60
168000,62
168720,60
215520,55
215760,55
216000,62
216240,64
216480,62
216720,60
216960,60
217920,62
218640,60
219840,62
220080,64
220320,62
220560,60
220800,60
221760,67
222480,64
223440,55
223680,62
223920,64
224160,62
224400,60
224640,60
225600,62
226320,60
226800,57
227520,62
227760,64
228000,62
228240,60
228480,60
229440,62
230160,60
230640,64
231120,64
231600,65
231840,64
232080,62
232320,60
233280,62
234000,60
235200,62
235440,64
235680,62
235920,60
236160,60
237120,67
237840,64
238800,55
239040,62
239280,64
239520,62
239760,60
240000,60
240960,62
241680,60
242160,57
242880,62
243120,64
243360,62
243600,60
243840,60
244800,62
245520,60
