time,semitone
17280,59
18240,57
18720,54
18960,57
19440,54
21120,50
21600,50
21840,55
22560,55
22800,54
24000,52
24240,50
24960,59
25920,57
26400,55
26640,54
28800,55
29280,55
29520,55
30240,55
30480,54
31680,52
32640,62
33360,64
34080,66
34320,69
34800,66
36480,62
36960,62
37200,61
37680,59
38160,57
39120,55
39600,54
40080,62
41040,61
41520,62
42000,66
44160,59
44400,59
44880,62
45600,64
45840,62
46320,61
49680,69
54240,69
54480,69
54960,69
55440,69
56640,66
63360,59
64320,57
64800,54
65040,57
65520,54
67200,50
67680,50
67920,55
68640,55
68880,54
70080,52
70320,50
71040,59
72000,57
72480,55
72720,54
73680,52
74880,55
75360,55
75600,55
76320,55
76560,54
77520,52
78000,50
78720,62
79440,64
80160,66
80640,69
81120,69
81360,66
82560,62
83040,62
83280,61
83760,59
84240,57
85200,55
85680,54
86160,62
87120,61
87600,62
88080,66
90240,59
90480,59
90960,62
91680,64
91920,62
92400,61
92880,62
94080,55
94800,54
95520,52
96000,49
96720,45
97440,52
97920,55
98640,54
99360,52
99600,49
101760,55
102480,54
103200,52
103440,49
104400,52
105120,52
105600,55
106320,54
106800,52
107280,49
109440,50
110160,52
110880,54
111360,57
112080,59
112800,61
113280,62
114000,61
114480,59
114960,59
115920,57
116640,55
117120,54
117840,52
118560,50
119040,57
119760,50
120480,49
120960,47
121680,50
122400,52
122880,54
123600,52
124320,50
124800,54
125520,52
126240,50
126480,57
127440,59
128160,61
128400,62
129360,61
129840,59
130320,59
131280,57
132000,55
132240,54
133200,52
133920,50
134160,49
135120,50
135840,57
136080,54
137040,52
137760,50
138000,49
138960,50
139680,55
139920,54
140880,52
141600,50
141840,49
142800,50
143520,55
143760,54
144720,52
145440,50
145680,49
146640,50
155520,67
156240,66
156960,64
157440,61
158160,59
158880,64
159360,67
160080,66
160800,64
161040,61
163200,67
163920,66
164640,64
164880,61
165840,64
166560,64
167040,67
167760,66
168240,64
168720,61
172800,50
173520,52
174240,54
174720,57
175440,59
176160,61
176640,62
177360,61
177840,59
178320,59
179280,57
180000,55
180480,54
181200,52
181920,50
182400,57
183120,50
183840,49
184320,47
185040,50
185760,52
186240,54
186960,52
187680,50
188160,54
188880,52
189600,50
189840,57
190800,59
191520,61
191760,62
192720,61
193200,59
193680,59
194640,57
195360,55
195600,54
196560,52
197280,50
197520,49
198480,50
199200,57
199440,54
200400,52
201120,50
201360,49
202320,50
207360,62
