time,semitone
26880,80
27840,71
29520,71
29760,80
30000,78
30240,76
30480,78
30720,78
31680,71
34560,76
35520,69
36240,71
36480,78
36960,78
37440,78
37680,76
37920,75
38160,73
38400,75
39120,76
39360,68
42240,73
42720,72
42960,73
43200,75
43680,78
44160,78
44640,76
45120,78
45840,80
46080,80
46560,73
48000,73
48480,75
48960,76
49440,78
49920,80
51360,81
51840,78
53760,71
54240,71
54720,71
54960,73
55200,75
55440,78
55680,78
56160,76
57120,76
57360,68
57600,69
58320,68
58560,69
58800,71
59040,73
59280,78
59520,80
60000,81
60480,78
60960,76
61200,78
61440,80
62160,81
62400,80
62880,75
63360,78
63840,80
64320,78
64560,76
64800,75
65040,76
65280,73
65760,80
66720,73
67200,72
67680,80
68640,78
69120,76
78720,73
79200,72
79440,73
79680,75
80160,78
80640,78
81120,76
81600,78
82320,80
82560,80
83040,73
84480,73
84960,75
85440,76
85920,78
86400,80
87840,81
88320,83
90240,71
90720,71
91200,71
91440,73
91680,75
91920,78
92160,78
92640,76
93600,76
93840,68
94080,69
94800,68
95040,69
95280,71
95520,73
95760,76
96000,80
96480,81
96960,78
97440,76
97680,78
97920,80
98640,81
98880,80
99360,75
99840,78
100320,80
100800,78
101040,76
101280,75
101520,76
101760,73
102240,80
103200,73
103680,72
104160,80
105120,78
105600,76
110400,80
110880,78
111120,80
111840,78
112080,76
113040,76
113280,78
113760,71
114000,71
115680,68
115920,71
116160,73
116880,75
117120,76
118080,76
118560,75
118800,76
119520,75
119760,76
120240,78
120960,71
121680,73
121920,75
122640,76
122880,78
123600,76
123840,81
124320,81
124560,80
125760,83
126240,81
126480,81
127200,80
127440,78
128400,76
128640,78
129120,80
129600,83
130080,80
131040,76
132000,76
132240,75
132480,76
132960,78
133440,73
133920,75
134400,76
135840,73
136080,75
136320,76
136800,78
137280,79
138000,81
138240,83
141120,88
141360,87
141600,83
142080,90
145920,84
146400,84
146880,84
147120,82
147360,81
147600,79
147840,79
148320,81
149280,84
149520,81
149760,82
150480,81
150720,82
150960,81
151200,79
151440,81
151680,81
152160,82
152640,79
153120,77
153360,79
153600,81
154320,82
154560,81
155040,76
155520,79
156000,81
156480,79
156720,77
156960,76
157200,77
157440,74
157920,81
158880,74
159360,73
159840,81
160800,79
161280,84
164400,81
164640,84
164880,86
165360,84
165600,86
165840,89
166560,88
166800,86
167040,88
167280,86
167520,84
168480,77
168720,79
168960,81
169680,82
169920,85
170400,81
170880,79
171360,81
171840,79
172080,77
172320,76
172560,77
172800,74
173280,81
174240,74
174720,73
175200,81
180000,79
180480,77
184080,77
184320,84
184800,81
185040,82
185280,81
185520,79
185760,77
186000,79
186240,77
186480,81
186960,84
189120,81
189600,79
190080,77
