time,semitone
10080,64
13920,64
17760,64
21600,64
52800,60
54240,60
54720,59
54960,57
55440,62
55920,59
56640,55
57120,55
57600,55
58560,52
59280,50
60000,50
61680,48
61920,60
62400,59
62640,57
63120,62
63600,59
64320,55
64800,52
65280,55
66240,52
66960,50
67680,50
70560,48
70800,50
71280,52
72000,55
72240,55
72720,57
73200,55
73920,52
74640,50
75360,50
78240,48
78480,50
78960,52
79680,55
80160,57
80640,55
81600,52
82320,50
83040,50
87600,47
87840,55
88080,53
88560,53
89040,52
89520,53
90000,55
90480,52
91200,48
91440,48
91920,45
92400,52
93120,50
95280,47
95520,55
95760,53
96240,53
96720,52
97200,53
97680,55
98160,52
98880,48
99120,48
99600,52
100080,50
102960,47
103200,55
103440,53
103920,53
104400,52
104880,53
105360,55
105840,52
106560,48
106800,48
107280,45
107760,48
108480,50
109200,48
109680,55
112320,57
112800,60
113280,64
114240,62
115200,60
119520,55
120000,57
120480,60
120960,62
121440,65
122400,64
122880,62
124320,60
124800,64
127200,55
127680,57
128160,60
128640,62
129120,65
130080,64
130560,62
132000,64
132480,60
134880,55
135360,57
135840,60
136320,62
136800,62
137760,67
138240,64
139680,60
140160,65
142080,55
142560,65
143040,64
143520,62
144000,60
144480,60
145440,59
145920,62
147360,60
147840,60
161760,60
162240,59
162480,57
162960,62
163440,59
164160,55
164640,55
165120,55
166080,52
166800,50
167520,50
169200,48
169440,60
169920,59
170160,57
170640,62
171120,59
171840,55
172320,52
172800,55
173760,52
174480,50
175200,50
177600,60
178080,59
178560,59
179520,55
180000,55
180480,55
181440,52
182160,50
182880,50
185760,48
186000,50
186480,52
187200,55
187680,57
188160,55
189120,52
189840,50
190560,50
195120,47
195360,55
195600,53
196080,53
196560,52
197040,53
197520,55
198000,52
198720,48
198960,48
199440,45
199920,52
200640,50
202800,47
203040,55
203280,53
203760,53
204240,52
204720,53
205200,55
205680,52
206400,48
206640,48
207120,52
207600,50
210480,47
210720,55
210960,53
211440,53
211920,52
212400,53
212880,55
213360,52
214080,48
214320,48
214800,45
215280,48
216000,50
216720,48
217200,55
219840,57
220320,60
220800,64
221760,62
222720,60
227040,55
227520,57
228000,60
228480,62
228960,65
229920,64
230400,62
231840,60
232320,64
234720,55
235200,57
235680,60
236160,62
236640,65
237600,64
238080,62
239520,64
240000,60
242400,55
242880,57
243360,60
243840,62
244320,62
245280,67
245760,64
247200,60
247680,65
249600,55
250080,65
250560,64
251040,62
251520,60
252000,60
252960,59
253440,60
254880,62
255360,64
256320,62
257760,55
258240,57
258720,60
259200,62
259680,65
260640,64
261120,62
262560,60
263040,64
265440,55
265920,57
266400,60
266880,62
267360,69
268320,67
269280,65
270240,64
271200,64
271680,57
272160,60
273120,64
273600,57
274080,60
275040,64
275520,57
276000,60
276240,67
276960,64
277440,57
277920,60
280320,64
280800,60
281280,62
281760,64
282240,64
282480,65
282720,64
283200,62
283440,64
283680,62
287040,64
287520,64
288000,65
288480,64
289440,62
289920,60
290160,62
290880,55
292800,55
293280,57
293760,60
294720,55
295200,57
295680,60
296640,57
298080,64
298560,65
299040,64
299520,60
300480,62
300960,64
301440,64
302400,64
302880,64
303360,65
303600,64
304320,62
304800,60
305280,62
306240,69
306720,67
308640,69
309120,72
312960,76
313920,74
314880,72
317280,60
317760,60
318000,60
318240,60
319200,60
319440,60
319680,60
319920,60
320160,60
320640,60
321120,60
321360,60
321600,60
321840,60
322080,60
322320,60
322560,60
322800,60
323040,60
323280,60
323520,60
323760,60
324000,60
325440,60
325680,60
325920,60
326160,60
326400,60
326880,60
327360,60
327720,60
328320,60
328560,60
328800,60
329040,60
329280,60
329520,60
329760,60
330000,60
330720,60
331200,60
331680,60
333120,60
333360,60
333600,60
333840,60
334080,60
334320,60
334560,60
334800,60
335040,60
335280,60
335520,60
336720,60
336960,60
337200,60
337440,60
337680,60
337920,60
338160,60
338400,60
338640,60
338880,60
339120,60
339840,60
340800,60
341040,60
341280,60
341760,60
342000,60
342240,60
342720,60
343200,60
343680,60
343920,60
344160,60
344640,60
345120,60
345360,60
345840,60
346080,60
346320,60
347040,60
347520,60
349920,55
350400,57
350880,60
351360,62
351840,65
352800,64
353280,62
354720,60
355200,64
357600,55
358080,57
358560,60
359040,62
359520,65
360480,64
360960,62
362400,64
362880,60
365280,55
365760,57
366240,60
366720,62
367200,62
368160,67
368640,64
370080,60
370560,65
372480,55
372960,65
373440,64
373920,62
374400,60
374880,60
375840,59
376320,60
377760,62
378240,64
379200,62
380640,55
381120,57
381600,60
382080,62
382560,65
383520,64
384000,62
385440,60
385920,64
388320,55
388800,57
389280,60
389760,62
390240,69
391200,67
392160,65
393120,64
394080,64
394560,57
395040,60
396000,64
396480,57
396960,60
397920,64
398400,57
398880,60
399120,67
399840,64
400320,57
400800,60
403200,64
403680,60
404160,62
404640,64
405120,64
405360,65
405600,64
406080,62
406320,64
406560,62
