time,semitone
9600,64
11040,63
11280,68
11520,61
12240,59
12480,61
12720,61
12960,63
13200,64
13440,63
14640,63
14880,63
15120,68
15360,61
16800,61
17040,63
17280,69
18720,69
18960,61
19200,63
19920,63
20160,63
20400,63
20640,61
20880,59
21120,68
24960,63
26160,63
26400,63
26640,68
26880,61
28320,63
28560,64
28800,63
29760,63
30000,63
30240,63
30480,68
30720,61
32160,61
32400,63
32640,69
34080,69
34320,61
34560,63
35280,63
35520,63
35760,63
36000,61
36240,59
36480,68
40200,64
40320,71
40560,69
40680,69
41040,69
41160,68
41280,68
41520,66
41640,66
42120,59
42240,68
42480,66
42600,66
42960,64
43080,64
43200,63
43440,61
43560,61
43920,63
44160,61
44400,66
44520,66
44880,66
45000,66
45120,64
45360,63
45480,63
45720,64
46080,71
46320,73
46440,71
47880,71
48000,71
48240,69
48360,61
48720,61
48840,61
48960,69
49200,68
49440,64
49680,59
49920,64
51360,71
51480,69
51720,68
51840,68
52080,68
52200,68
52440,69
52800,66
53280,71
53440,69
53620,68
53740,68
53980,68
54100,68
54340,69
54700,66
55180,66
55340,66
55580,66
55700,66
56300,64
56420,61
56540,64
59060,71
59300,69
59420,68
59540,68
59780,68
59900,68
60140,69
60500,66
60980,71
61140,69
61320,68
61440,68
61680,68
61800,68
62040,69
62400,71
62880,66
63120,68
63240,69
63360,73
64080,71
64320,71
67080,64
67200,71
67440,69
67560,69
67920,69
68040,68
68160,68
68400,66
68520,66
69000,59
69120,68
69360,66
69480,66
69840,64
69960,64
70080,63
70320,61
70440,61
70800,63
71040,61
71280,66
71400,66
71760,66
71880,66
72000,64
72240,63
72360,63
72600,64
72960,71
73200,73
73320,71
74760,71
74880,71
75120,69
75240,61
75600,61
75720,61
75840,69
76080,68
76320,64
76560,59
76800,64
99720,64
99840,71
100080,69
100200,69
100560,69
100680,68
100800,68
101040,66
101160,66
101640,59
101760,68
102000,66
102120,66
102480,64
102600,64
102720,63
102960,61
103080,61
103440,63
103680,61
103920,66
104040,66
104400,66
104520,66
104640,64
104880,63
105000,63
105240,64
105600,71
105840,73
105960,71
107400,71
107520,71
107760,69
107880,61
108240,61
108360,61
108480,69
108720,68
108960,64
109200,59
109440,64
111240,64
111360,71
111600,69
111720,69
112080,69
112200,68
112320,68
112560,66
112680,66
113160,59
113280,68
113520,66
113640,66
114000,64
114120,64
114360,64
114540,66
114700,68
115060,61
115180,59
115420,66
115540,66
115900,66
116020,66
116140,64
116380,64
116500,63
116740,64
117100,71
117340,73
117460,71
118960,71
119040,71
119280,69
119440,61
120880,71
120960,71
121200,69
121380,61
122760,71
122900,71
123140,69
123320,61
123800,61
123880,69
124120,68
124360,64
124600,63
126740,64
