time,semitone
4560,54
4800,59
5040,59
5280,59
5520,56
6480,54
6720,59
6960,59
7200,59
7440,52
8400,52
8640,59
8880,59
9120,59
9360,56
9840,57
10080,59
10560,52
10800,52
10920,54
11040,56
11280,56
11520,54
12240,54
12480,59
12720,59
12960,59
13200,56
14160,54
14400,59
14640,59
14880,59
15120,52
16080,52
16320,59
16560,59
16800,59
17040,56
17520,57
17760,59
18240,52
18480,52
18600,54
18720,56
18960,56
19200,54
19920,63
20160,63
20400,61
20640,63
20880,63
21840,63
22080,63
22320,61
22560,63
22800,64
23280,61
27600,63
27840,63
28080,61
28320,63
28560,63
29040,61
29520,63
29760,63
30000,61
30240,63
30480,64
30960,61
33360,59
33600,61
33840,59
34080,61
34560,66
35280,64
35520,66
35760,66
36000,68
36240,64
37200,59
37440,61
37680,59
37920,61
38400,68
39120,66
39360,68
39600,68
39840,71
40080,66
40560,64
41040,59
41280,61
41520,59
41760,61
42240,71
42720,69
42960,68
43200,66
43440,59
43920,71
44400,69
44640,68
44880,68
45120,66
45360,64
45600,66
45840,64
46080,66
46320,71
46800,68
48720,59
48960,61
49200,59
49440,61
49920,66
50400,64
50640,66
50880,64
51120,66
51360,68
51600,64
52560,59
52800,61
53040,59
53280,61
53760,68
54240,68
54480,66
54720,68
54960,68
55200,71
55440,66
55920,64
56400,59
56640,61
56880,59
57120,61
57600,71
58080,69
58320,68
58560,66
58800,59
59280,64
59520,71
59760,69
60000,69
60240,68
60480,66
60720,64
60960,66
61200,64
61440,66
61680,71
62160,68
67800,54
68040,59
68280,59
68520,59
68760,56
69720,54
69960,59
70200,59
70440,59
70680,52
71640,52
71880,59
72120,59
72360,59
72600,56
73080,57
73320,59
73800,52
74040,52
74160,54
74280,56
74520,56
74760,54
75480,54
75720,59
75960,59
76200,59
76440,56
77400,54
77640,59
77880,59
78120,59
78360,52
79320,52
79560,59
79800,59
80040,59
80280,56
80760,57
81000,59
81480,52
81720,52
81840,54
81960,56
82200,56
82440,54
83160,63
83400,63
83640,61
83880,63
84120,63
85080,63
85320,63
85560,61
85800,63
86040,64
86520,61
90840,63
91080,63
91320,61
91560,63
91800,63
92280,61
92760,63
93000,63
93240,61
93480,63
93720,64
94200,61
96600,59
96840,61
97080,59
97320,61
97800,66
98520,64
98760,66
99000,66
99240,68
99480,64
100440,59
100680,61
100920,59
101160,61
101640,68
102360,66
102600,68
102840,68
103080,71
103320,66
103800,64
104280,59
104520,61
104760,59
105000,61
105480,71
105960,69
106200,68
106440,66
106680,59
107160,71
107640,69
107880,68
108120,68
108360,66
108600,64
108840,66
109080,64
109320,66
109560,71
110040,68
111960,59
112200,61
112440,59
112680,61
113160,66
113640,64
113880,66
114120,64
114360,66
114600,68
114840,64
115800,59
116040,61
116280,59
116520,61
117000,68
117480,68
117720,66
117960,68
118200,68
118440,71
118680,66
119160,64
119640,59
119880,61
120120,59
120360,61
120840,71
121320,69
121560,68
121800,66
122040,59
122520,64
122760,71
123000,69
123240,69
123480,68
123720,66
123960,64
124200,66
124440,64
124680,66
124920,71
125400,68
146520,61
146760,63
147000,61
147240,63
147480,63
148440,63
148680,63
148920,61
149160,63
149400,64
149880,61
154200,63
154440,63
154680,61
154920,63
155160,63
155640,61
156120,63
156360,63
156600,61
156840,63
157080,64
157560,61
159960,59
160200,61
160440,59
160680,61
161160,66
161880,64
162120,66
162360,66
162600,68
162840,64
163800,59
164040,61
164280,59
164520,61
165000,68
165720,66
165960,68
166200,68
166440,71
166680,66
167160,64
167640,59
167880,61
168120,59
168360,61
168840,71
169320,69
169560,68
169800,66
170040,59
170520,71
171000,69
171240,68
171480,68
171720,66
171960,64
172200,66
172440,64
172680,66
172920,71
173400,68
175320,59
175560,61
175800,59
176040,61
176520,66
177000,64
177240,66
177480,64
177720,66
177960,68
178200,64
179160,59
179400,61
179640,59
179880,61
180360,68
180840,68
181080,66
181320,68
181560,68
181800,71
182040,66
182520,64
183000,59
183240,61
183480,59
183720,61
184200,71
184680,69
184920,68
185160,66
185400,59
185880,64
186120,71
186360,69
186600,69
186840,68
187080,66
187320,64
187560,66
187800,64
188040,66
188280,71
188760,68
190680,59
190920,61
191160,59
191400,61
191880,66
192600,64
192840,66
193080,66
193320,68
193560,64
194520,59
194760,61
195000,59
195240,61
195720,68
196440,66
196680,68
196920,68
197160,71
197400,66
197880,64
198360,59
198600,61
198840,59
199080,61
199560,71
200040,69
200280,68
200520,66
200760,59
201240,71
201720,69
201960,68
202200,68
202440,66
202680,64
202920,66
203160,64
203400,66
203640,71
204120,68
206040,59
206280,61
206520,59
206760,61
207240,66
207720,64
207960,66
208200,64
208440,66
208680,68
208920,64
209880,59
210120,61
210360,59
210600,61
211080,68
211560,68
211800,66
212040,68
212280,68
212520,71
212760,66
213240,64
213720,59
213960,61
214200,59
214440,61
214920,71
215400,69
215640,68
215880,66
216120,59
216600,64
216840,71
217080,69
217320,69
217560,68
217800,66
218040,64
218280,66
218520,64
218760,66
219000,71
219480,68
