time,semitone
18720,47
19140,54
19260,56
22860,52
22980,54
24000,54
24480,56
24660,57
25440,56
25920,54
26400,51
26880,54
27360,56
27840,52
29280,54
29760,56
30240,49
31140,52
31200,54
34080,47
34440,54
34560,56
38280,52
38400,54
39360,54
39780,56
40020,57
40740,56
41220,54
41760,51
42180,54
42720,56
43200,52
44640,54
45120,56
45600,49
46500,52
46620,54
46980,52
47100,54
49440,49
49680,51
49920,52
50400,45
50880,45
51240,51
51360,52
52800,51
53280,52
53760,54
54240,54
54720,54
54960,52
55140,54
57120,52
57360,54
57540,56
58080,56
58560,56
59040,52
59460,56
60000,57
60480,59
60900,57
60960,54
64800,49
65100,51
65280,52
65760,45
66240,45
66660,51
66720,52
68160,51
68640,52
69120,54
69600,54
70080,54
70320,52
70560,54
72480,52
72720,54
72960,56
73440,56
73920,56
74340,52
74880,56
75300,57
75840,59
76260,57
76320,59
80520,57
80580,59
81120,59
81600,59
82080,61
82320,59
84360,57
84420,59
84960,59
85200,59
85920,61
86160,62
86880,61
87360,59
87840,56
88320,59
88800,61
89280,59
89760,57
91860,52
92100,57
92160,59
92580,57
92820,57
93600,56
93840,56
94560,54
95040,52
95520,54
96000,56
96840,54
96900,56
97440,54
98880,56
99120,52
99360,54
99840,52
103200,49
103440,52
103620,54
103740,56
104160,54
104400,54
105120,49
105360,52
105540,54
105660,56
106080,54
106320,54
107100,49
107280,52
107520,59
107580,61
108000,61
108480,61
108720,59
108960,59
111300,57
111360,59
111840,59
112320,59
112800,61
113040,59
115080,57
115140,59
115680,59
115920,59
116640,61
116880,62
117600,61
118080,59
118560,56
118980,59
119460,61
120000,59
120480,57
122580,52
122820,57
122940,59
123300,57
123600,57
124320,56
124560,54
124680,56
125340,54
125760,52
126240,54
126720,56
127560,54
127680,56
128160,54
129600,56
129840,52
130020,54
130560,52
133920,49
134160,52
134400,54
134460,56
134820,54
135120,54
136020,52
136260,51
136380,52
136800,51
137040,49
137760,51
138240,52
153120,49
153420,51
153600,52
154080,45
154560,45
154980,51
155040,52
156480,51
156960,52
157440,54
157920,54
158400,54
158640,52
158880,54
160800,52
161040,54
161280,56
161760,56
162240,56
162660,52
163200,56
163620,57
164160,59
164580,57
164640,59
168840,57
168900,59
169440,59
169920,59
170400,61
170640,59
172680,57
172740,59
173280,59
173520,59
174240,61
174480,62
175200,61
175680,59
176160,56
176640,59
177120,61
177600,59
178080,57
180180,52
180420,57
180480,59
180900,57
181140,57
181920,56
182160,56
182880,54
183360,52
183840,54
184320,56
185160,54
185220,56
185760,54
187200,56
187440,52
187680,54
188160,52
191520,49
191760,52
191940,54
192060,56
192480,54
192720,54
193440,49
193680,52
193860,54
193980,56
194400,54
194640,54
195420,49
195600,52
195840,59
195900,61
196320,61
196800,61
197040,59
197280,59
199620,57
199680,59
200160,59
200640,59
201120,61
201360,59
203400,57
203460,59
204000,59
204240,59
204960,61
205200,62
205920,61
206400,59
206880,56
207300,59
207780,61
208320,59
208800,57
210900,52
211140,57
211260,59
211620,57
211920,57
212640,56
212880,54
213000,56
213660,54
214080,52
214560,54
215040,56
215880,54
216000,56
216480,54
217920,56
218160,52
218340,54
218880,52
222240,49
222480,52
222720,54
222780,56
223140,54
223440,54
224340,52
224580,51
224700,52
225120,51
225360,49
226080,51
226560,52
241860,57
241920,59
242400,59
242880,59
243360,61
243600,59
245640,57
245700,59
246240,59
246480,59
247200,61
247440,62
248160,61
248640,59
249120,56
249540,59
250020,61
250560,59
251040,57
253140,52
253380,57
253500,59
253860,57
254160,57
254880,56
255120,54
255240,56
255900,54
256320,52
256800,54
257280,56
258120,54
258240,56
258720,54
260160,56
260400,52
260580,54
261120,52
264480,49
264720,52
264960,54
265020,56
265380,54
265680,54
266580,52
266820,51
266940,52
267360,51
267600,49
268320,51
268800,52
