time,semitone
20220,64
21420,63
21540,64
21780,68
22140,63
23820,59
24060,61
25020,61
25260,59
25500,57
25740,56
25980,59
27660,56
27900,56
28140,57
28380,56
28620,57
29580,61
29820,61
30060,59
30300,63
31020,57
31320,57
31560,59
31740,57
32220,56
35580,64
36600,64
36780,63
36960,64
37200,68
37500,63
39420,61
40380,61
40620,59
40800,57
41040,56
41280,59
43020,56
43260,56
43500,57
43800,56
43980,57
44940,61
45180,61
45420,59
45660,63
46380,57
46620,57
46860,59
47100,57
47580,56
47820,56
49500,56
49740,57
49980,59
50460,57
50700,56
50940,61
51180,59
51420,61
53340,63
53580,64
53820,66
54300,64
54540,63
54780,68
55020,66
55260,68
57180,68
57420,69
57660,71
58140,69
58380,68
58620,69
58860,68
59100,69
60300,69
60540,68
60780,68
61020,68
61260,68
61740,63
61980,64
62220,63
62460,61
63420,61
63660,65
63900,68
64140,71
64380,71
64620,69
64860,69
66060,73
66300,73
66540,71
66780,75
67500,69
67740,69
67980,71
68220,69
68460,68
68700,68
69900,71
70140,71
70380,69
70620,73
71340,69
71580,68
71820,69
72060,68
72300,66
72540,66
73740,64
73980,63
74220,63
74460,63
74940,63
75180,64
75420,66
75660,69
75900,69
76140,68
76380,68
76860,61
77100,65
77340,68
77580,71
77820,71
78060,69
78300,69
79500,73
79740,73
79980,71
80220,75
80940,69
81180,69
81420,71
81660,69
81900,68
82140,68
83340,71
83580,71
83820,69
84060,73
84780,69
85020,68
85260,69
85500,68
85740,66
85980,69
87180,64
87420,63
87900,63
88620,64
88860,66
89100,64
89340,63
89820,61
110940,56
111180,57
111420,59
111900,57
112140,56
112380,61
112620,59
112860,61
114780,63
115020,64
115260,66
115740,64
115980,63
116220,68
116460,66
116700,68
118620,68
118860,69
119100,71
119580,69
119820,68
120060,69
120300,68
120540,69
121740,69
121980,68
122220,68
122460,68
122700,68
123180,63
123420,64
123660,63
123900,61
124860,61
125100,65
125340,68
125580,71
125820,71
126060,69
126300,69
127500,73
127740,73
127980,71
128220,75
128940,69
129180,69
129420,71
129660,69
129900,68
130140,68
131340,71
131580,71
131820,69
132060,73
132780,69
133020,68
133260,69
133500,68
133740,66
133980,66
135180,64
135420,63
135660,63
135900,63
136380,63
136620,64
136860,66
137100,69
137340,69
137580,68
137820,68
138300,61
138540,65
138780,68
139020,71
139260,71
139500,69
139740,69
140940,73
141180,73
141420,71
141660,75
142380,69
142620,69
142860,71
143100,69
143340,68
143580,68
144780,71
145020,71
145260,69
145500,73
146220,69
146460,68
146700,69
146940,68
147180,66
147420,69
148620,64
148860,63
149340,63
150060,64
150300,66
150540,64
150780,63
151260,61
151740,61
151980,65
152220,68
152460,71
152700,71
152940,69
153180,69
154380,73
154620,73
154860,71
155100,75
155820,69
156060,69
156300,71
156540,69
156780,68
157020,68
158220,71
158460,71
158700,69
158940,73
159660,69
159900,68
160140,69
160380,68
160620,66
160860,66
162060,64
162300,63
162540,63
162780,63
163260,63
163500,64
163740,66
163980,64
164220,63
164460,61
