time,semitone
5760,62
6000,62
6240,62
6720,62
9600,62
9840,62
10080,62
10560,62
11040,62
13440,62
15360,62
15600,62
15840,62
17280,62
19200,62
19440,62
19680,62
19920,62
21120,62
21840,64
22080,65
22320,64
22560,62
22800,65
23040,64
23760,69
24000,64
24960,66
25680,67
25920,69
26160,62
26400,67
26640,69
26880,72
27600,70
27840,70
28800,67
29520,65
29760,64
30000,57
30240,70
30480,69
30720,67
31680,65
32160,64
32400,62
32640,65
34080,67
34560,64
38400,62
39120,64
39360,65
39600,64
39840,62
40080,65
40320,64
41040,69
41280,64
42240,66
42960,67
43200,69
43440,62
43680,67
43920,69
44160,72
44880,70
45120,70
46080,67
46800,65
47040,64
47280,57
47520,70
47760,69
48000,67
48720,65
48960,65
49440,64
49680,62
49920,65
51360,67
51840,64
53520,60
53760,69
54480,60
54720,70
54960,69
55200,67
55440,65
55680,67
56400,65
56640,65
57360,60
57600,70
58320,67
58560,72
58800,70
58920,69
59160,65
59520,69
60240,67
60360,67
61200,65
61440,64
62160,64
62400,64
62640,65
62880,67
63120,64
63360,67
64080,64
64440,65
65040,64
65280,62
66000,67
66240,65
66720,64
67200,65
68880,60
69120,69
69840,60
70080,70
70320,69
70560,67
70800,65
71040,67
71760,65
72000,65
72720,60
72960,70
73680,67
73920,72
74160,70
74280,69
74640,67
74760,69
75120,69
75240,69
75480,70
75840,67
76560,65
76800,64
77520,64
77760,64
78000,65
78240,67
78480,64
78720,67
79440,64
79800,65
80400,64
80640,62
81120,62
81360,67
81600,65
82080,64
82560,62
103680,65
104400,64
104640,65
104880,64
105120,62
105360,65
105600,64
106320,69
106560,64
107520,66
108240,67
108480,69
108720,62
109200,67
109320,69
109440,72
110160,70
110400,70
111360,67
112080,65
112320,64
112560,57
112800,70
113040,69
113280,67
114000,65
114240,65
114720,64
114960,62
115200,65
116640,67
117120,64
120720,60
120960,69
121680,60
121920,70
122160,69
122400,67
122640,65
122880,67
123600,65
123840,65
124560,72
124800,70
125520,67
125760,72
126000,70
126120,69
126360,65
126720,69
127440,67
127560,67
128400,65
128640,64
129360,64
129600,64
129840,65
130080,67
130320,64
130560,67
131280,64
131640,65
132240,64
132480,62
133200,67
133440,65
133920,64
134400,65
136080,60
136320,69
137040,60
137280,70
137520,69
137760,67
138000,65
138240,67
138960,65
139200,65
139920,60
140160,70
140880,67
141120,72
141360,70
141480,69
141840,65
141960,69
142320,69
142440,69
142680,70
143040,67
143760,65
144000,64
144720,64
144960,64
145200,65
145440,70
145680,69
145920,67
146400,69
146880,65
147600,64
147840,62
148320,62
148560,67
148800,65
149280,64
149760,62
151440,64
151680,62
152160,62
152400,67
152640,65
153120,64
153600,62
