time,semitone
5100,60
5340,64
5580,65
5880,60
7020,60
7260,64
7500,65
7800,58
8220,67
9900,67
10140,67
10380,65
10620,64
10860,65
11100,67
11340,64
11640,69
13320,62
13560,69
13800,70
13980,62
15180,65
15420,65
15660,67
15900,64
16380,64
16620,65
16860,67
17100,64
17340,69
19020,69
19320,69
19500,62
19740,62
20940,62
21180,69
21420,70
21660,67
22680,60
23100,67
23580,67
23820,65
23940,67
24300,65
24540,67
24780,69
25020,64
25500,65
26700,62
26940,69
27420,69
27660,67
27780,69
28140,67
28380,69
28620,70
28860,66
29340,67
30600,65
30780,64
31080,72
31260,72
32040,64
32220,67
32460,64
32700,67
32940,69
33180,66
34380,62
34620,62
34860,70
35100,70
35820,62
36060,62
36300,62
36540,61
36780,69
37020,69
37980,67
38460,65
42540,64
42780,64
43020,64
43260,64
43500,65
43740,67
43980,64
44220,69
45960,69
46140,69
46620,70
46920,70
47820,74
48060,74
48540,72
48780,72
49980,74
51660,62
51960,69
52380,69
52680,67
52740,69
53100,67
53340,69
53580,71
53820,66
54300,67
55500,64
55740,71
56220,71
56460,69
56580,71
56940,69
57180,71
57420,72
57660,68
58140,69
59340,67
59580,66
59880,74
60120,74
60780,66
61020,67
61260,69
61560,71
61740,71
62280,68
63180,64
63420,64
63660,72
63900,72
64620,64
64860,64
65100,64
65340,63
65580,71
65820,71
66780,69
67320,67
