time,semitone
8880,60
9120,65
9360,67
9600,68
11040,72
11520,61
13200,60
13440,59
14160,60
14400,62
15120,65
15360,65
16080,64
16320,67
17520,60
17760,60
18000,60
18240,65
18480,63
18720,60
18960,63
19200,61
20640,58
20880,65
21120,63
22320,63
22560,63
22800,65
23040,60
24240,56
24480,60
24720,63
24960,61
26400,60
26880,58
28080,60
28320,60
28560,65
28800,64
29040,65
29280,67
31920,60
32160,65
32400,67
32640,68
34080,72
34560,61
36240,60
36480,59
37200,60
37440,62
38160,65
38400,65
39120,64
39360,67
41040,60
41280,65
41520,63
41760,60
42000,63
42240,61
43680,65
44160,63
45360,63
45600,63
45840,65
46080,60
47280,56
47520,60
47760,63
48000,61
49440,60
49920,58
50640,60
50880,61
51600,65
51840,64
52560,65
52800,67
54480,65
54720,72
54960,72
55200,72
55440,70
55680,72
56880,72
57120,72
57360,70
57600,73
58800,72
59040,70
59280,68
59520,70
60720,70
60960,70
61200,68
61440,72
62160,63
62400,72
62640,70
62880,68
63120,68
63360,68
64080,68
64320,68
64560,68
64800,68
65040,68
65280,70
66480,72
66720,72
66960,70
67200,72
68400,70
68640,68
68880,70
69120,72
69840,65
70080,72
70320,72
70560,72
70800,70
71040,72
72000,72
72240,72
72480,72
72720,70
72960,73
74160,72
74400,70
74640,68
74880,70
75840,70
76080,70
76320,70
76560,68
76800,72
77520,63
77760,72
78000,70
78240,68
78480,70
78720,68
79440,68
79680,68
79920,68
80160,68
80400,68
80640,70
82080,68
82320,70
82560,67
83280,68
83520,67
83760,65
84000,64
84240,67
84720,65
95040,60
95400,65
95760,67
96000,68
97440,72
97920,61
99600,60
99840,59
100560,60
100800,62
101520,65
101760,65
102480,64
102720,67
104400,60
104640,65
104880,63
105120,60
105360,63
105600,61
107040,65
107520,63
108720,63
108960,63
109200,65
109440,60
110640,56
110880,60
111120,63
111360,61
112800,60
113280,58
114000,60
114240,61
114960,65
115200,64
115920,65
116160,67
117840,65
118080,72
118320,72
118560,72
118800,70
119040,72
120240,72
120480,72
120720,70
120960,73
122160,72
122400,70
122640,68
122880,70
124080,70
124320,70
124560,68
124800,72
125520,63
125760,72
126000,70
126240,68
126480,68
126720,68
127440,68
127680,68
127920,68
128160,68
128400,68
128640,70
129840,72
130080,72
130320,70
130560,72
131760,70
132000,68
132240,70
132480,72
133200,65
133440,72
133680,72
133920,72
134160,70
134400,72
135360,72
135600,72
135840,72
136080,70
136320,73
137520,72
137760,70
138000,68
138240,70
139200,70
139440,70
139680,70
139920,68
140160,72
140880,63
141120,72
141360,70
141600,68
141840,70
142080,68
142800,68
143040,68
143280,68
143520,68
143760,68
144000,70
145440,68
145680,70
145920,67
146640,68
146880,67
147120,65
147360,64
147600,67
