time,semitone
21120,53
21360,55
21480,55
21840,53
22080,55
23040,53
23280,55
23400,55
23760,55
24000,56
24240,55
24480,53
24720,51
24960,53
25260,51
25380,51
25740,50
25980,51
28860,53
29100,55
29220,55
29760,51
29820,53
30060,55
30180,55
30600,51
30720,53
30960,55
31200,56
31380,55
31440,56
31620,55
32400,51
32640,58
32680,60
32860,60
33160,60
33340,60
33640,53
34120,51
34300,51
34420,53
36460,55
36460,56
36940,56
37240,56
37960,51
38200,53
38320,55
40120,55
40360,56
40600,56
40840,56
41080,56
41560,56
42040,51
42280,53
42340,55
43000,53
43240,53
46120,57
46360,59
46480,59
46840,57
47080,59
48040,57
48220,59
48400,59
48700,59
48940,60
49180,59
49480,57
49900,55
49960,57
50200,55
50320,55
50680,54
50860,55
53800,57
54040,59
54160,59
54700,55
54700,57
55000,59
55120,59
55660,57
55960,59
56200,59
56440,59
56560,60
56920,59
57160,57
57580,62
57640,64
57880,64
58120,64
58360,57
59080,55
59320,55
59440,57
61480,60
61720,60
61960,60
62080,62
62200,60
62440,59
62860,55
63100,57
63280,59
63400,57
65320,60
65560,60
65800,60
65920,62
66040,60
66280,59
67000,55
67180,57
67320,59
67500,59
67680,59
67800,60
67980,59
68160,55
68280,57
71080,62
71500,60
71740,60
71920,59
72040,59
72280,57
72400,57
72760,55
72940,57
73660,59
73780,57
73900,59
74860,57
74920,59
75340,57
75520,57
75700,55
75820,55
76060,54
76420,55
76660,57
76780,52
77440,55
77800,54
78700,60
78760,62
79180,60
79360,60
79540,59
79660,59
79900,57
80080,57
80380,55
80620,57
80860,59
81100,60
81400,59
82000,57
82060,59
82360,57
82600,55
83560,54
84160,55
84460,50
84520,52
85480,50
86380,60
86420,62
86840,60
87080,60
87200,59
87380,59
87620,57
87740,57
88100,55
88340,57
89000,59
89180,59
89300,60
89420,59
90200,57
90260,59
90680,57
90920,57
91040,55
91220,55
91460,54
91580,55
91880,57
92120,50
92180,52
92840,55
93140,54
94040,60
94100,62
94520,60
94760,60
94880,59
95060,59
95300,57
95420,57
95720,55
96020,57
96260,59
96500,60
96740,59
97400,57
97460,59
97700,57
97940,55
99380,52
99620,55
99800,59
99860,60
100100,59
100340,55
100520,59
100580,60
102260,55
102500,55
102740,55
102920,57
103220,54
103460,55
103700,55
104660,56
119060,53
119300,55
119420,55
120020,53
120260,55
120380,55
120980,53
121220,55
121460,55
121700,55
121820,56
122180,55
122420,53
122900,60
123140,60
123380,60
123620,53
123740,55
123860,53
124340,51
124580,51
124760,53
126740,56
126980,56
127220,56
127460,60
128180,63
128420,58
128540,60
128660,58
130580,56
130820,56
131060,56
131300,60
132260,60
132440,65
132500,67
132740,65
132980,63
133220,63
133460,65
134120,64
134180,65
134420,67
136340,60
136820,58
137000,58
137180,57
137300,57
137540,55
137720,55
138020,53
138260,55
138920,57
139100,55
139220,57
140120,55
140180,57
140600,55
140840,55
140960,53
141140,53
141380,52
141740,53
141920,55
142100,50
142700,53
143060,52
143960,58
144020,60
144440,58
144680,58
144800,57
144980,57
145220,55
145340,55
145700,53
145940,55
146180,57
146420,58
146660,57
147260,55
147380,57
147620,55
147860,53
149540,50
149720,55
149780,57
150020,55
150260,53
150500,53
150620,55
151460,54
151880,55
152120,57
155480,60
155540,62
155960,60
156200,60
156320,59
156500,59
156740,57
156860,57
157160,55
157460,57
157700,59
157940,60
158180,59
158840,57
158900,59
159140,57
159380,55
160820,52
161060,55
161240,59
161300,60
161540,59
161780,55
161960,59
162020,60
164660,57
164900,59
165140,60
165380,60
165620,60
165680,62
165860,60
167540,55
167780,55
168020,55
168260,57
168500,54
168740,55
168980,55
