time,semitone
24960,60
25440,63
25920,65
26040,67
26400,65
27360,70
28800,55
29280,58
29760,65
30240,63
31200,65
31320,67
32640,56
33120,60
33600,67
34080,65
35040,70
45120,58
45600,63
45900,67
46320,68
46800,67
47520,65
47880,63
48480,60
49560,65
50220,65
52800,58
53160,62
53520,65
53880,67
54420,65
55200,62
55560,60
55980,58
57120,63
58080,63
60480,60
60840,62
61200,63
61620,65
62040,63
62700,62
63120,60
63540,58
64800,65
64920,67
65280,63
66720,58
67200,58
69600,58
70080,60
71040,58
71640,58
75840,58
76320,63
76620,67
77040,68
77760,67
78240,65
78600,63
79200,60
80340,65
81000,65
83520,58
83880,62
84240,65
84660,67
85320,65
86160,62
86640,60
87120,58
87600,63
88320,63
91200,60
91560,62
91860,63
92220,65
92760,63
93120,62
94080,60
94440,58
95520,65
95640,67
96000,63
97440,58
97920,58
100320,58
100800,60
101760,58
102480,58
106320,70
106620,70
107040,70
107340,70
108000,70
108480,70
108960,67
109440,68
109620,70
110880,68
111360,68
114000,68
114300,68
114720,68
115020,68
115680,68
116160,68
116640,70
117120,68
118560,67
119040,65
119220,67
121680,67
121980,67
122400,67
122700,67
123360,67
123840,67
124320,65
124800,67
125280,65
125520,63
128160,63
128640,70
129120,70
129420,70
131040,70
131520,72
132480,67
132960,70
133560,70
144960,67
145380,67
145800,67
146160,68
146880,67
147360,65
147840,63
148320,60
149460,65
150120,65
152640,65
153000,65
153360,65
153780,67
154440,65
155280,62
155760,60
156240,58
156780,63
157560,63
160320,60
160680,62
160980,63
161340,65
161880,63
162240,62
163200,60
163560,58
164760,65
164940,67
165600,63
166560,58
167040,58
169440,58
169920,60
170880,58
171600,58
175440,70
175740,70
176160,70
176460,70
177120,70
177600,70
178080,67
178560,68
178740,70
180000,68
180240,67
180540,68
183120,68
183420,68
183840,68
184140,68
184800,68
185280,68
185760,70
186240,68
187680,70
188460,67
190800,67
191100,67
191520,67
191820,67
192480,67
192960,67
193440,65
193920,67
194400,65
194520,63
194880,63
197280,63
197760,70
198240,70
198540,70
204000,72
204960,67
205440,70
205920,70
206400,70
211200,68
222720,67
223200,68
223680,70
224160,75
231360,68
231840,70
232320,71
232560,70
232800,68
233040,70
233280,68
252480,70
256080,70
256380,70
256800,70
257100,70
257760,70
258240,70
258720,70
259200,70
260640,68
260880,67
261120,68
261360,70
261600,68
261900,68
263760,68
264060,68
264480,68
264780,68
265440,68
265920,68
266400,70
266880,68
268320,70
268800,68
269040,67
269520,67
271440,67
271680,67
272160,67
272460,70
272640,72
272880,67
273120,65
273240,67
273600,65
274080,63
274560,67
275040,65
275280,63
275520,63
277920,63
278400,70
278880,70
279180,70
280800,70
281280,72
282240,67
282720,70
283200,70
291840,72
293280,72
293700,72
294120,72
294540,70
297600,70
297720,72
298080,70
298560,66
298800,65
299040,63
299280,65
299520,63
302160,67
302400,67
302880,67
303360,67
303840,67
304320,67
304800,65
305280,67
305760,65
305940,63
306540,63
309840,67
310080,67
310560,67
310800,67
311520,67
311820,72
312480,67
312960,65
313440,63
313680,65
313800,67
317520,67
317760,67
318240,67
318480,67
319200,67
319680,67
320160,65
320640,67
321120,65
321600,63
324000,63
324480,70
324960,70
325200,70
331680,72
332280,67
332820,70
333300,70
333600,70
340500,65
341880,63
342120,65
342420,67
343380,65
343860,63
344100,65
344400,63
344700,65
345060,67
