time,semitone
27840,69
28320,74
28800,73
29520,71
30240,69
30720,69
35520,69
36000,74
36480,73
37200,71
37920,69
38400,69
45600,66
46080,67
46800,69
47520,71
49440,66
49920,67
50640,69
51360,74
52320,73
53040,71
53280,69
58560,69
59040,74
59520,73
60240,71
60960,69
61440,69
66240,69
66720,74
67200,73
67920,71
68640,69
69120,69
76320,66
76800,67
77520,69
78240,71
80160,66
80640,67
81360,69
82080,74
83040,73
83760,71
84000,69
89280,69
89760,69
90240,81
90960,78
91680,76
92160,78
96960,69
97440,69
97920,81
98640,79
99360,78
99840,78
101280,79
101760,79
105120,81
105600,81
106080,79
106560,78
107040,79
109440,81
109920,79
110400,78
110880,78
111840,76
112320,76
113280,73
113760,74
114240,76
114720,76
116160,78
116640,69
120000,69
120480,69
120960,81
121680,78
122400,76
122880,78
127680,69
128160,69
128640,81
129360,79
130080,78
130560,78
132000,79
132480,79
135840,81
136320,81
136800,79
137280,78
137760,79
140160,81
140640,79
141120,78
141600,78
142560,76
143040,76
144000,73
144480,71
144960,69
145440,69
146400,76
146880,73
147360,74
149760,69
150240,76
150720,73
151200,74
153120,66
153600,67
154080,69
154560,71
155040,74
155520,74
156480,73
157440,74
166080,69
166560,74
167040,73
167760,71
168360,69
168960,69
173760,69
174240,74
174720,73
175440,76
177120,73
177600,69
183840,66
184320,67
185040,69
185760,71
187680,67
188160,69
188880,71
189600,74
190560,73
191520,69
192000,74
196800,69
197280,69
197760,81
198480,78
199200,76
199680,78
204480,69
204960,69
205440,81
206160,79
206880,78
207360,78
208800,79
209280,79
212640,81
213120,81
213600,79
214080,78
214560,79
216960,81
217440,79
217920,78
218400,78
219360,76
219840,76
220800,73
221280,74
221760,76
222240,76
223680,78
224160,69
227520,69
228000,69
228480,81
229200,78
229920,76
230400,78
235200,69
235680,69
236160,81
236880,79
237600,78
238080,78
239520,79
240000,79
243360,81
243840,81
244320,79
244800,78
245280,79
247680,81
248160,79
248640,78
249120,78
250080,76
250560,76
251520,73
252000,71
252480,69
252960,69
253920,76
254400,73
254880,74
256800,66
257280,69
257760,76
258240,73
258720,74
260760,66
261120,67
261600,69
262080,71
262560,74
263040,74
264000,73
264960,74
266400,81
268800,81
269280,84
269760,81
270240,83
275520,81
276480,81
276960,78
277200,78
277680,76
277920,78
284160,81
285120,80
286080,78
287040,76
290880,81
291840,81
292320,78
292560,78
293040,76
293280,78
302400,74
302880,78
303360,78
303840,81
304320,81
304560,83
305040,81
305280,81
307920,81
308640,78
309120,78
309840,78
310560,76
311040,78
315840,69
316320,69
316800,81
317520,79
318240,78
318720,78
320160,79
320640,79
324000,81
324480,81
324960,79
325440,78
325920,79
328320,81
328800,79
329280,78
329760,78
330720,76
331200,76
332160,73
332640,74
333120,76
333600,76
335040,78
335520,69
338880,69
339360,69
339840,81
340560,78
341280,76
341760,78
346560,69
347040,69
347520,81
348240,79
348960,78
349440,78
350880,79
351360,79
354720,81
355200,81
355680,79
356160,78
356640,79
359040,81
359520,79
360000,78
360480,78
361440,76
361920,76
362880,73
363360,71
363840,69
364320,69
365280,76
365760,73
366240,74
368160,66
368640,69
369120,76
369600,73
370080,74
372120,66
372480,67
372960,69
373440,71
373920,74
374400,74
375360,73
376320,74
