time,semitone
17760,49
18000,49
18240,49
18480,50
18720,52
18960,57
18980,58
18980,56
19040,59
19200,59
21600,59
21840,59
22080,59
22320,60
22380,61
22680,56
22980,58
22980,57
23020,59
23200,57
25440,57
25680,57
25800,57
26160,56
26280,54
26580,55
26620,56
26860,52
29240,57
29480,57
29600,57
29960,54
29980,55
30000,56
30120,54
30440,55
30480,56
30720,52
33000,47
33040,48
33100,49
33340,49
33580,49
33820,50
34060,52
34300,58
34300,57
34340,59
36980,59
37220,59
37460,59
37640,60
37700,61
38060,56
38360,57
40760,57
41000,57
41120,57
41540,56
41660,54
41900,56
42200,52
44600,57
44840,57
44960,57
45344,56
45584,57
45824,59
46004,57
46064,58
46110,59
46590,61
47070,62
47550,64
48510,64
48990,56
49230,57
49350,61
49710,64
49950,64
50550,62
50730,61
50910,62
52350,62
52830,52
53070,56
53190,59
53550,62
53790,62
53790,61
54390,61
54550,59
54730,61
54790,62
54850,59
54910,61
56160,64
56640,54
56880,58
57000,61
57360,64
58188,62
58368,61
58528,62
59248,54
59428,56
59550,57
59790,57
59910,57
60270,57
60390,57
60690,56
60810,54
61170,56
61410,59
62130,57
67590,47
67630,48
67690,49
67870,49
68170,49
68410,50
68650,52
68830,57
68890,58
68930,59
71520,59
71760,59
72000,59
72240,60
72300,61
72600,56
75360,57
75600,57
75720,57
76080,56
76200,54
76440,56
79200,57
79440,57
79560,57
79944,56
80184,57
80424,59
80604,58
80604,57
80628,59
81096,61
81576,62
82056,64
83040,64
83520,56
83760,57
83880,61
84240,64
84540,64
85080,62
85260,61
85440,62
86856,62
87336,52
87576,56
87696,59
88056,62
88296,61
88380,62
88920,61
89080,59
89260,61
89320,62
89440,59
89500,61
90750,64
91230,54
91470,58
91590,61
91950,64
92190,64
92730,62
92970,61
93130,62
93850,54
93970,56
94320,57
94440,57
94800,57
94920,57
95280,56
95400,54
95760,56
96720,57
98400,66
98880,58
99120,59
99240,63
99600,66
100440,64
100620,63
100800,64
102240,64
102720,54
102960,58
103080,61
103440,64
104400,63
104460,61
104640,63
106080,66
106560,56
106800,60
106920,63
107280,66
108120,64
108300,63
108480,64
109200,56
109320,58
109680,59
109800,59
110160,59
110280,59
110640,58
110760,56
111120,58
112080,59
113040,56
113160,58
113520,59
113640,59
114000,59
114120,59
116400,58
116520,56
116880,58
117060,60
117840,59
