time,semitone
1920,76
3840,76
5760,76
7680,76
9600,76
11520,76
13500,76
17280,71
18240,71
19200,71
20160,73
20640,75
21120,76
22080,68
22800,66
23040,68
24000,69
24480,71
24960,73
25680,64
25920,64
26640,63
26880,64
27840,69
28320,68
28800,68
30720,66
32640,71
33600,71
34560,71
35520,73
36000,75
36480,76
37440,68
38160,66
38400,68
39360,69
39840,71
40320,73
41040,64
42000,63
42240,64
43200,69
43680,68
44160,68
44880,68
45120,69
45360,71
45840,66
46560,68
47040,71
47520,69
48000,68
48720,64
48960,64
50400,68
50880,71
51360,69
51840,68
52560,64
52800,66
53760,64
59040,76
59520,76
60240,71
60960,76
61440,78
62160,76
62400,75
66720,76
67200,76
67920,71
68640,69
69120,68
69840,66
70080,64
73440,76
73920,76
74160,76
75360,76
75840,76
76080,76
77280,76
77760,76
78000,76
79200,76
79680,76
79920,76
81120,76
81600,76
81840,76
83040,76
83520,76
83760,76
84960,76
85440,76
85680,76
86880,76
87360,76
87600,76
88320,71
89280,71
90240,71
91200,73
91680,75
92160,76
93120,68
93840,66
94080,68
95040,69
95520,71
96000,73
96720,64
97680,63
97920,64
98880,69
99360,68
99840,68
100560,68
100800,69
101040,71
101520,66
102240,68
102720,71
103200,69
103680,68
104400,69
104640,69
106080,68
106560,71
107040,69
107520,68
108240,69
108480,69
109440,76
114720,76
115200,76
115920,71
116640,76
117120,78
117840,76
118080,75
122400,76
122880,76
123600,71
124320,69
124800,68
125520,66
125760,64
130080,76
130560,76
131280,71
132000,76
132480,78
133200,76
133440,75
133920,73
134160,71
134400,73
135120,76
135840,80
137760,73
138000,71
138240,73
138960,76
139680,80
159360,76
160080,73
162240,76
162720,76
163200,78
163920,76
164160,75
166560,73
167040,76
168960,75
169680,71
170400,68
170880,69
171600,76
172320,80
