time,semitone
3840,67
5760,67
7800,67
18960,52
19200,61
19680,57
20160,59
20640,61
20880,59
21360,57
22740,52
23040,61
23520,59
23760,57
24000,59
24480,61
24720,59
26640,52
26880,61
27360,57
27780,59
28320,61
28560,59
29040,57
29460,54
29700,57
30180,57
30660,59
31860,54
32400,52
34320,52
34560,61
35040,59
35280,57
35520,59
36000,61
36240,59
36720,57
38160,52
38400,61
38880,59
39120,57
39360,59
39840,61
40080,59
42000,52
42240,61
42720,59
42960,57
43200,59
43680,61
43920,59
44400,57
44880,54
45120,57
45540,57
46080,59
47280,61
47760,59
51840,61
52800,61
53280,64
53760,64
54720,57
55680,61
55920,61
56160,61
56400,61
56640,62
57120,64
57600,66
58560,57
59520,61
59760,61
60000,61
60240,61
60480,62
60960,57
61440,61
62400,59
63120,52
63360,61
63600,61
63840,61
64080,61
64320,62
64800,64
65040,59
68160,61
68640,64
69120,64
70080,57
71040,61
71280,61
71520,61
71760,61
72000,62
72480,64
72960,66
73920,57
74880,61
75120,61
75360,61
75600,61
75840,62
76320,64
76560,59
78480,52
78720,61
78960,61
79440,61
79680,62
80160,64
80400,59
80640,59
80640,59
80640,52
82320,52
82560,59
82800,59
83280,61
83520,59
84000,56
84480,57
91920,52
92160,61
92640,59
92880,57
93120,59
93600,61
93840,59
94320,57
95760,52
96000,61
96480,59
96720,57
96960,59
97440,61
97680,59
99600,52
99840,61
100320,59
100560,57
100800,59
101220,61
101520,59
102000,57
102480,54
102720,57
103200,57
103680,59
104880,54
105360,52
106560,61
107040,64
107520,64
108480,57
109440,61
109680,61
109920,61
110160,61
110400,62
110880,64
111360,66
112320,57
113280,61
113520,61
113760,61
114000,61
114240,62
114720,57
115200,61
116160,59
116880,52
117120,61
117360,61
117600,61
117840,61
118080,62
118560,64
118800,59
121920,61
122400,64
122880,64
123840,57
124800,61
125040,61
125280,61
125520,61
125760,62
126240,64
126720,66
127680,57
128640,61
128880,61
129120,61
129360,61
129600,62
130080,64
130320,59
132240,52
132480,61
132720,61
133200,61
133440,62
133920,64
134160,59
136080,52
136320,59
136560,59
137040,61
137280,59
137760,56
138240,57
152160,59
152400,57
152640,66
153120,61
153600,59
156000,59
156240,57
156480,66
156960,61
157440,59
159360,61
160320,61
160800,64
161280,64
162240,57
163200,61
163440,61
163680,61
163920,61
164160,62
164640,64
165120,66
166080,57
167040,61
167280,61
167520,61
167760,61
168000,62
168540,57
168960,61
169920,59
170580,52
170880,61
171120,61
171300,61
171600,61
171840,62
172320,61
172560,59
175680,61
176160,64
176640,64
177600,57
178560,61
178800,61
179040,61
179280,61
179520,62
180000,64
180480,66
181440,57
182400,61
182640,61
182880,61
183120,61
183360,62
183840,64
184080,59
186000,52
186240,61
186480,61
186960,61
187200,62
187680,64
187920,59
189840,52
190080,59
190320,59
190800,61
191040,59
191520,56
192000,57
205980,59
206160,57
206400,66
206880,61
207360,59
209760,59
210000,57
210240,66
210720,61
211200,59
213180,62
214500,62
215520,62
