time,semitone
10800,69
11040,69
11280,69
11520,78
11760,76
12240,74
12720,73
13200,76
13920,74
14160,73
14640,74
15360,69
18480,69
18720,69
18960,69
19200,78
19440,76
19920,74
20400,73
20880,76
21600,74
21840,73
22320,74
23040,69
23160,71
26160,69
26400,69
26640,69
26880,78
27120,76
27600,74
28080,74
28800,69
28960,71
29980,69
30220,69
30460,69
30700,78
30940,76
31420,74
31900,74
32620,74
33100,73
33340,71
33820,73
34540,74
49180,69
49420,69
49660,69
49900,78
50140,76
50620,74
51100,73
51580,76
52320,74
52560,73
53040,74
54240,67
54480,66
54960,67
55500,67
56860,69
57100,69
57340,69
57580,78
57820,76
58300,74
58780,73
59260,76
60000,74
60240,73
60720,74
61560,71
64540,69
64780,69
65020,69
65260,78
65500,76
65980,74
66460,74
67180,69
67340,71
68420,69
68660,69
68900,69
69140,78
69380,76
69860,74
70340,74
70820,76
70940,78
71060,76
71540,76
71780,76
72260,74
72980,74
76820,74
77300,74
77540,74
78020,74
78740,74
79220,74
79460,74
79940,74
80660,73
80740,74
80820,73
81360,71
81840,69
82560,64
82680,66
84480,74
85200,74
85680,74
86400,74
86880,74
87120,74
87600,74
88320,74
88800,74
89040,74
89520,74
90240,74
90720,73
92160,71
94080,73
96000,78
96240,77
96720,75
97200,73
97920,75
99840,78
100080,77
100560,75
101040,73
101760,68
103440,68
103680,78
104160,77
104640,75
105120,73
105600,75
107340,75
107520,75
107760,75
108240,78
108720,80
108800,82
109440,80
109680,82
110160,77
111120,70
111360,78
111600,77
112080,75
112560,73
113040,75
113520,78
113760,75
115200,78
115440,77
115920,75
116400,73
116880,75
117360,75
117600,75
118800,75
119040,74
119280,74
119760,74
120240,74
120960,73
126720,78
126960,77
127440,75
127920,73
128640,75
130560,78
130800,77
131280,75
131760,73
132480,68
134160,68
134400,78
134880,77
135360,75
135840,73
136320,75
138060,75
138240,75
138480,75
138960,78
139440,80
139520,82
140160,80
140400,82
140880,77
141840,70
142080,78
142320,77
142800,75
143280,73
143760,75
144240,78
144480,75
145920,78
146160,77
146640,75
147120,73
147600,75
148080,75
148320,75
149520,75
149760,74
150000,74
150480,74
150960,74
151680,75
197760,75
198000,73
198240,75
198480,73
198720,75
198960,73
199200,75
199440,73
199680,75
199920,73
200160,75
200400,73
200640,75
200880,73
201120,70
201600,75
201840,73
202080,75
202320,73
202560,75
202800,73
203040,75
203280,73
203520,75
203760,73
204000,75
204240,73
204480,75
204720,73
204960,70
205440,78
205440,75
205680,77
205680,73
205920,78
205920,75
206160,77
206160,73
206400,78
206400,75
206640,77
206640,73
206880,78
206880,75
207120,77
207120,73
207360,78
207360,75
207600,77
207600,73
207840,78
207840,75
208080,77
208080,73
208320,78
208320,75
208560,77
208560,73
208800,73
208800,70
209280,78
209280,75
209520,77
209520,73
209760,78
209760,75
210000,77
210000,73
210240,78
210240,75
210480,77
210480,73
210720,73
210720,70
211200,78
211680,77
212160,75
212640,73
213120,75
215040,78
215280,77
215760,75
216240,73
216960,68
218640,68
218880,78
219360,77
219840,75
220320,73
220800,75
222540,75
222720,75
222960,75
223440,78
223920,80
224000,82
224640,80
224880,82
225360,77
226320,70
226560,78
226800,77
227280,75
227760,73
228240,75
228720,78
228960,75
230400,78
230640,77
231120,75
231600,73
232080,75
232560,75
232800,75
234000,75
234240,74
234480,74
234960,74
235440,74
236160,73
240000,66
241920,78
242160,77
242640,75
243120,73
243840,75
245760,78
246000,78
246480,78
246520,80
246940,78
247660,73
249340,73
249580,78
250060,78
250540,80
251020,78
251500,78
251740,75
253240,75
253420,75
253680,75
254160,78
254640,80
254720,82
255580,82
256060,77
257020,70
257260,78
257500,80
257980,78
258220,77
258460,77
258940,78
259420,77
259660,75
261100,78
261340,77
261820,75
262300,73
262780,75
263280,78
263520,75
264720,75
265180,74
265660,74
266140,74
266860,75
267820,70
268780,75
269740,70
270700,63
