time,semitone
11040,53
11040,52
11280,53
11760,60
11820,62
12000,60
12360,57
12480,60
12720,62
13860,55
13920,57
14040,55
14160,55
14280,53
14400,53
14700,50
15840,60
16020,60
16200,60
16260,62
16560,60
16800,60
16920,55
16980,57
17280,55
19440,60
19500,62
19680,60
20040,57
20160,60
20400,62
21540,48
21600,55
21660,57
21780,55
22020,53
22320,50
23580,60
23700,60
23880,60
23940,62
24240,60
24480,60
24600,55
24660,57
24960,55
27120,60
27180,62
27360,62
27540,62
27780,62
27960,60
28320,60
28440,57
28620,60
28860,60
29040,55
29100,57
30960,60
31020,62
31260,62
31380,62
31560,62
31560,60
31860,60
32100,60
32280,55
32340,57
32640,55
33840,60
34080,62
34320,64
34560,65
35460,55
35520,57
36000,58
36240,60
37680,57
37920,58
38160,60
38400,62
39360,53
39600,55
39720,57
40080,57
40200,55
40320,57
41280,62
41760,64
42240,65
42960,60
43080,62
43200,60
43320,62
44640,65
44880,62
45000,65
45360,62
45600,65
45900,62
46140,64
47520,62
47760,60
47880,62
48000,60
50160,60
50220,62
50400,60
50760,57
50880,60
51120,62
52260,48
52320,55
52380,57
52500,55
52740,53
53040,50
54300,60
54420,60
54600,60
54660,62
54960,60
55200,60
55320,55
55380,57
55680,55
57840,60
57900,62
58080,62
58260,62
58500,62
58680,60
59040,60
59160,57
59340,60
59580,60
59760,55
59820,57
61680,60
61740,62
61980,62
62100,62
62280,62
62280,60
62580,60
62820,60
63000,55
63060,57
63360,55
64560,60
64800,62
65040,64
65280,65
66180,55
66240,57
66720,58
66960,60
68400,57
68640,58
68880,60
69120,62
70080,53
70320,55
70440,57
70800,57
70920,55
71040,57
72000,62
72480,64
72960,65
73680,60
73800,62
73920,60
74040,62
75360,65
75600,62
75720,65
76080,62
76320,65
76620,62
76860,64
78240,62
78480,60
78600,62
78720,60
81120,60
81180,62
81600,64
82080,65
82560,64
82560,65
83040,60
83520,57
83580,55
84000,53
84480,60
84540,62
84960,60
85440,60
85920,58
85980,60
86400,60
88800,60
88860,62
89280,64
89760,65
90240,64
90300,65
90720,60
91200,57
91260,55
91680,53
92160,60
92220,62
92640,60
93120,60
93540,58
93600,60
94080,60
95280,60
95520,62
95760,64
96000,65
96900,55
96960,57
97440,58
97680,60
99120,57
99360,58
99600,60
99840,62
100800,53
101040,55
101160,57
101520,57
101640,55
101760,57
102720,62
103200,64
103680,65
104400,60
104520,62
104640,60
104760,62
106080,65
106320,62
106440,65
106800,62
107040,65
107340,62
107580,64
108960,62
109200,60
109320,62
109440,60
