time,semitone
34560,57
34800,57
35040,57
35280,57
35520,57
35760,57
36000,57
36240,57
36480,57
36720,53
37200,55
37680,57
38160,60
42240,65
42480,65
42720,65
42960,65
43200,65
43440,65
43680,65
43920,65
44160,65
44400,65
44640,65
44880,65
45120,65
45360,62
45600,57
46080,60
49920,58
50160,58
50400,58
50640,58
50880,58
51120,58
51360,58
51600,58
51840,58
52080,58
52320,58
52560,58
52800,62
53040,65
53520,64
57600,58
57840,58
58080,58
58320,58
58560,58
58800,58
59040,58
59280,57
59520,58
59760,58
60000,58
60240,57
60480,58
60720,58
60960,58
61200,53
61440,53
65280,57
65520,57
65760,57
66000,57
66240,57
66480,57
66720,57
66960,57
67200,57
67440,53
67920,55
68400,57
68880,60
72960,65
73200,65
73440,65
73680,65
73920,65
74160,65
74400,65
74640,65
74880,65
75120,65
75360,65
75600,65
75840,65
76080,62
76320,57
76800,60
80640,58
80880,58
81120,58
81360,58
81600,58
81840,58
82080,58
82320,58
82560,58
82800,58
83040,58
83280,58
83520,62
83760,65
84240,64
88320,58
88560,58
88800,58
89040,58
89280,58
89520,58
89760,58
90000,57
90240,58
90480,58
90720,58
90960,57
91200,58
91440,58
91680,58
91920,53
92160,53
94800,53
95040,53
95520,62
96000,60
96240,60
96480,60
96720,60
96960,60
97200,60
97440,60
97680,60
97920,60
98160,60
98400,60
98640,60
98880,65
99360,60
99840,60
100080,60
100320,60
100560,60
100800,60
101040,60
101280,60
101520,60
101760,60
102000,60
102240,60
102480,60
102720,65
103200,60
103680,55
104400,57
104640,58
105360,60
105600,62
105840,62
106080,62
106320,62
106560,62
107040,65
107520,64
108960,62
109440,57
110160,53
110400,53
110880,62
111360,60
111600,60
111840,60
112080,60
112320,60
112560,60
112800,60
113040,60
113280,60
113520,60
113760,60
114000,60
114240,65
114720,60
115200,60
115440,60
115680,60
115920,60
116160,60
116400,60
116640,60
116880,60
117120,60
117360,60
117600,60
117840,60
118080,65
118560,60
119040,55
119760,57
120000,58
120720,60
120960,62
121200,62
121440,62
121680,62
121920,62
122400,65
122880,64
124320,62
124800,57
126720,57
126960,57
127200,57
127440,57
127680,57
127920,57
128160,57
128400,57
128640,57
128880,53
129360,55
129840,57
130320,60
134400,65
134640,65
134880,65
135120,65
135360,65
135600,65
135840,65
136080,65
136320,65
136560,65
136800,65
137040,65
137280,65
137520,62
137760,57
138240,60
142080,58
142320,58
142560,58
142800,58
143040,58
143280,58
143520,58
143760,58
144000,58
144240,58
144480,58
144720,58
144960,62
145200,65
145680,64
149760,58
150000,58
150240,58
150480,58
150720,58
150960,58
151200,58
151440,57
151680,58
151920,58
152160,58
152400,57
152640,58
152880,58
153120,58
153360,53
153600,53
203520,57
203760,57
204000,57
204240,57
204480,57
204720,57
204960,57
205200,57
205440,57
205680,53
206160,55
206640,57
207120,60
211200,65
211440,65
211680,65
211920,65
212160,65
212400,65
212640,65
212880,65
213120,65
213360,65
213600,65
213840,65
214080,65
214320,62
214560,57
215040,60
218880,58
219120,58
219360,58
219600,58
219840,58
220080,58
220320,58
220560,58
220800,58
221040,58
221280,58
221520,58
221760,62
222000,65
222480,64
226560,58
226800,58
227040,58
227280,58
227520,58
227760,58
228000,58
228240,57
228480,58
228720,58
228960,58
229200,57
229440,58
229680,58
229920,58
230160,53
230400,53
234240,57
234480,57
234720,57
234960,57
235200,57
235440,57
235680,57
235920,57
236160,57
236400,53
236880,55
237360,57
237840,60
241920,65
242160,65
242400,65
242640,65
242880,65
243120,65
243360,65
243600,65
243840,65
244080,65
244320,65
244560,65
244800,65
245040,62
245280,57
245760,60
249600,58
249840,58
250080,58
250320,58
250560,58
250800,58
251040,58
251280,58
251520,58
251760,58
252000,58
252240,58
252480,62
252720,65
253200,64
257280,58
257520,58
257760,58
258000,58
258240,58
258480,58
258720,58
258960,57
259200,58
259440,58
259680,58
259920,57
260160,58
260400,58
260640,58
260880,53
261120,53
263760,53
264000,53
264480,62
264960,60
265200,60
265440,60
265680,60
265920,60
266160,60
266400,60
266640,60
266880,60
267120,60
267360,60
267600,60
267840,65
268320,60
268800,60
269040,60
269280,60
269520,60
269760,60
270000,60
270240,60
270480,60
270720,60
270960,60
271200,60
271440,60
271680,65
272160,60
272640,55
273360,57
273600,58
274320,60
274560,62
274800,62
275040,62
275280,62
275520,62
276000,65
276480,64
277920,62
278400,57
279120,53
279360,53
279840,62
280320,60
280560,60
280800,60
281040,60
281280,60
281520,60
281760,60
282000,60
282240,60
282480,60
282720,60
282960,60
283200,65
283680,60
284160,60
284400,60
284640,60
284880,60
285120,60
285360,60
285600,60
285840,60
286080,60
286320,60
286560,60
286800,60
287040,65
287520,60
288000,55
288720,57
288960,58
289680,60
289920,62
290160,62
290400,62
290640,62
290880,62
291360,65
291840,64
293280,62
293760,57
295680,57
295920,57
296160,57
296400,57
296640,57
296880,57
297120,57
297360,57
297600,57
297840,53
298320,55
298800,57
299280,60
303360,65
303600,65
303840,65
304080,65
304320,65
304560,65
304800,65
305040,65
305280,65
305520,65
305760,65
306000,65
306240,65
306480,62
306720,57
307200,60
311040,58
311280,58
311520,58
311760,58
312000,58
312240,58
312480,58
312720,58
312960,58
313200,58
313440,58
313680,58
313920,62
314160,65
314640,64
318720,58
318960,58
319200,58
319440,58
319680,58
319920,58
320160,58
320400,57
320640,58
320880,58
321120,58
321360,57
321600,58
321840,58
322080,58
322320,53
322560,53
