time,semitone
9360,48
9600,55
9840,55
10320,55
11760,55
12000,55
12240,55
12480,55
12720,55
12960,55
13200,55
13440,53
14400,50
15600,55
15840,55
16080,55
16320,55
16560,55
16800,55
17040,55
17280,56
18240,53
19680,55
19920,55
20160,53
20640,51
21120,55
24720,55
24960,60
25200,55
25680,55
27120,55
27360,55
27600,55
27840,55
28080,55
28320,55
28560,55
28800,53
29760,50
30960,55
31200,55
31440,55
31680,55
31920,55
32160,55
32400,55
32640,55
32640,56
33600,53
35040,55
35280,55
35520,53
36000,51
36480,48
40080,46
40320,56
40560,56
40800,56
41040,56
41280,56
41760,55
42000,56
43080,55
43920,46
44160,56
44400,56
44640,56
44880,55
45120,56
45600,58
46080,58
50160,51
50400,51
50640,51
50880,53
51120,55
51360,53
51600,51
51840,53
52080,55
52320,55
54000,51
54240,51
54480,51
54720,53
54960,55
55200,53
55440,51
55680,53
55920,55
56160,55
57840,51
58080,51
58320,51
58560,53
58800,55
59040,53
59280,51
59520,60
59760,60
60000,60
60240,58
60480,60
60720,60
60960,60
61200,58
61440,60
61920,58
62400,55
62880,53
63360,55
65520,51
65760,51
66000,51
66240,53
66480,55
66720,53
66960,51
67200,53
67440,55
67680,55
69360,51
69600,51
69840,51
70080,53
70320,55
70560,53
70800,51
71040,53
71280,55
71520,55
73200,51
73440,51
73680,51
73920,53
74160,55
74400,53
74640,51
74880,60
75120,60
75360,60
75600,58
75840,60
76080,60
76320,60
76560,58
76800,60
77280,58
77760,55
78240,53
78720,51
82560,55
82800,55
83280,55
84720,55
84960,55
85200,55
85440,55
85680,55
85920,55
86160,55
86400,53
87360,50
88560,55
88800,55
89040,55
89280,55
89520,55
89760,55
90000,55
90240,56
91200,53
92640,55
92880,55
93120,53
93600,51
94080,48
97920,56
98160,56
98640,55
98880,56
99360,55
99600,56
100680,55
101520,46
101760,56
102000,56
102240,56
102480,55
102720,56
103200,58
103680,60
103680,58
103920,58
105840,51
106080,51
106320,51
106560,53
106800,55
107040,53
107280,51
107520,53
107760,55
108000,55
109680,51
109920,51
110160,51
110400,53
110640,55
110880,53
111120,51
111360,53
111600,55
111840,55
113520,51
113760,51
114000,51
114240,53
114480,55
114720,53
114960,51
115200,60
115440,60
115680,60
115920,58
116160,60
116400,60
116640,60
116880,58
117120,60
117600,58
118080,55
118560,53
119040,55
121200,51
121440,51
121680,51
121920,53
122160,55
122400,53
122640,51
122880,53
123120,55
123360,55
125040,51
125280,51
125520,51
125760,53
126000,55
126240,53
126480,51
126720,53
126960,55
127200,55
128880,51
129120,51
129360,51
129600,53
129840,55
130080,53
130320,51
130560,60
130800,60
131040,60
131280,60
131520,60
131760,58
132000,60
132240,58
132480,63
132960,62
133440,60
133920,58
134400,60
136560,53
136800,53
137040,53
137280,55
137520,57
137760,55
138000,53
138240,55
138480,57
138720,57
140400,53
140640,53
140880,53
141120,55
141360,57
141600,55
141840,53
142080,55
142320,57
142560,57
144240,53
144480,53
144720,53
144960,55
145200,57
145440,55
145680,53
145920,62
146160,62
146400,62
146640,60
146880,62
147120,62
147360,62
147600,60
147840,62
148320,60
148800,57
149280,55
149760,57
151920,53
152160,53
152400,53
152640,55
152880,57
153120,55
153360,53
153600,55
153840,57
154080,57
155760,53
156000,53
156240,53
156480,55
156720,57
156960,55
157200,53
157440,55
157680,57
157920,57
159600,53
159840,53
160080,53
160320,55
160560,57
160800,55
161040,53
161280,62
161520,62
161760,62
162000,62
162240,62
162480,60
162720,62
162960,60
163200,65
163680,64
164160,62
164640,60
165120,57
167280,53
167520,53
167760,53
168000,55
168240,57
168480,55
168720,53
168960,55
169200,57
169440,57
171120,53
171360,53
171600,53
171840,55
172080,57
172320,55
172560,53
172800,55
173040,57
173280,57
174960,53
175200,53
175440,53
175680,55
175920,57
176160,55
176400,53
176640,62
176880,62
177120,62
177360,60
177600,62
177840,62
178080,62
178320,60
178560,62
179040,60
179520,57
180000,55
180480,57
182640,53
182880,53
183120,53
183360,55
183600,57
183840,55
184080,53
184320,55
184560,57
184800,57
186480,53
186720,53
186960,53
187200,55
187440,57
187680,55
187920,53
188160,55
188400,57
188640,57
190320,53
190560,53
190800,53
191040,55
191280,57
191520,55
191760,53
192000,62
192240,62
192480,62
192720,60
192960,62
193200,62
193440,62
193680,60
193920,65
194400,64
194880,62
195360,60
195840,57
198000,53
198240,53
198480,53
198720,55
198960,57
199200,55
199440,53
199680,55
199920,57
200160,57
201840,53
202080,53
202320,53
202560,55
202800,57
203040,55
203280,53
203520,55
203760,57
204000,57
205680,53
205920,53
206160,53
206400,55
206640,57
206880,55
207120,53
207360,62
207600,62
207840,62
208080,60
208320,62
208560,62
208800,62
209040,60
209280,62
209760,60
210240,57
210720,55
211200,53
