time,semitone
19200,54
19680,57
19920,62
20400,61
20880,57
22800,57
22920,55
23040,54
23520,57
23760,62
24240,61
24720,57
27120,62
27240,62
27600,61
27720,62
28080,61
28200,62
28440,64
28800,57
30480,55
30600,54
30720,55
30960,62
31200,62
32400,55
32520,54
32640,55
32880,64
33120,64
36480,54
36960,57
37200,62
37680,61
38160,57
40080,57
40200,55
40320,54
40800,57
41040,62
41520,61
42000,57
44400,62
44520,62
44880,61
45000,62
45360,61
45480,62
45720,64
46080,57
47760,55
47880,54
48000,55
48240,62
48480,62
49680,55
49800,54
49920,55
50160,64
50400,64
53280,62
53400,64
53760,66
55200,67
55320,66
55680,64
57120,62
57240,64
57600,66
57720,67
57840,66
58800,64
59040,62
59280,61
59520,62
59640,64
59760,62
60720,59
60960,59
61200,61
61440,62
61680,55
61920,55
62160,62
62640,62
63120,62
63360,62
63600,58
64320,58
64560,58
65040,57
68400,62
68640,64
68880,66
70560,67
70680,66
71040,64
72480,62
72600,64
72840,66
73080,67
73320,66
74160,64
74400,62
74640,61
74880,62
75040,64
75200,62
76100,59
76340,59
76580,61
76820,62
77060,55
77300,62
78020,62
78500,62
78740,62
78980,58
79700,58
79940,58
80420,57
84500,54
84980,57
85220,62
85700,61
86180,57
88100,57
88220,55
88340,54
88820,57
89060,62
89540,64
90020,66
92420,62
92540,62
92900,61
93020,69
93380,61
93500,62
93740,64
94100,57
95780,55
95900,54
96020,55
96260,62
96500,62
97700,55
97820,54
97940,55
98180,64
98420,64
99620,62
99860,66
101300,62
101420,64
101780,66
103220,67
103340,66
103700,64
105140,62
105260,64
105620,66
105740,67
105860,66
106820,64
107060,62
107300,61
107540,62
107660,64
107780,62
108740,59
108980,59
109220,61
109460,62
109700,55
109940,55
110180,62
110660,62
111140,62
111380,62
111620,58
112340,58
112580,58
113060,57
116420,62
116660,64
116900,66
118580,67
118700,66
119060,64
120500,62
120620,64
120860,66
121100,67
121340,66
122180,64
122420,62
122660,61
122900,62
123060,64
123220,62
124060,59
124300,59
124540,61
124780,62
125020,55
125260,62
125980,62
126460,62
126700,69
126940,62
127660,70
127900,70
128380,69
