time,semitone
14280,72
14400,72
14520,72
14760,72
15000,72
15240,72
15600,71
16200,71
16320,71
16440,71
16680,72
16920,74
17160,74
17520,67
18120,64
18240,67
18480,67
18600,67
18840,74
19080,71
19440,72
20040,72
20160,72
20280,72
20520,72
20760,72
21000,72
21360,71
21960,71
22080,71
22200,71
22440,72
22680,74
22920,74
23280,67
23880,64
24000,67
24240,67
24360,67
24600,71
24840,72
25800,67
25920,72
26160,72
26280,72
26520,72
26760,71
31560,72
31680,72
31800,72
32040,72
32280,72
32520,72
32760,71
33000,71
33480,71
33600,71
33720,71
33960,72
34200,74
34440,74
34680,67
34920,67
35400,64
35520,67
35760,67
35880,74
36120,71
36360,72
37320,72
37440,72
37560,72
37800,72
38040,72
38280,72
38520,71
38760,71
39240,71
39360,71
39480,71
39720,72
39960,74
40200,74
40440,67
40680,67
41160,64
41280,67
41520,67
41640,67
41880,71
42120,72
43080,67
43200,72
43440,72
43560,72
43800,76
44040,74
47280,79
47760,76
48000,77
48840,77
48960,77
49080,77
49320,76
49560,72
49800,74
50040,76
50280,76
50760,69
50880,79
51000,77
51240,76
51480,72
51720,74
51960,76
52200,76
52680,69
52800,79
52920,77
53160,76
53400,72
53640,74
53880,76
54120,76
54960,79
55440,76
55560,77
56520,77
56640,77
56880,76
57000,74
57240,72
57480,74
57720,76
57960,76
58440,69
58560,79
58680,77
58920,76
59160,72
59400,74
59640,76
59880,76
60360,69
60480,77
60600,76
60840,74
61080,72
61320,71
61560,72
61800,72
66120,72
66240,72
66360,72
66600,72
66840,72
67080,72
67320,71
68040,71
68160,71
68280,71
68520,72
68760,74
69000,74
69240,67
69480,67
69960,64
70080,67
70200,67
70440,71
70680,71
70920,71
71160,72
71400,72
71880,72
72000,72
72120,72
72360,72
72600,72
72840,72
73080,71
73800,71
73920,71
74040,71
74280,72
74520,74
74760,74
75000,67
75720,64
75840,67
75960,67
76200,67
76440,74
76680,71
76920,72
77640,67
77760,72
78000,72
78120,72
78360,76
78600,74
81840,79
82320,76
82560,77
83400,77
83520,77
83640,77
83880,76
84120,72
84360,74
84600,76
84840,76
85320,69
85440,79
85560,77
85800,76
86040,72
86280,74
86520,76
86760,76
87240,69
87360,79
87480,77
87720,76
87960,72
88200,74
88440,76
88680,76
89520,79
90000,76
90120,77
91080,77
91200,77
91440,76
91560,74
91800,72
92040,74
92280,76
92520,76
93000,69
93120,79
93240,77
93480,76
93720,72
93960,74
94200,76
94440,76
94920,69
95040,77
95160,76
95400,74
95640,74
95880,74
96120,72
96360,72
126000,81
126480,78
126720,79
127560,79
127680,79
127800,79
128040,78
128280,74
128520,76
128760,78
129000,78
129480,71
129600,81
129720,79
129960,78
130200,74
130440,76
130680,78
130920,78
131400,71
131520,81
131640,79
131880,78
132120,74
132360,76
132600,78
132840,78
133680,81
134160,78
134280,79
135240,79
135360,79
135600,78
135720,76
135960,74
136200,76
136440,78
136680,78
137160,71
137280,81
137400,79
137640,78
137880,74
138120,76
138360,78
138600,78
139080,71
139200,79
139320,78
139560,76
139800,76
140040,76
140280,74
140520,74
