time,semitone
31500,76
32940,74
33180,73
35100,71
35340,69
35820,71
36300,73
36780,66
37020,64
37500,64
37980,66
38460,64
39180,76
40620,74
40860,73
42780,71
43020,69
43500,71
43980,73
44460,74
44700,73
45180,71
45660,69
46140,71
46860,76
48300,74
48540,73
50460,71
50700,69
51180,71
51660,73
52140,66
52380,64
52860,64
53340,66
53820,64
54540,76
55980,74
56220,73
58140,71
58380,69
58860,71
59340,73
59820,74
60060,73
60540,71
61020,69
61500,71
62220,69
77580,76
79020,74
79260,73
81180,71
81420,69
81900,71
82380,73
82860,66
83100,64
83580,64
84060,66
84540,64
85260,76
86700,74
86940,73
88860,71
89100,69
89580,71
90060,73
90540,74
90780,73
91260,71
91740,69
92220,71
92940,76
94380,74
94620,73
96540,71
96780,69
97260,71
97740,73
98220,66
98460,64
98940,64
99420,66
99900,64
100620,76
102060,74
102300,73
104220,71
104460,69
104940,71
105420,73
105900,74
106140,76
106620,74
107100,73
107580,71
108300,76
110220,73
110460,73
110940,76
111420,73
112140,71
112860,71
113340,69
113820,73
115020,71
115500,73
115980,74
116220,73
116460,74
116700,73
116940,74
117660,74
118140,73
118380,74
118620,73
118860,74
119820,69
120780,71
121740,73
122220,78
122460,76
122940,73
123420,71
124140,73
125580,73
125820,73
126300,76
126780,73
127500,71
128220,71
128700,69
129180,73
130380,71
130860,73
131340,74
131580,73
131820,74
132060,73
132300,74
133020,74
133500,73
133740,74
133980,73
134220,74
134940,78
135420,78
135660,76
135900,78
136380,73
136620,73
136860,76
154380,76
155820,74
156060,73
157980,71
158220,69
158700,71
159180,73
159660,66
159900,64
160380,64
160860,66
161340,64
162060,76
163500,74
163740,73
165660,71
165900,69
166380,71
166860,73
167340,74
167580,73
168060,71
168540,69
169020,71
169740,76
171180,74
171420,73
173340,71
173580,69
174060,71
174540,73
175020,66
175260,64
175740,64
176220,66
176700,64
177420,76
178860,74
179100,73
181020,71
181260,69
181740,71
182220,73
182700,74
182940,76
183420,74
183900,73
184380,71
185100,76
187020,73
187260,73
187740,76
188220,73
188940,71
189660,71
190140,69
190620,73
191820,71
192300,73
192780,74
193020,73
193260,74
193500,73
193740,74
194460,74
194940,73
195180,74
195420,73
195660,74
196620,69
197580,71
198540,73
199020,78
199260,76
199740,73
200220,71
200940,73
202380,73
202620,73
203100,76
203580,73
204300,71
205020,71
205500,69
205980,73
207180,71
207660,73
208140,74
208380,73
208620,74
208860,73
209100,74
209820,74
210300,73
210540,74
210780,73
211020,74
211740,78
212220,78
212460,76
212700,78
213180,73
213420,73
213660,76
225180,69
225420,73
225660,73
225900,73
226140,73
226380,76
226620,71
226860,71
227100,71
227340,71
227580,71
227820,71
228060,71
228300,76
229020,64
229260,69
229500,69
229740,69
229980,69
230220,69
230460,69
230700,69
230940,69
231180,73
231420,68
231660,68
231900,68
232140,73
233100,66
233340,66
233580,66
233820,66
234060,66
234300,66
234540,69
234780,66
235020,73
235260,71
235500,71
235740,69
235980,69
236700,61
236940,62
237180,62
237420,62
237660,62
237900,62
238140,62
238380,62
238620,62
238860,73
239100,71
239580,69
239820,71
240540,69
240780,73
241020,73
241260,73
241500,73
241740,76
241980,71
242220,71
242460,71
242700,71
242940,71
243180,71
243420,71
243660,76
244380,64
244620,69
244860,69
245100,69
245340,69
245580,69
245820,69
246060,69
246300,69
246540,73
246780,68
247020,68
247260,68
247500,73
248460,66
248700,66
248940,66
249180,66
249420,66
249660,66
249900,69
250140,66
250380,73
250620,71
250860,71
251100,69
251340,69
252060,61
252300,62
252540,62
252780,62
253020,62
253260,62
253500,62
253740,62
253980,62
254220,73
254460,71
254940,69
255180,71
256140,78
256500,78
256860,76
257100,78
257460,73
257820,73
258060,76
259980,78
260340,78
260700,76
260940,78
261300,73
261660,73
261900,76
263820,78
264180,78
264540,76
264780,78
265140,73
265500,73
265740,76
267420,76
267660,78
268020,78
268380,78
268620,78
268860,81
269220,78
269580,76
271500,78
271860,78
272220,76
272460,78
272820,73
273180,73
273420,76
275340,78
275700,78
276060,76
276300,78
276660,73
277020,73
277260,76
279180,78
279540,78
279900,76
280140,78
280500,73
280860,73
281100,76
282540,73
283020,74
283980,74
284940,74
285900,74
286860,76
287820,76
288780,76
