time,semitone
5760,64
7680,64
9600,64
11520,64
13440,64
15360,64
35520,69
36480,71
37920,69
38400,71
39840,69
40320,71
40800,73
41040,71
41520,69
42240,71
43680,69
44160,71
44640,71
44880,71
45600,73
46080,74
47520,69
48000,71
48480,71
48720,71
49440,73
49920,74
50880,69
51840,71
53280,69
53760,71
55200,69
55680,71
56160,73
56400,71
56880,69
57600,71
59040,69
59520,71
60000,71
60240,71
60960,73
61440,74
62880,69
63360,71
63840,71
64320,71
64800,73
65280,74
65760,73
66240,71
66480,69
67200,76
67440,74
68160,74
68400,76
69120,71
69600,69
69840,69
71040,76
71280,74
72000,73
72480,73
72960,71
73200,69
73680,69
74400,69
74640,69
74880,71
75360,73
75600,73
77760,69
78240,69
78720,71
79200,73
79680,74
80160,73
81120,76
82080,69
82320,71
83520,69
84480,76
85440,69
86400,68
87360,71
87840,69
89280,73
90240,66
92160,68
93120,69
94080,64
94560,66
95040,68
95520,69
96000,71
96960,69
97920,73
99360,76
99840,76
100800,74
101760,73
103680,71
104640,73
105600,74
106080,73
106560,71
107040,69
107520,74
108000,73
108480,71
108960,69
109920,64
111360,68
112800,69
113280,69
120000,69
120960,71
122400,69
122880,71
124320,69
124800,71
125280,73
125520,71
126000,69
126720,71
128160,69
128640,71
129120,71
129600,71
130080,73
130560,74
132000,69
132480,71
132960,71
133440,71
133920,73
134160,74
134880,73
135360,71
135840,69
136320,64
137760,69
138240,71
139680,69
140160,71
140640,71
140880,71
141360,76
142080,71
143520,69
144000,71
144960,71
145440,73
145920,74
147360,69
147840,71
148320,71
148560,71
149280,73
149760,74
150240,73
150480,71
151680,76
151920,74
152640,74
152880,76
153600,71
154080,69
154320,69
155520,76
155760,74
156480,73
156960,73
157440,71
157680,69
158160,69
158880,69
159120,69
159360,71
159840,73
160080,73
162240,69
162720,69
163200,71
163680,73
164160,74
164640,73
165600,76
166560,69
166800,71
168000,69
168960,76
169920,69
170880,68
171840,71
172320,69
173760,73
174720,73
176640,76
177600,74
178560,73
179040,71
179520,71
180000,69
180240,73
181440,69
182400,73
183840,76
184320,76
185280,74
186240,73
188160,71
189120,73
190080,74
190560,73
191040,71
191520,69
192000,74
192480,73
192960,71
193440,69
194400,64
195840,68
197760,76
229920,73
230160,74
230400,76
231360,73
231840,78
232320,76
237120,66
237360,69
237600,69
237840,66
238080,73
238560,71
238800,71
239280,73
240960,66
241200,69
241440,69
241680,66
241920,73
242400,71
242640,71
243120,69
243600,69
243840,71
244320,73
244560,73
246720,69
247200,69
247680,78
248160,73
248640,78
249120,76
250080,78
250560,73
251040,78
251520,76
252480,69
253440,76
254400,69
255360,68
256320,71
256800,69
258240,73
259200,73
261120,76
262080,74
263040,73
263520,71
264000,71
264480,69
264720,73
265920,69
266880,73
268320,76
268800,76
269760,78
270720,71
271200,73
272640,71
273600,73
274560,74
275040,73
275520,71
276000,69
276480,74
276960,73
277440,71
277920,76
278400,76
280320,76
281760,78
282240,76
288960,69
289440,78
289920,76
292320,74
292560,73
293280,71
293520,69
294240,71
294480,73
297120,76
297600,76
300000,81
300240,80
300960,81
301200,83
303360,78
304320,76
305280,76
305760,74
306240,73
306720,71
307200,76
307680,74
308160,73
308640,71
309600,64
311040,68
312960,69
