time,semitone
1920,72
2400,72
2880,72
3360,72
3840,72
4320,72
4800,72
5280,72
5760,72
6240,72
6720,72
7200,72
7680,72
8160,72
8640,72
9120,72
9600,72
10080,72
10560,72
19440,76
20160,74
20640,73
21120,71
23040,76
23520,74
24000,73
24480,71
24960,73
26640,69
27120,69
27360,69
27840,64
28800,64
29280,68
29760,69
30480,71
30960,71
31200,71
31680,69
32160,69
49200,64
49440,73
49680,71
50160,73
52560,69
52800,69
53040,71
53280,73
53520,71
54000,73
54480,76
55200,73
56640,71
56880,71
57120,73
57360,74
57840,76
58320,74
60240,69
60480,71
60960,73
61440,73
61680,74
61920,73
62400,71
64320,76
64800,73
65040,71
65520,73
67920,69
68160,69
68400,71
68640,73
68880,71
69360,73
69840,76
70560,73
72000,71
72240,71
72480,73
72720,74
73200,76
73680,74
75600,69
75840,71
76320,73
76800,73
77040,74
77280,73
77760,71
81120,61
82080,64
83040,68
84000,69
88800,61
89760,64
90720,71
91440,68
91920,69
97440,76
98160,74
98640,73
99120,71
101280,76
101760,74
102240,73
102720,71
103440,73
105120,73
105360,71
105600,69
106320,64
106800,71
107520,71
107760,71
108240,73
108960,74
109440,74
109680,74
110160,74
110880,73
112800,76
113520,78
114000,74
114480,71
116640,76
117120,74
117600,73
118080,71
118800,73
120480,73
120720,71
120960,69
121680,64
122160,71
122880,71
123120,71
123600,73
124320,74
124800,74
125040,74
125520,74
126240,73
133680,64
133920,73
134160,71
134640,73
137040,69
137280,69
137520,71
137760,73
138000,71
138480,73
138960,76
139680,73
141120,71
141360,71
141600,73
141840,74
142320,76
142800,74
144720,69
144960,71
145440,73
145920,73
146160,74
146400,73
146880,71
148800,76
149280,73
149520,71
150000,73
152400,69
152640,69
152880,71
153120,73
153360,71
153840,73
154320,76
155040,73
156480,71
156720,71
156960,73
157200,74
157680,76
158160,74
160080,69
160320,71
160800,73
161280,73
161520,74
161760,73
162240,71
165600,61
166560,64
167520,68
168480,69
173280,61
174240,64
175200,71
175920,68
176400,69
181920,76
182640,74
183120,73
183600,71
185760,76
186240,74
186720,73
187200,71
187920,73
189600,73
189840,71
190080,69
190800,64
191280,71
192000,71
192240,71
192720,73
193440,74
193920,74
194160,74
194640,74
195360,73
197280,76
198000,78
198480,74
198960,71
201120,76
201600,74
202080,73
202560,71
203280,73
204960,73
205200,71
205440,69
206160,64
206640,71
207360,71
207600,71
208080,73
208800,74
209280,74
209520,74
210000,74
210720,73
274080,76
274800,74
275280,73
275760,71
277920,76
278400,74
278880,73
279360,71
280080,73
281760,73
282000,71
282240,69
282960,64
283440,71
284160,71
284400,71
284880,73
285600,74
286080,74
286320,74
286800,74
287520,73
289440,76
290160,78
290640,74
291120,71
293280,76
293760,74
294240,73
294720,71
295440,73
297120,73
297360,71
297600,69
298320,64
298800,71
299520,71
299760,71
300240,73
300960,74
301440,74
301680,74
302160,74
302880,73
304800,76
305520,74
306000,73
306480,71
308640,76
309120,74
309600,73
310080,71
310800,73
312480,73
312720,71
312960,69
313680,64
314160,71
314880,71
315120,71
315600,73
316320,74
316800,74
317040,74
317520,74
318240,76
318480,76
318720,76
318960,76
319200,73
319920,78
320400,76
320880,76
322080,76
322320,76
322560,76
322800,76
323040,73
323760,78
324240,76
324720,76
325920,76
326160,76
326400,76
326640,76
326880,73
327600,78
328080,76
328560,76
329760,71
330240,73
330480,74
330960,74
331680,73
331920,74
332400,74
332640,74
332880,76
333360,69
333840,68
334320,69
